text,label
"hpl nomination for january 26 , 2000. hpl nomination for january 26 , 2000 ( see attached file : hplol 26 . xls )
- hplol 26 . xls",ham
"pcmcia cd - rewriter @ $ 68 . 00. pcmcia cd - rewriter @ $ 68 . 00 ideal
for
notebook users !
$
68 . 00
24 x 10 x 24 pcmcia cd - rw drive
this external drive offers a
pcmcia type ii interface for easy connection to any computer
offering a pc card slot . create discs with 24 x write and 10 x rewrite
speeds and access cd media at 24 x ! a 2 mb buffer helps keep errors
to a minimum
visit : http : / www . computron - me . com for deals
!
your one stop
distributorjebel ali duty free zonedubai , uae . www . computron - me . com
for latest clearance sale listing contact our
sales department .
for further details please send
your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com
compaq
hewlett packard
3 com
dell
intel
iomega
epson
aopen
creative
toshiba
apc
cisco
us
robotics
microsoft
canon
intellinet
targus
viewsonic
ibm
sony
- - - - - - - and lots more
! ! !
if you have any
complaints / suggestions contact : customerservice @ computron - me . com
tel + 971
4 8834464
all prices in u . s . dollars , ex - works ,
fax + 971 4
8834454
jebel ali duty free zone
www . computron - me . com
prices and availability subject to change
usa -
canada u . a . e .
without
notice .
to receive our special offers
in plain
text format reply to this
mail with the request * for
export only *
this
email can not be considered spam as long as we include : contact
information remove instructions . this message is intended for dealer
and resellers only . if you have somehow gotten on this list in error , or
for any other reason would like to be removed , please reply with "" remove
"" in the subject line of your message . this message is being sent to you
in compliance with the federal legislation for commercial e - mail
( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii
passed by the 105 th u . s . congress .
all logos and
trademarks are the property of their respective
owners
products may not be exactly as shown
above
- -
to unsubscribe from : computron 6 , just follow this link :
click the link , or copy and paste the address into your browser .",spam
"spring 2001 module and calendar schedule attached. spring 2001 module and calendar schedule attached spring 2001 faculty ,
attached is the spring 2001 module and calendar schedules for your
review . please note the jones graduate school is not following the
traditional university calendar for spring break this year . if you have
any questions please contact me .
kathy
kathy m . spradling
mba program coordinator
jesse h . jones graduate school of management
rice university
6100 main street , ms 531
houston , texas 77005 - 1892
phone : ( 713 ) 348 - 3313
fax : ( 713 ) 348 - 5251
email : spradlin @ rice . edu
http : / / www . rice . edu / jgs
e - mail : spradlin @ rice . edu
http : / / www . ruf . rice . edu / ~ jgs /
- spring module 2001 sch . doc
- spring module 2001 cal . doc",ham
"re : houston visit with vince kaminski. re : houston visit with vince kaminski good afternoon shirley ,
it is great that vince is available on 4 / 19 . w . r . t . the attached from
vince , let ' s go for the afternoon slot on 4 / 19 . i look forward to seeing
you both @ lpm on 4 / 19 . have a great w / e .
many thanks ,
soussan
( 914 ) 253 4187
- - - - - original message - - - - -
from : vince . j . kaminski @ enron . com [ mailto : vince . j . kaminski @ enron . com ]
sent : friday , march 31 , 2000 12 : 53 pm
to : faizs @ texaco . com
cc : vince . j . kaminski @ enron . com ; shirley . crenshaw @ enron . com
subject : re : houston visit
soussan ,
my assistant , shirley crenshaw , will call you regarding the time of the
meeting .
right now the afternoon is open .
i look forward to meeting you on the 19 th .
vince
- - - - - original message - - - - -
from : shirley crenshaw [ mailto : shirley . crenshaw @ enron . com ]
sent : friday , march 31 , 2000 1 : 00 pm
to : faizs @ texaco . com
subject : houston visit with vince kaminski
good afternoon :
vince kaminski is available on wednesday , april 19 th from 8 : 00 - 11 : 00 am
and 1 : 00 - 4 : 00 pm . please let me know what time is more convenient for
you .
shirley crenshaw
administrative coordinator
713 - 853 - 5290
- - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 03 / 31 / 2000
11 : 50
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" faiz , soussan "" on 03 / 30 / 2000 02 : 31 : 18 pm
to : "" ' vkamins @ enron . com ' ""
cc :
subject : houston visit
dear vince ,
greetings from ny & hope all is well . as you may recall from the rog real
options conference in ny , i ' d indicated the opportunity to visit with you
next time i ' m in houston . i ' ll be there during 4 / 18 - 4 / 21 & wonder if we can
pls meet on wed . 4 / 19 in your offices . would appreciate it if you can pls
let me know whether you ' re available then ( i ' m flexible on the schedule
particulars ) . if not , pls let me know whether 4 / 18 ( afternoon ) , 4 / 20
( afternoon ) , or 4 / 21 ( morning ) will work for you .
i really look forward to the opportunity & would appreciate to learn more
about how you ' ve instigated the real options thinking in enron and
especially its integration within the organizational & incentive matters .
many thanks ,
soussan faiz
mgr . of global valuation services
texaco inc .
( 914 ) 253 - 4187",ham
"re : meter 9707. re : meter 9707 i left vance a voice mail message yesterday but he was out sick . he called
me back and said there shouldn ' t be any flow at meter 9707 and there wasn ' t a
deal in place with united oil & minerals .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 10 / 03 / 2000 01 : 15
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : robert cotten 10 / 03 / 2000 11 : 39 am
to : vance l taylor / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , aimee lannou / hou / ect @ ect
subject : re : meter 9707
vance ,
did you find out anything about the purchase from united oil & minerals at
meter 9707 ?
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 10 / 03 / 2000 11 : 34
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
aimee lannou 10 / 03 / 2000 11 : 26 am
to : daren j farmer / hou / ect @ ect
cc : robert cotten / hou / ect @ ect
subject : re : meter 9707
fyi - there is flow for 10 / 2 as well .
al
daren j farmer
10 / 02 / 2000 02 : 23 pm
to : aimee lannou / hou / ect @ ect
cc : robert cotten / hou / ect @ ect
subject : re : meter 9707
i rolled this deal for day one in october only .
bob - please check with vance on this deal . has it terminated or should it
roll for october . i don ' t think that vance nom ' d anything .
d
aimee lannou 10 / 02 / 2000 10 : 49 am
to : daren j farmer / hou / ect @ ect , robert cotten / hou / ect @ ect
cc :
subject : meter 9707
daren - meter 9707 has flow for oct . 1 ( 1 . 459 mmbtu ) . deal # 125786 was used
for sept . 2000 . could you please extend the deal or have a new one
created ? thanks .
al",ham
"12 / 99 k ' s needed and 1 / 2000 k ' s needed. 12 / 99 k ' s needed and 1 / 2000 k ' s needed daren , can you help me with placing k ' s @ the below listed meters ? i don ' t
know if these deals should be rolled or if new ones were set up .
i ' ll need a k @ each specified meter for the month following the noted month
that had a k @ it .
thanks in advance for your help .
- jackie -
3 - 9497
98 - 1534 ( delivery ) last flowed w / a k was 12 / 99 on 215 k sitara # 95541 ( stop
date 12 / 99 )
98 - 6563 ( receipt ) last flowed w / a k wasl 1 / 99 on 203 k sitara # 26511 , then new
sitara # 130913 ( which was killed ) evergreen was checked on this one .
98 - 6614 ( receipt ) sitara # 130917 - this deal ' s stop date is 2 / 29 / 2000 . the
deal amount is for 1487 mmbtu ' s but the estimated vols . are "" 0 "" . did not
want to change anything in sitara without your knowledge .
98 - 9758 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 133088 ( stop
date 12 / 99 ) evergreen was checked on this one .
98 - 9651 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 51491 ( stop
date 12 / 99 ) new deal # 136744 ( deal killed )
98 - 9789 ( receipt ) last flowed w / a k was 11 / 99 on 012 - 41500 - 02 - 203 sitara
# 108246 ( stop date 11 / 99 )
98 - 5789 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 26569
( stop date 12 / 99 )
98 - 6855 ( receipt ) last flowed w / a k was 12 / 99 on 215 k sitara # 94120 ( stop
date 12 / 99 )
98 - 6725 ( receipt ) last flowed w / a kwas 12 / 99 on 215 k sitara # 138332 ( stop
date 12 / 99 )
98 - 9676 ( receipt ) last flowed w / a k was 12 / 99 on 215 k sitara # 95912 ( stop
date 12 / 99 )
98 - 4548 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 94147 ( stop
date 12 / 99 )",ham
"portland lease. portland lease i had a brief discussion with marcus buergler on tuesday regarding the portland space . i indicated to him that our desire would be to move , but that we would need the current space for a short period until other arraingements can be made . in the last two days we have done some research and think that we can get a better space for less money . on top of that , there are roughly $ 600 k worth of improvements ( separating from pge ) that need to be made here that may not be required in a new sapce .
based on my very brief discussion with marcus on tuesday , i was not aware that we wre heading down a path that would force us to stay in this building . i learned today that the estate has accepted the pge lease for this space and that we have to stay here . this is very depressing if it is true .
from a money point of view i don ' t think that it is the best decsion . more importantly , from a morale point of view this place is horrible . we have 15 , 000 square feet when we need between 5 , 000 and 10 , 000 . it is absolutely depressing here . people are very much in favor of moving .
please advise .",ham
"2 / 07 / 01 gas flow. 2 / 07 / 01 gas flow we show the nom for teco tap to be 30 . 000 and the actual for teco tap is
21 . 814
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
02 / 08 / 2001
10 : 52 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
kponton @ duke - energy . com on 02 / 08 / 2001 09 : 06 : 50 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu
cc :
subject : 2 / 07 / 01 gas flow
nom = 17 , 500 ( 6 : 00 pm started 60 , 000 rate & shut off at 1 : 00 am )
actual flow = 21 , 076 mcf 21 , 814 mmbtu ' s",ham
"the man of steel. the man of steel hello , welcome to pharmonl mendacity ine sh groundsel op
- retaliation one of the leading oniine pharmaceutical shops
washdrawing v
identic g
vesture al
l stringent l
lacuna la
hitlerite ra bowling cl
perpend is bilabiate va
kindly um
andmanyother .
- save ov erysipelas er 50 %
- worldwide shl deoxidize pplng
- total con caique fidentiaiity
- over 5 miiiion customers in 130 countr sculler ies
have a etiquette nice day !",spam
"fwd : want vicod | . n ^ | xanax | ; v | @ gra ~ . valium . | soma | ~ pnt 3 rmin ostepprcqyql. fwd : want vicod | . n ^ | xanax | ; v | @ gra ~ . valium . | soma | ~ pnt 3 rmin ostepprcqyql our team of u . s . board - certified physicians and pharmacists provide you with professional medical advice and fda - approved medications .
order these pills : # via | lium % xa / n / ax ) + soma + ; pnter : m : in < v | @ gra $ at : | v @ n
plus : pr ' 0 z @ c , p , busp @ : r , adipe : x , iona ` min , m ' 3 ridia , x ` 3 nica | , ambi 3 : n , s : 0 nata , fl 3 xe ` ril , ce | 3 bre ' x , fioric : 3 t , tram . @ do | , u | : tr @ m , l . 3 vitra , pro . p 3 cia , a ' cyc | 0 vir
we use our own licensed pharmacists .
begin your savings now . http : / / www . moderndrugstore . biz .
"" i pray thee , put into yonder port ,
that shall soothe this restless feeling ,
"" ' t is a fog - bell on a rock - bound coast ! "" - -
for i fear a hurricane .",spam
"yourr medz. yourr medz hello , welcome to ph disinclination armonline sh batata op
- one of the leading oniine ph friendless armaceutical shops
bacchanal v
stricken g
magnifier al
l spheral l
l medicine a
peatmoss rac whereof l
chanson is triangulate va
auctioneer um
andmanyother .
- save ov fundament er 50 %
- worldwide shlppl result ng
- total confi kingston dentiaiity
- over 5 miiiion customers in 130 squeal countries
have a nice day fetter !",spam
"read : master netting status request. read : master netting status request before you leave today or first thing in the morning , please advise bradford , rohauer and kitchen by email of the status of the particular master netting agreements on which you are working . barbara gray is coordinating the release of the gas receivable financing so that we can execute the netting agreements and she will advise as and when finalized . as previously noted today , the power receivable financing will be released as we sign the netting agreements on a counterparty - by - counterparty basis .
cordially ,
mary cook
enron north america corp .
1400 smith , 38 th floor , legal
houston , texas 77002 - 7361
( 713 ) 345 - 7732
( 713 ) 646 - 3393 ( fax )
mary . cook @ enron . com",ham
"re : newco regulatory list. re : newco regulatory list no
yeung + lindberg are gone
- - - - - - - - - - - - - - - - - - - - - - - - - -
jim steffes
enron",ham
"re : potential prospect. re : potential prospect hey vince ,
i e - mailed george to send you a resume .
tom
professor tom arnold
e . j . ourso college of business administration
department of finance
2155 ceba
louisiana state university
baton rouge , la 70803
o : 225 - 388 - 6369
f : 225 - 388 - 6366",ham
"gtv ii phase ii inception document. gtv ii phase ii inception document attached please find the revised gtv ii phase ii inception document . please review the document . we will be circulating the inception document for signature on tuesday , april 24 th . please refer to the attached microsoft project file for the detail of project plan and timeline estimate .
please send your comments to dave nommensen since i will be on vacation .
thanks
zhiyong",ham
"start your trading day with a bang. start your trading day with a bang now that oil and gas has entered a | ong - term bu | | market ,
our speciaity in pinpointing the hottest companies of the few remaining
undervalued energy piays has produced soaring returns .
montana oi | and gas , inc . ( mogi ) to explore further opportunities in alberta canada , a is an energy developer in canada ' s most highiy coveted reservoirs with generating potential of miliions per week
symbol - mogi
price - . 48
increased 11 % last three day ,
rating - strongbuy
how much it wi | | up again ?
the vaiue of mogi ' s shares wi | | skyrocket :
1 . price charts confirm oi | prices are experiencing the strongest bul |
market in a generation .
2 . natura | gas prices have tripied in the last two years .
3 . with multipie projects in high - gear and the expanding production on
reserves worth muiti - millions , mogi is seiling for less than 1 / 4 the
value of its assets .
4 . montana oi | and gas speciaiizes in using new technology to turn
unproductive oil and gas deposits into profitabie enterprises .
already shares in the oil and gas sector are rising faster than the
overall market . in fact , four of dow jones ' ten top performing industry
sectors for the past year are energy reiated . but it ' s in the mid - sized
explorers and developers like montana oil ( mogi ) that the biggest gains are being made . in the last 12 months , many of these stocks made triple and even quadrupie returns .
vancouver , march 11 , 2 oo 5 - ( mogi ) president peter sanders wouid | ike to announce that a decision has been made to explore further opportunities in the alberta canada region where the company currently has interests in three projects . the company has become aware of existing opportunities to partner in , or acquire leases , which may inciude producing welis and or exploratory programs which wi | | strengthen montana  s position with energy , cash oriented investment banking groups .
one of the most effective ways to acquire financia | partners for dri | | ing programs invoives existing production of oil and or gas in these programs . this wi | | significantly lessens the risk for the investment group , hence encouraging financial participation as wel | as speeding up the process of commitment by the investment group .
the sylvan | ake project will begin very shortiy the company and its partners have secured a driiling rig and are only waiting for a temporary road ban to be lifted . the rig is currently sitting in red deer alberta a mere 30 miles from syivan lake . the initial well is a 7 , 2 oo - foot peskisko sand test that is prospective for oi | and gas . it is expected to take approximately 10 to 12 days to dril | and test the initia | well . each development well has probabie production of 15 o barrels of oil per day and 750 mi | | ion cubic feet gas per day with reserves in excess of 1 bi | | ion cubic feet gas and 300 , ooo barreis of oi | . there are four other pay zones that are prospective for gas . the average wel | in the syivan lake field has produced 500 barreis of oi | per day with over one miliion cubic feet of gas per day . if successfu | , the company intends to dril | up to 4 more welis on these | and sections . for more detaiied information on this project please see news release dated feb . 7 th , 2 oo 5 . an announcement wiil be made immediateiy upon the commencement of drilling .
the company is also pieased to report that the tie in of its west lock project did start severa | days ago and it is anticitaped that this wiil be complete some time in the next coupie of days . peter sanders notes  the completion and tie in of the west lock project has ran into numerous deiays , however , this weil wi | | be tied in and the company wi | | be selling gas by next week thus generating cash flow for the company  the company will update its shareholders when it has heard from its partner in regards to compietion .
wil | mogi expiode higher as more and more investors become aware of the
stock ? if you think so , you may not want to wait unti | it is too late .
remember , timing your trade is critical .
good luck and successful trading .
information within this pubiication contains future looking statements
within the meaning of section 27 a of the securities act of 1933 and
section 21 b of the securities exchange act of 1934 . any statements thatexpress or invoive discussions with respect to predictions ,
expectations , beliefs , pians , projections , objectives , goais , assumptions or futureevents or performance are not statements of historica | fact and may be future looking statements . future looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which couid cause actual results or events to differ materia | | y from those presentiy anticipated . future looking statements in this action may be identified through the use of words such as projects , foresee , expects , will , anticipates , estimates , believes , understands or that by statements indicating certain actions may , could , or might occur . these future - | ooking statements are based on information currently available and are subject to a number of risks , uncertainties and other factors that could cause mogi  s actual resuits , performance , prospects or opportunities to differ materia | | y from those expressed in , or impiied by , these future - | ooking statements . as with many microcap stocks , today ' s company has additional risk
factors that raise doubt about its abiiity to continue as a going
concern . these risks , uncertainties and other factors include , without
| imitation , the company ' s growth expectations and ongoing funding
requirements , and specifically , the company ' s growth prospects with
scalabie customers . other risks inciude the company ' s | imited operating history , the company ' s history of operating losses , consumers ' acceptance , the company ' s use of licensed technoiogies , risk of increased competition , the potential need for additional financing , the conditions and terms of any financing that is consummated , the limited trading market for the company ' s securities , the possible voiatility of the company ' s stock price , the concentration of ownership , and the potential fiuctuation in the company ' s operating resuits . the pubiisher of this report does not represent that the information contained in this message states a | | material facts or does not omit a material fact necessary to make the statements therein not misleading . all information provided within this report pertaining to investing , stocks , securities must be understood as information provided and not investment advice . the pubiisher of this newsietter advises all readers and subscribers to seek advice from a registered professiona | securities representative before deciding to trade in stocks featured within this report . none of the materia | within this report shall be construed as any kind of investment advice or soiicitation . many of these companies are on the verge of bankruptcy . you can | ose ail your money by investing in this stock . the publisher of this report is not a registered investment expert . subscribers shouid not view information herein as | egal , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specially seiected to be referenced based on the favorabie performance of these companies . you wouid need perfect timing to achieve the resuits in the examples given . there can be no assurance of that happening . remember , as always , past performance is not indicative of future resuits and a thorough due diiigence effort , inciuding a review of a company ' s fiiings at sec gov or edgar - oniine com when avaiiabie , should be completed prior to investing .
ail factua | information in this report was gathered from public sources , inciuding but not limited to company websites and company press
releases . the pubiisher discioses the receipt of fifteen thousand
dollars from a third party , not an officer , director , or affiiiate sharehoider ofthe company for the preparation of this online report . be aware of aninherent confiict of interest resuiting from such compensation due to the fact that this is a paid publication . the pubiisher of this report beiieves this information to be reiiable but can make no assurance as to its accuracy or completeness . use of the materia | within this report constitutes your acceptance of these terms .
if you wish to stop future mailings , or if you feel you have been
wrongfu | | y placed in our membership , please go here or send a blank
e mail with no thanks in the subject to
( - stock 30 @ yahoo . com - )",spam
