fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,good_quality,total_acidity,acidity_ratio,free_to_total_sulfur,alcohol_level_medium,alcohol_level_high
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,0,7.989999999999999,19.487179487179485,0.323943661971831,True,False
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,0,8.33,18.372093023255815,0.2702702702702703,False,False
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,0,8.99,17.346938775510203,0.13432835820895522,False,False
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,0,7.300000000000001,17.25,0.525,True,False
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,0,6.6899999999999995,16.153846153846153,0.4782608695652174,False,False
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,0,8.01,18.536585365853657,0.36363636363636365,False,False
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,0,8.33,18.372093023255815,0.2702702702702703,False,False
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,0,7.81,10.0,0.4,False,False
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,0,8.445,12.093023255813954,0.5,True,False
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,0,7.375,9.925925925925926,0.2073170731707317,True,False
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,0,7.585000000000001,10.072992700729927,0.5945945945945946,True,False
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,0,8.955,12.67175572519084,0.13274336283185842,True,False
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,0,7.505000000000001,11.40495867768595,0.4819277108433735,False,False
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,0,5.5200000000000005,16.25,0.26,False,False
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,0,8.445,12.093023255813954,0.2777777777777778,True,False
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,0,8.4,13.0,0.2,True,False
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,1,8.48,21.31578947368421,0.43333333333333335,True,False
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,0,6.83,5.04424778761062,0.3684210526315789,True,False
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,0,7.75,16.22222222222222,0.13793103448275862,True,False
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,0,7.75,16.22222222222222,0.13793103448275862,True,False
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,0,9.41,14.426229508196723,0.3695652173913043,False,False
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,0,7.99,15.306122448979592,0.5714285714285714,True,False
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,0,8.76,12.272727272727272,0.391304347826087,True,False
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,0,7.47,10.149253731343283,0.45454545454545453,False,False
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,0,5.119999999999999,8.846153846153845,0.12307692307692308,False,True
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,0,8.635,8.235294117647058,0.19298245614035087,False,False
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,0,8.989999999999998,30.0,0.32432432432432434,False,False
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,0,6.800000000000001,16.0,0.4166666666666667,False,False
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,0,5.909999999999999,18.064516129032256,0.125,False,False
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,0,9.46,13.333333333333334,0.17391304347826086,False,False
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,0,7.119999999999999,12.692307692307692,0.5333333333333333,False,False
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,0,7.1,13.2,0.42857142857142855,False,False
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,0,8.98,22.63157894736842,0.25210084033613445,False,False
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,0,8.11,14.901960784313724,0.4520547945205479,True,False
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,0,8.32,12.419354838709678,0.5555555555555556,False,False
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,0,10.62,24.285714285714285,0.4,True,False
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,0,8.13,11.904761904761905,0.45454545454545453,False,False
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,0,8.39,13.220338983050848,0.3148148148148148,True,False
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,0,7.6899999999999995,18.717948717948715,0.1956521739130435,False,False
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,0,9.200000000000001,22.0,0.36538461538461536,False,False
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,0,8.39,11.159420289855074,0.17857142857142858,False,False
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,1,8.02,14.423076923076923,0.34285714285714286,False,False
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,0,7.735,9.523809523809524,0.24074074074074073,True,False
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,0,7.925,9.931034482758621,0.36363636363636365,True,False
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,0,7.925,9.931034482758621,0.36363636363636365,True,False
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,0,8.02,14.423076923076923,0.28205128205128205,True,False
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,0,7.305,9.361702127659575,0.4,True,False
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,0,9.620000000000001,29.0625,0.4153846153846154,True,False
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,0,8.705,11.347517730496454,0.42105263157894735,True,False
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,0,8.33,12.222222222222223,0.5555555555555556,False,False
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,0,8.370000000000001,11.492537313432836,0.17708333333333334,False,False
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,0,8.39,11.159420289855074,0.19148936170212766,False,False
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,0,8.975000000000001,12.296296296296296,0.2558139534883721,False,False
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,0,10.02,30.312499999999996,0.3373493975903614,True,False
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,0,9.21,21.463414634146343,0.21428571428571427,True,False
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,0,9.21,21.463414634146343,0.21428571428571427,True,False
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,0,7.585,8.662420382165605,0.4666666666666667,True,False
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,0,7.45,8.933333333333334,0.15,True,False
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,0,8.925,13.280000000000001,0.226890756302521,False,False
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,0,6.65,13.777777777777779,0.2,False,False
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,0,8.23,18.13953488372093,0.3283582089552239,False,False
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,0,7.9,14.8,0.2876712328767123,False,False
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,0,7.97,10.895522388059701,0.3137254901960784,False,False
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,0,6.6,21.0,0.29508196721311475,True,False
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,0,7.45,12.545454545454545,0.475,True,False
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,0,9.09,17.551020408163264,0.14705882352941177,True,False
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,0,8.19,15.714285714285715,0.2903225806451613,True,False
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,0,9.690000000000001,23.846153846153847,0.272,False,False
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,0,7.62,11.290322580645162,0.3333333333333333,False,False
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,0,8.42,15.192307692307692,0.3,False,False
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,0,9.09,17.551020408163264,0.14705882352941177,True,False
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,0,9.09,17.551020408163264,0.14285714285714285,True,False
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,0,8.19,15.714285714285715,0.2903225806451613,True,False
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,0,6.02,4.901960784313726,0.4823529411764706,True,False
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,0,5.3,7.833333333333334,0.16037735849056603,False,True
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,0,7.575,8.774193548387096,0.34782608695652173,True,False
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,0,7.5,14.0,0.13636363636363635,False,False
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,0,8.5,8.444444444444445,0.5,True,False
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,0,8.645,14.862385321100916,0.37142857142857144,False,False
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,0,8.91,13.606557377049182,0.22,True,False
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,0,8.3,15.6,0.36363636363636365,True,False
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,0,8.645,14.862385321100916,0.37142857142857144,False,False
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,0,8.674999999999999,14.08695652173913,0.18461538461538463,False,False
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,0,7.69,14.693877551020408,0.1388888888888889,False,False
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,0,8.674999999999999,14.08695652173913,0.18461538461538463,False,False
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,0,8.209999999999999,19.024390243902438,0.2608695652173913,False,False
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,0,6.83,9.841269841269842,0.234375,False,False
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,0,8.33,24.242424242424242,0.225,True,False
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,0,8.885,10.318471337579616,0.24183006535947713,False,False
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,0,8.36,13.928571428571427,0.2553191489361702,False,False
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,0,9.02,13.548387096774194,0.10185185185185185,True,False
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,0,9.0,14.000000000000002,0.12612612612612611,True,False
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,0,10.41,32.58064516129032,0.4782608695652174,True,False
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,0,8.36,13.928571428571427,0.2553191489361702,False,False
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,0,9.8,23.5,0.20967741935483872,True,False
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,0,8.84,15.37037037037037,0.275,True,False
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,0,8.36,13.928571428571427,0.25,False,False
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,0,9.350000000000001,16.0,0.25,True,False
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,0,7.6899999999999995,10.144927536231885,0.24719101123595505,False,False
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,0,8.37,6.822429906542055,0.11235955056179775,False,False
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,0,9.350000000000001,16.0,0.25,True,False
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,0,7.995,10.503597122302159,0.23076923076923078,False,False
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,0,8.71,11.267605633802818,0.3235294117647059,False,False
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,0,8.3,15.6,0.20588235294117646,False,False
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,0,9.62,14.516129032258064,0.3,False,False
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,0,9.53,6.1654135338345855,0.25,True,False
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,0,9.43,6.090225563909774,0.25,True,False
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,1,8.59,13.559322033898306,0.1875,True,False
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,0,6.4799999999999995,16.052631578947366,0.3157894736842105,False,False
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,0,8.745,10.738255033557047,0.22388059701492538,False,False
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,0,6.1,11.2,0.1717171717171717,False,True
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,0,6.1,11.2,0.1717171717171717,False,True
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,0,7.1,13.2,0.6538461538461539,True,False
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,0,8.940000000000001,7.596153846153846,0.4482758620689655,True,False
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,0,9.145,11.275167785234899,0.25396825396825395,True,False
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,0,9.015,11.60839160839161,0.19230769230769232,False,False
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,0,7.615,17.34939759036145,0.28888888888888886,False,False
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,0,8.36,13.928571428571427,0.14285714285714285,False,False
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,0,8.36,13.928571428571427,0.1574074074074074,False,False
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,0,9.145,11.275167785234899,0.25396825396825395,True,False
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,0,9.015,11.60839160839161,0.19230769230769232,False,False
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,0,5.54,15.294117647058822,0.42857142857142855,False,True
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,0,6.6899999999999995,16.153846153846153,0.15,False,False
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,0,5.54,15.294117647058822,0.42857142857142855,False,True
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,0,8.77,12.089552238805968,0.22695035460992907,False,False
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,0,6.4799999999999995,8.529411764705882,0.22340425531914893,True,False
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,0,8.09,15.510204081632653,0.11363636363636363,False,False
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,0,7.390000000000001,14.081632653061225,0.4,True,False
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,0,8.6,20.499999999999996,0.2558139534883721,True,False
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,0,7.63,22.12121212121212,0.45454545454545453,True,False
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,0,9.719999999999999,17.69230769230769,0.463768115942029,False,False
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,0,8.1,12.5,0.25252525252525254,True,False
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,0,8.1,12.5,0.25252525252525254,True,False
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,0,7.529999999999999,16.511627906976745,0.2248062015503876,True,False
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,0,7.529999999999999,16.511627906976745,0.21875,True,False
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,0,7.529999999999999,16.511627906976745,0.2248062015503876,True,False
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,0,7.529999999999999,16.511627906976745,0.21875,True,False
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,0,7.779999999999999,10.441176470588234,0.5454545454545454,False,False
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,0,7.3999999999999995,11.333333333333334,0.20930232558139536,False,False
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,0,8.549999999999999,8.0,0.35,True,False
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,0,8.28,11.176470588235293,0.45,False,False
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,0,8.33,14.716981132075471,0.5483870967741935,True,False
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,0,8.0,12.333333333333334,0.2975206611570248,False,False
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,0,7.89,12.372881355932204,0.2892561983471074,False,False
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,0,8.43,12.380952380952381,0.14583333333333334,False,False
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,0,7.4399999999999995,10.625,0.1782178217821782,True,False
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,0,7.85,13.272727272727272,0.40476190476190477,False,False
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,0,7.43,10.793650793650793,0.25,True,False
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,0,8.205,10.638297872340425,0.23809523809523808,False,False
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,0,8.785,8.926553672316384,0.5,False,False
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,0,8.42,19.047619047619047,0.3333333333333333,False,False
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,0,8.42,19.047619047619047,0.3333333333333333,False,False
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,0,8.02,11.935483870967742,0.5714285714285714,False,True
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,0,7.68,19.210526315789473,0.2,False,False
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,0,7.4,13.8,0.3877551020408163,False,False
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,0,7.68,19.210526315789473,0.2,False,False
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,0,8.02,14.423076923076923,0.21052631578947367,True,False
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,0,7.805,8.695652173913043,0.35,True,False
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,0,9.41,14.426229508196723,0.23809523809523808,False,False
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,0,9.41,14.426229508196723,0.23809523809523808,False,False
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,0,9.51,14.590163934426231,0.20909090909090908,False,False
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,0,7.93,9.863013698630137,0.38095238095238093,False,False
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,0,7.41,11.147540983606557,0.16923076923076924,False,False
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,0,7.32,10.806451612903226,0.12903225806451613,False,False
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,0,9.21,28.70967741935484,0.3058823529411765,True,False
7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,0,7.79,18.974358974358974,0.208955223880597,False,False
7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,0,8.405,10.921985815602838,0.34615384615384615,True,False
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,0,8.4,15.8,0.1048951048951049,False,False
7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,9.5,0,8.39,16.122448979591837,0.11805555555555555,False,False
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,0,8.7,16.4,0.16535433070866143,False,False
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,0,6.7700000000000005,17.2972972972973,0.42857142857142855,True,False
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5,0,7.43,10.793650793650793,0.12698412698412698,False,False
