videostatsid,ytvideoid,views,comments,likes,dislikes,timestamp
1427456,4VoqwrEEAZM,1969404,8802,86816,1043,2020-03-21 22:30:36
979461,cS34FDgRH4A,424427,2137,2682,219,2019-12-17 07:30:19
118099,-J6tDYYT2iE,583775,4761,20298,1051,2019-04-27 17:15:35
399862,xYLdo7THb94,761437,1060,15418,527,2019-06-28 17:30:47
758829,LFYJTudJ540,1718185,5863,47783,1277,2019-09-27 04:30:41
1292081,36T4BuItXHI,1047338,2023,29385,624,2020-02-22 04:30:59
445008,D7nbsoa9PNk,961822,2212,18058,851,2019-07-08 07:00:53
770292,HWmFxTG_rUI,524168,1367,23400,600,2019-09-29 15:00:35
336910,gCwEJiQpaXc,3431303,4602,84940,3868,2019-06-14 17:30:48
1061133,C1SbC5T-_1E,525806,990,2615,303,2020-01-03 14:00:45
1027805,kjtoZhVJBSE,1639042,9241,161195,1178,2019-12-27 12:00:36
564056,HK2ShDH5sVg,1377273,2300,65895,2101,2019-08-02 08:00:44
118161,OM_QJkD-Mr8,9492554,24847,182718,26385,2019-04-27 17:30:11
1230171,C3mGpoA-RxQ,380032,4312,31568,304,2020-02-08 22:30:19
734611,IPy5k3J0_co,1074569,2972,82886,1132,2019-09-22 00:01:01
93014,Esef5__HDXY,3318825,23670,116022,3598,2019-04-25 02:00:54
1415486,s0h7WwWdt_s,1316603,2569,52342,1909,2020-03-19 08:00:51
610249,jpsxTdIVK28,403271,1836,4154,399,2019-08-21 15:00:18
1106017,hhMsewwy9s0,649669,145,54795,1100,2020-01-13 02:30:58
199778,QyB5ofy9RaY,14426097,36870,465385,29378,2019-05-16 14:30:34
422573,MEI5xGbX6LA,871244,4383,39885,685,2019-07-03 15:00:27
1533428,Qw2OBCfXsEo,1145546,7430,41955,816,2020-04-13 08:00:21
165262,DOXQGgAlA80,367473,1295,12257,701,2019-05-09 08:00:18
1147033,w9uWPBDHEKE,1013850,10094,120909,3020,2020-01-22 07:00:05
1027172,slARefkPa3o,357232,2485,5227,370,2019-12-27 09:00:09
895396,Tr4MfoVaRC0,2545948,16805,182914,3352,2019-11-29 13:30:07
656072,2kE-L70JkA4,605750,1828,15499,280,2019-08-31 06:00:59
897925,6WkxgZLb4Dk,1489703,2342,44614,1030,2019-11-30 02:00:49
504635,Ng3y6ddBoWM,1168911,6960,67641,1386,2019-07-20 20:30:16
199782,NYhpE2ECzXg,777021,1360,16270,400,2019-05-16 14:30:37
1301071,qfATGLIGeM8,2106191,12707,30025,3382,2020-02-24 02:01:12
483262,8OlLOr9aL-w,1704278,15548,190472,819,2019-07-16 09:00:44
465545,61GL-XJDx6A,1469332,2371,37852,5099,2019-07-12 16:00:15
291791,ReJzgKpKxDU,1575191,4003,52405,1874,2019-06-05 03:00:19
971135,mnK70buMRlc,862836,1703,21560,434,2019-12-15 13:30:52
1258667,i6OUv48w1bk,6320524,38196,499478,6866,2020-02-15 00:00:03
763387,yDNfvKEs_m0,798152,3860,64160,1277,2019-09-28 04:00:09
1018807,cZhcNvmlrBs,489136,1521,12301,329,2019-12-25 14:00:47
770179,Gtjfvcqw0pI,1401369,5305,44959,828,2019-09-29 14:30:28
1050058,Bru8AddADvo,2971057,8064,29852,1770,2020-01-01 06:00:13
331894,eQdarhAnG3I,494151,4072,44238,323,2019-06-13 15:30:47
1025751,TNTKRj2lS1g,1454571,4195,64609,910,2019-12-27 01:30:37
648975,zAGVQLHvwOY,10648616,33803,407658,10123,2019-08-29 19:00:02
403100,6eaEoU5JRAw,1731112,3088,61514,1651,2019-06-29 10:30:36
289736,TroHQzF2X6Y,582128,1363,3277,489,2019-06-04 16:00:54
848370,o0F9Uktpgtk,634922,1966,7983,3216,2019-11-19 15:00:17
773598,p4_YajfRohA,1093809,6204,9584,1558,2019-10-09 14:30:59
1072133,8EJ3zbKTWQ8,12659112,103877,999166,171168,2020-01-05 22:30:04
471658,_b9zmR15MZ4,756077,2646,36223,368,2019-07-13 22:30:30
1023375,yBnZzg82Pvg,1080081,4095,23353,1260,2019-12-26 13:30:23
1414990,15QGRJ8Ndl4,165725,599,2663,67,2020-03-19 05:30:48
686892,o-gwWVYmW7Y,1761643,10671,25739,35967,2019-09-11 22:01:00
27828,DqbTYzeVlGY,849981,2168,37722,358,2019-04-18 03:15:28
1457398,Gm3cWYCLRRo,1235325,10536,101041,886,2020-03-28 06:00:52
141211,iDKIw3OgNcg,1275577,2424,45062,1411,2019-05-04 07:30:43
147117,RZfkqYi6o9I,2165739,18740,80326,4353,2019-05-05 13:00:52
1242128,HpRksMHNBeE,357385,907,16518,296,2020-02-11 11:00:12
110701,6jaks_F2UFU,1389305,2970,31869,518,2019-04-26 22:45:37
1099032,ocDoTi_i0eI,1189634,3488,26404,1232,2020-01-11 15:30:26
253347,FPg89qonG0E,12964016,22801,310082,12271,2019-05-27 19:30:49
880054,_M0RLQOQnuU,591580,3334,39366,300,2019-11-26 07:30:15
1517749,Y80ZTbjtz5c,991004,2986,35228,3170,2020-04-10 01:00:48
669493,sISuJj-8k2g,10870515,8729,160276,2288,2019-09-03 01:30:54
681021,titX1G48Fj8,91405,275,793,59,2019-09-10 16:30:17
1187964,5bSE0kEva64,4230827,3504,50983,2249,2020-01-31 00:30:08
460526,drqgCrwklQg,431835,834,27265,142,2019-07-11 14:30:08
837238,2rzBpIU-L78,2013919,18362,243804,1918,2019-11-17 06:30:27
1238445,dDmEtDx39UI,781605,1197,25236,488,2020-02-10 16:00:39
11208,v8Eo34bawfI,607004,1422,10885,244,2019-04-16 09:00:13
451036,QISYSOJWRJo,654367,2126,10487,446,2019-07-09 13:30:40
212157,AkhshjL8R1s,1694958,11039,84042,1893,2019-05-19 05:00:42
895603,PbKYAks6044,2983683,5652,148455,1896,2019-11-29 14:30:15
910597,fgH_7vAPAOI,567578,1232,16148,993,2019-12-02 18:30:33
197942,9tKr3m6r9NI,4182023,9604,185361,1985,2019-05-16 05:00:55
254522,Bbb5XC6DYxY,5667033,16506,272650,4955,2019-05-28 01:30:35
494545,-it-OH7pxK4,619706,4449,10909,2855,2019-07-18 17:30:34
1328198,SuV5_XXNsDE,2287928,7033,186516,2819,2020-02-29 20:00:39
774401,pm5Ft3AMzXA,574217,4255,6574,335,2019-10-28 00:30:27
103503,IU_Cb6EJGsY,209733,510,1375,96,2019-04-26 04:45:16
1016934,n-siktLSCFI,7943660,26224,365949,9330,2019-12-25 04:30:36
405192,UqKUExgryXo,730600,2799,17054,634,2019-06-29 21:30:20
515582,Y2tImIJ4NLo,440850,1781,17883,272,2019-07-23 04:00:25
58567,DesEUpFgGrQ,1185662,1428,24938,379,2019-04-21 09:45:06
734111,VTd5kQhtih8,2175706,8057,139622,3258,2019-09-21 21:30:50
480303,-vx_-H_158w,3009664,5677,127970,731,2019-07-15 18:00:51
1072114,QZblQLhKcZQ,6816929,1731,8586,981,2020-01-05 22:00:50
624624,BjoZSP8_Ce4,2278471,8909,81189,1500,2019-08-24 16:00:23
940982,PVkP2dw04lg,434379,663,4142,148,2019-12-09 04:30:21
1447282,eGdCJXb3DjQ,320121,2781,33626,195,2020-03-26 03:30:16
486904,OGyJK-0PYm0,261562,1370,6359,306,2019-07-17 03:30:14
239982,MhJ_4ekYNjQ,1200066,2471,46205,1009,2019-05-25 01:00:10
1466744,Ky0ayEoq_Fc,784754,2177,38182,277,2020-03-30 05:30:49
584458,bkXWYnQ8ITo,1140511,1813,30001,725,2019-08-06 14:30:39
515283,_G-CFjzrgxE,457390,1381,14846,454,2019-07-23 02:30:21
317751,ktJ4icdmaD8,655036,3320,26410,697,2019-06-10 15:30:16
773152,nTVdN6s3rXY,2754784,3429,56690,1310,2019-10-09 12:30:25
1417301,C9zoo6e_kDc,459950,3863,20164,718,2020-03-19 17:30:41
1227651,JC4xlDmwlOw,1829114,2797,51785,662,2020-02-08 09:30:49
589352,cP_UpYHn8Ao,1625402,4966,59469,3599,2019-08-07 15:30:07
560998,qtk15bXGA7g,296890,1926,16455,156,2019-08-01 16:30:53
148859,cHHYEEkllbA,620792,1363,41512,351,2019-05-05 22:00:20
1052392,15uxUMrozEk,2372828,57908,234673,2658,2020-01-01 18:00:05
1364253,MIZyoTRNAG8,2152562,15156,169965,966,2020-03-08 13:00:53
738831,IK1nXr-ia2Y,1056514,1944,16144,1164,2019-09-22 22:00:43
1256427,ScegqfgH5TY,538144,3850,33401,445,2020-02-14 12:30:11
682898,XpXx6qCoIxg,381830,1089,11713,159,2019-09-11 02:00:29
892295,Ri5ddU6FN_Q,377608,1367,16973,854,2019-11-28 21:30:25
1131606,i1tTmTKXPcc,652856,2851,29937,346,2020-01-19 00:00:34
1114670,Jt1FFRNBoqw,822424,2376,33756,751,2020-01-14 23:30:24
282833,sbV_pDwKfZQ,1205725,4295,83674,885,2019-06-03 05:00:09
115153,WiKi-DVuCXw,1730894,11296,64068,1945,2019-04-27 10:00:08
992929,1j3k5m1AGk4,215865,2160,6318,581,2019-12-20 03:00:35
256006,XFnJ2tUBaLI,4418679,6377,108136,3303,2019-05-28 09:00:26
118075,NJ5uQ0F3yNg,954145,3120,23401,503,2019-04-27 17:15:20
1003509,SRuQzlVjOSM,878694,6651,44375,889,2019-12-22 08:30:16
1318997,ZLKZKmdZEjM,707526,10047,119658,891,2020-02-27 21:00:11
594832,RtvqVbg7lII,2403808,8635,121322,11028,2019-08-18 09:30:32
1386699,gP767-3IiJY,1663024,5116,92027,1849,2020-03-13 07:00:19
1281397,WTDmqk6uMr0,123362,627,1192,172,2020-02-19 21:30:34
1450472,VI11XNr3jHo,396658,1094,20969,248,2020-03-26 19:30:22
1326754,_7ONEaabK90,835025,4558,31151,406,2020-02-29 12:30:45
633979,0dRvoFfa59w,4921280,9178,233170,2987,2019-08-26 15:30:05
556370,ciLEX04BVFM,1841064,14537,76444,2216,2019-07-31 17:30:06
237578,b1dFSWLJ9wY,1957621,17083,299685,2524,2019-05-24 13:00:08
1104982,MyNnVGI8TFk,1400784,957,35045,614,2020-01-12 21:30:24
1312315,M9n_QBuQ5YU,1157665,6460,39062,1824,2020-02-26 10:30:53
526295,Oljp31LzLUk,1451301,10533,90183,1097,2019-07-25 10:30:20
1417189,hBj0-dIU8HI,827334,4038,53423,892,2020-03-19 17:00:35
752100,oeZsIUXpiS4,1483823,12904,89947,1326,2019-09-25 19:00:14
1145270,LDJbcWJI2UA,5707206,5205,101020,4780,2020-01-21 21:30:38
901566,I19hf_IAtFs,586862,1073,38173,347,2019-11-30 20:30:43
744183,bwzLiQZDw2I,3706209,10832,116661,4036,2019-09-24 02:30:03
697475,0II-EFw9J0A,3931020,21243,315999,6481,2019-09-14 04:00:03
1210533,ONk_kWP1Uq8,1762724,966,15388,292,2020-02-04 18:00:38
81947,dwV04XuiWq4,6478061,14976,270868,5185,2019-04-23 22:00:03
1441816,XkUsAztC4Xc,1271619,6534,41445,540,2020-03-24 23:31:02
16528,NbhiGb_pZ-g,2497387,15601,134631,2032,2019-04-16 22:30:50
791713,iObg33h-hEI,2991470,16841,157756,30862,2019-10-31 16:30:03
902508,4MK8usgnvfo,762159,1951,40509,4014,2019-12-01 01:30:14
565817,27tWybOqftA,456419,3434,48562,264,2019-08-02 17:00:28
1133898,1lVQRHDUG6A,484721,1518,21332,254,2020-01-19 11:30:43
916313,ocpOQIy9xcU,581809,7458,47553,729,2019-12-04 00:00:08
369487,rVHVuQYFWfc,804487,6783,128711,939,2019-06-21 16:30:23
959334,iXhnL4oqY0s,381447,1591,31559,610,2019-12-13 01:30:25
1197561,ccvMEw8Qu6Q,959665,4840,6396,1164,2020-02-02 00:30:48
1304653,4Sk-9hqf8vY,5491353,16879,304854,21162,2020-02-24 20:00:41
1033166,BxG5Lgorn2s,783924,1916,24784,602,2019-12-28 15:30:19
230401,yUbTzYK4w1k,1138640,2716,64524,997,2019-05-23 01:00:20
383562,KXKUwXO8Yvs,1285643,7823,44620,700,2019-06-24 15:00:40
590503,yyNjyxQ1i30,786739,997,8423,347,2019-08-07 21:00:39
1443105,Gm3cWYCLRRo,767303,8578,75410,555,2020-03-25 06:30:04
903445,57LgNxqkJTM,1279744,4423,33926,4079,2019-12-01 06:00:42
1340223,71sj1LVELoc,814845,1217,29310,469,2020-03-03 10:00:05
373918,BBdH7Chc_1k,911027,13739,64425,629,2019-06-22 14:30:43
694648,rCIz-lbxtCU,1311151,5503,36952,756,2019-09-13 13:30:29
319890,hlT4ToGhrKM,899133,1709,6325,543,2019-06-11 03:00:37
783642,qKzheYjPO1E,454608,1101,15819,507,2019-10-29 23:00:43
969938,LLAl-ahXOCo,2695031,10341,108225,4747,2019-12-15 07:30:40
1205746,36wfspQSRIw,1800669,4516,163572,800,2020-02-03 17:30:46
1452637,bS5ve8rG-Ik,1798863,8441,99848,2445,2020-03-27 06:01:05
357144,nN0d4WVmqi4,2406959,4384,49680,2186,2019-06-19 02:30:23
228484,etfYHPX822E,361423,1534,4127,222,2019-05-22 15:30:11
40340,grF8xYXMJLk,2369139,4892,116685,1241,2019-04-19 11:00:21
1106360,Q28nTAPXmEg,1294995,4798,45250,856,2020-01-13 04:30:26
385522,vUB_EwNuSPY,885048,3995,35066,1177,2019-06-25 01:00:27
359720,JFOiJ5ZvQlE,1637562,1167,53258,1138,2019-06-19 15:30:43
252375,wAf0p9gP7oQ,1472060,6538,30595,535,2019-05-27 15:00:07
366354,5VErxiXnCVA,2391238,17711,191005,1576,2019-06-21 01:00:05
551161,lTUr-zU6AlA,494948,1389,16272,257,2019-07-30 15:00:26
1189863,0v0AxXNgzN0,2750004,3280,51566,1137,2020-01-31 10:00:17
487316,mz296Izw-S8,751017,7635,50234,755,2019-07-17 05:32:34
1514253,GegN_AXWWqc,1718981,6067,80552,533,2020-04-09 07:30:52
161713,cHHYEEkllbA,738419,1460,46397,414,2019-05-08 14:00:54
104553,2PgvKrZVJxw,1514697,3451,39107,982,2019-04-26 07:15:53
766078,HdNBzaudaS4,1253786,2123,27729,1908,2019-09-28 17:30:31
877673,WBJT42jPuPo,697948,2253,21933,972,2019-11-25 19:30:20
271085,k13EltDN5cU,704549,2940,10541,299,2019-05-31 14:30:17
120423,VlYvrkuMGPE,1316167,9117,48296,1872,2019-04-27 23:00:46
353561,awgcC3Mg4Zc,1743436,4532,95511,1863,2019-06-18 08:00:28
905025,X2h_yHnTwVw,2327329,6240,125904,1387,2019-12-01 14:00:44
1248921,Nh_9oK3XQ2M,538918,2587,13963,706,2020-02-12 22:00:28
1501652,xeIwKpqoK8c,1049252,4866,56675,573,2020-04-06 16:00:53
275522,77w4NjBIBd0,747824,2330,35326,540,2019-06-01 13:00:31
1143188,cVz12M2awA8,1855375,2204,29059,1672,2020-01-21 11:00:03
885682,eyUyF2UhCL0,531313,2424,39680,685,2019-11-27 12:00:21
240076,NoVW2lvykmY,380301,3491,5495,482,2019-05-25 01:30:07
1168009,asDrUqwtkSI,937392,1020,23477,388,2020-01-26 19:00:43
755820,Vzcwg7rjHYo,970975,3963,51394,1119,2019-09-26 13:30:26
1282273,ZOSoQxSHKKE,1317184,8794,85735,616,2020-02-20 02:00:26
597514,DiPCiLIgU4U,1936225,6525,84653,1184,2019-08-18 23:00:21
385171,e5MLJRoyBRg,5870398,33433,920875,11138,2019-06-24 23:00:57
1535972,Y89bSMvaMUk,1700656,3172,63157,2644,2020-04-13 21:00:51
1054229,UxRbwO3e6gM,820708,1278,6326,393,2020-01-02 03:00:47
781427,fbnGvorFjxs,663764,1508,8284,399,2019-10-29 12:00:09
1490600,ERgrFVhL-n4,683907,4921,30910,537,2020-04-04 08:00:15
897485,iTZIm0-PuUw,1153993,2214,46595,518,2019-11-30 00:00:26
894215,tMbRu3YkmJo,9370197,26173,580822,8699,2019-11-29 07:30:03
1236487,iFwCKXhhzFc,679289,4336,70888,1082,2020-02-10 06:01:02
578603,tYRS0aXaBC8,3587912,12073,127770,1484,2019-08-05 09:00:44
539047,PN5lrtOWLtA,916107,3184,23295,1064,2019-07-28 02:00:53
100856,dwV04XuiWq4,10065952,17195,339501,7529,2019-04-25 22:00:29
925233,9S-yGnxdzeY,604716,2573,39378,790,2019-12-05 21:30:23
390689,w2uhhQcjiqE,396474,5226,26929,533,2019-06-26 03:00:54
1335076,QtldQK3QgS4,1829601,6083,52348,2135,2020-03-02 07:30:22
1213995,AvXeS_UkhJ0,566132,1620,5222,374,2020-02-05 12:00:16
194665,fDn6YBFAOgM,1668511,5804,31345,1167,2019-05-15 12:30:26
1237667,e53QBQzm7xk,547439,1027,2380,300,2020-02-10 12:00:47
1481812,_bf0OTv6cPA,361208,4328,41953,493,2020-04-02 11:30:27
839435,FIamrDpRyoE,1150357,3039,50674,2141,2019-11-17 17:30:32
784170,WjTpkAXXM7c,564732,5439,20235,724,2019-10-30 02:00:09
1464435,xBlTyoGuIEQ,564554,632,3043,1300,2020-03-29 17:30:51
1416647,XUKW0EsMSyQ,734040,4736,66118,577,2020-03-19 14:00:53
930694,DkT1k5QyV6o,632574,1205,10867,386,2019-12-07 01:00:08
1121565,Jt1FFRNBoqw,1054747,2616,38638,932,2020-01-16 21:30:52
884642,-xWoc0T4YaA,384037,1098,21953,647,2019-11-27 06:30:46
295359,S5bBXm99n8g,1095247,1334,11958,315,2019-06-05 21:30:27
1373713,GLsXcv5zouQ,1433798,9087,11185,2041,2020-03-10 13:30:20
84413,JHkiVa-FYvo,1891873,14567,53642,6588,2019-04-24 04:15:12
768196,9esR_xTJrhA,209773,731,5283,94,2019-09-29 04:30:11
141824,BXhOMvlvlIQ,1771054,1952,34696,1423,2019-05-04 10:30:51
1094312,rNaT3KazKoE,349594,5498,27199,11060,2020-01-10 15:30:20
1167363,Ji1HfMTL2U0,234212,1778,2110,80,2020-01-26 16:00:11
1252841,AG9-Q6UabfQ,1668805,523,26702,4806,2020-02-13 18:00:33
789377,pe9EKmBM6XA,488905,1331,36652,495,2019-10-31 04:30:16
1228150,jXzK2PuMsBM,1655278,4569,78536,1935,2020-02-08 12:00:51
566174,CbEst0K063c,4349142,10673,329695,5139,2019-08-02 19:00:11
1229938,FPRExtm7MTQ,1167332,2632,29487,543,2020-02-08 21:00:58
1140076,Av4lI6ANeHY,523037,5559,97957,396,2020-01-20 18:30:55
914150,xQ7OTytiDDg,272359,581,1165,92,2019-12-03 12:30:51
908434,EN_HzPZVfNE,595235,5123,51277,2234,2019-12-02 07:30:28
70108,zm6fTypsZXc,484276,1681,16864,245,2019-04-22 15:30:11
759317,DqXLsNq6VcQ,820554,6341,65302,872,2019-09-27 07:00:41
1152711,IZgXI3p7J3w,850394,4126,69979,730,2020-01-23 12:30:43
377162,gpfn6lBiZJI,1643258,7023,53911,2390,2019-06-23 07:00:10
996605,9OTsUjsHpLg,496192,633,4656,276,2019-12-20 21:30:30
879099,WwbhE4VcJDQ,290131,895,12844,145,2019-11-26 02:30:44
699450,-lzYBFqsWQk,830335,6817,15331,2573,2019-09-14 13:30:56
410752,hcJ4MAKTFQ4,618591,3028,22067,724,2019-07-01 02:30:18
66831,36VcW5DWJyI,765796,2229,6132,207,2019-04-22 07:00:16
1037637,kcuiI3cvEVI,1336127,1284,36678,978,2019-12-29 14:30:17
246104,jAhKOV3nImQ,1669229,5730,102819,1612,2019-05-26 07:30:23
1395062,SkFLaPEw-Vg,660345,2720,23638,292,2020-03-15 00:30:58
652070,jkqODtheavg,254677,1068,9661,213,2019-08-30 10:00:52
879873,6q4kCRREAgk,2592904,14037,247797,4812,2019-11-26 06:30:24
1120251,HTFQxkSrY-g,326046,540,2044,107,2020-01-16 15:00:37
159752,DOXQGgAlA80,168200,866,8767,285,2019-05-08 04:30:13
747367,_ybT5GFpCSw,628650,1623,40847,287,2019-09-24 19:00:15
330381,_fnhy5xO9vQ,1812357,3359,63165,746,2019-06-13 08:00:26
489194,WTrBWGvhNvw,365459,1654,19248,184,2019-07-17 15:00:09
909610,MBQ8q4b9ab8,305908,1095,17188,396,2019-12-02 13:30:30
1126837,hY5ZODu4Y34,628583,1390,21125,471,2020-01-18 00:00:54
1480678,h9j89L8eQQk,881709,2300,67334,294,2020-04-02 05:30:55
944311,Nva0Cpfm7Tw,649159,1244,19207,586,2019-12-09 21:01:07
856503,9EIWKJ5HSO8,1614501,2764,41070,1386,2019-11-21 08:00:26
1274731,ZwlKyUdUqP4,514385,1195,8523,174,2020-02-18 11:00:13
472058,wuvlEJxI9wM,5632373,27611,310779,15100,2019-07-14 00:30:31
1236049,6AgbTGUp_hU,1185125,2905,41676,8931,2020-02-10 04:00:51
812389,LSDvpgQd5mo,918163,3491,54932,736,2019-11-04 23:00:57
1324073,58I5UeOOhkE,1048566,1800,62783,577,2020-02-28 23:00:06
1328045,UNZqm3dxd2w,7056330,49147,705378,8892,2020-02-29 19:30:04
893832,ZDFy1wCgbLM,896721,3017,58973,534,2019-11-29 05:30:09
162875,sxzskZXXU1g,330693,679,3203,126,2019-05-08 20:00:28
70882,gbgJy8kqFho,8141125,31302,37327,4616,2019-04-22 17:30:10
328688,WoP7WCVXoTs,365981,1197,14954,274,2019-06-12 23:30:20
157411,H6MLJG0RdDE,12397519,16748,117379,8471,2019-05-07 16:30:48
368468,6MLzSp0OJL0,937557,3482,92267,993,2019-06-21 11:30:14
1511306,Z0gXZS9XcBM,2472746,8708,104820,1505,2020-04-08 17:00:25
1401847,JyGO22pRyDk,1576423,8837,61987,1529,2020-03-16 10:30:47
135388,TWIPtx1-t0k,919873,19706,115576,438,2019-04-29 15:15:41
1162018,VbuCw3E8Y5Y,1091176,8081,57930,7642,2020-01-25 12:30:40
706485,PaErPyEnDvk,2119129,9537,169446,1204,2019-09-16 01:30:04
615593,PVsRWRZUhnQ,342306,1024,11455,240,2019-08-22 18:00:20
1200825,PziWjFeCjms,726750,1805,13636,728,2020-02-02 17:00:27
418805,--rdXH0SaYA,944910,2674,7552,766,2019-07-02 20:00:25
860342,MYQTKU8Prvg,740429,1353,20368,860,2019-11-22 03:30:29
908822,QmYNmNHrtCQ,1526113,5737,64785,1880,2019-12-02 09:30:26
983779,7mG6SDhiR1A,512405,2725,37197,462,2019-12-18 05:00:31
827077,6duoGUmeDsc,2745832,11966,110618,8161,2019-11-08 02:00:28
1472501,SRcbKqtjS04,863421,2858,37581,985,2020-03-31 11:30:54
1024198,3VANVBUX-Uk,2724377,16998,173134,3022,2019-12-26 17:30:45
537155,tJpzKpoYKY0,597228,5224,66714,854,2019-07-27 16:30:53
1250207,E7lIKJLGDnA,2157211,18202,97493,5530,2020-02-13 04:30:35
493558,DApzVVyNMRI,1187181,3733,97299,1577,2019-07-18 12:30:45
1309609,uUFl1uWcPNs,278040,656,12932,144,2020-02-25 21:00:35
1538965,YJzKuhYrJAo,2566720,12189,116084,2204,2020-04-14 12:30:51
1314480,2pbnbQZcAWs,915861,4689,3667,591,2020-02-26 21:30:56
624588,aOC8E8z_ifw,5935158,19653,236705,7319,2019-08-24 16:00:03
787418,L5TXiYfd3tE,186621,1143,4444,446,2019-10-30 18:30:16
25410,-O39FAQapSA,967276,3167,13208,896,2019-04-17 21:00:47
1308172,GD76Qk6KdXU,1663793,4116,15232,3438,2020-02-25 14:00:11
637159,agyz9s7oMFA,2977887,13355,100519,1762,2019-08-27 07:00:53
1192689,UDngGivE99c,1262287,3032,18689,2009,2020-02-01 00:00:52
1046273,ouPNHGUNX_I,2946745,5108,131413,2793,2019-12-31 10:30:35
810616,ML78pKEB_5s,2197277,4815,75722,2393,2019-11-04 14:30:06
1216975,T5PKXaMpKzo,1176789,7470,50834,1489,2020-02-06 03:00:40
659870,E86qhcFfjcg,1175123,7300,91636,1388,2019-09-01 01:00:58
1494375,QZRITcxxBcQ,464738,847,1295,847,2020-04-05 03:00:19
453132,41q5Ky1cexM,819690,7703,38447,1366,2019-07-10 00:30:18
745613,1M2GhWcJ9Rk,1608383,4485,63051,1179,2019-09-24 10:00:06
1236963,K09_5IsgGe8,7094514,32388,622379,6221,2020-02-10 08:30:43
666412,eM7FWAjrzTY,296999,467,7873,192,2019-09-02 10:00:54
367705,a9ZMsTKrNhQ,5157452,28868,251518,7845,2019-06-21 07:30:38
1318450,kLClhToXX0Q,271622,1040,3132,201,2020-02-27 18:00:33
564356,ROGKmWFfvjc,593679,2118,17969,555,2019-08-02 09:30:45
534288,9aniLt2eO0U,586301,11094,96654,524,2019-07-27 02:30:18
297757,OSl9rP3fjNI,843548,4741,68129,938,2019-06-06 10:00:25
652078,qolmz4FlnZ0,2418871,19076,331498,2795,2019-08-30 10:30:04
1061265,nCwVTCxm29c,566336,2098,28693,556,2020-01-03 15:00:10
800682,9TjfkXmwbTs,5594811,31823,281390,1573,2019-11-02 13:30:34
1257782,5nQuwdRuuZA,400517,2622,14248,601,2020-02-14 19:00:59
1045391,0jX_WmO7fCs,1389429,5482,69035,735,2019-12-31 06:00:34
728154,jfD07edbF-8,1487494,3597,64804,1574,2019-09-20 15:30:23
1041821,bF0Ldivzy8s,1078604,3926,15321,1571,2019-12-30 12:00:11
894961,OlahNrlcgS4,6792371,68812,633796,10791,2019-11-29 11:00:40
356957,QIJqepst3Qw,517180,849,13119,322,2019-06-19 01:30:29
749783,ce1lTmRtIkM,7859222,17674,357597,8963,2019-09-25 07:00:55
190167,bSCRzjOXOpE,12856076,9287,115498,3622,2019-05-14 13:30:58
1305874,ShDVKJJ9Coc,5357437,11722,150085,2995,2020-02-25 02:30:04
1215575,UknhhXEuTmY,720626,2078,84823,389,2020-02-05 20:00:24
