article,summary
"(CNN)When I was elected to the Kentucky State Senate in 1967, I became the first woman and the first person of color to serve in the body.  Five decades later, I find it almost unfathomable that a politician from my own state is attempting to launch his presidential campaign on a record that includes questioning landmark voting rights and civil rights legislation. But that is what Rand Paul, who today declared he's running for president of the United States, is doing. His campaign team told reporters last week that his campaign announcement message would be about ""expanding the Republican Party"" -- a message of inclusion. But those of us listening today who he is hoping to include, heard nothing more than hype. I'm not buying it. Since coming to the U.S. Senate, Paul has tried to sell himself as a different type of Republican.  He's tried to brand himself as the GOP's minority outreach candidate.  The problem for Paul, and the GOP at large, is that they don't back up their words with their policies. Yes, it's about time that Republicans started seriously considering the fact that black voters are an important piece of the electoral puzzle.  But they can't actually appeal to the community unless they have a real commitment to the issues facing minority communities.  A quick survey of Sen. Paul's positions makes clear that he does not. Paul kicked off his announcement speech in Louisville by declaring ""I have a message that is loud and clear:  We have come to take our country back.""  I have no doubt that under Paul's leadership, he would indeed take our country back -- in the wrong direction -- way back to a time when we were debating the Civil Rights Act --  which Paul has done since landing on the national stage; when there was no Department of Education -- a department he thinks ""should be done away with;"" when women didn't have choices -- choices Paul seeks to limit in Washington; when DREAMers weren't protected from deportation -- protections Paul currently opposes. In his inept speaking engagements at historically black colleges and universities, he has come across as condescending and lacking basic cultural competency. But Paul has also questioned the Civil Rights Act, and even claimed that private business owners have a right to discriminate. When asked about the need for a more robust Voting Rights Act following the Supreme Court's dismantling of the law, Paul dismissively remarked, ""We have an African-American President."" When President Obama stood with John Lewis and other veterans of the civil rights movement in front of the Edmund Pettus Bridge last month to mark the 50th anniversary of Bloody Sunday, he inspired us all by saying: ""With effort, we can roll back poverty and the roadblocks to opportunity. ... With effort, we can protect the foundation stone of our democracy for which so many marched across this bridge -- and that is the right to vote."" America is better -- and we solve more problems -- with more democracy, not less.  Unfortunately Rand Paul has demonstrated that he disagree with that basic principle.  Paul tried once again from that stage in Louisville to fashion himself as the one member of his party courageous enough to try to broaden Republican appeal to constituencies they ignore year after year. But his record makes it very clear that his views are outdated, outside of the mainstream, and disqualifying for a man who wants to lead our country. The American people deserve a leader who won't disrespect their intelligence, who won't pander to them when it's convenient, and who won't work to dismantle the progress we have made over the last five decades. What I heard today, didn't change the facts about Rand Paul's record.  The American people deserve better than Rand Paul.","Georgia Powers: Rand Paul, running for president, would like minorities to think he's an advocate. His record on rights shows otherwise .
On civil rights, women's choice, voting rights, immigrant DREAMers, education, he has shown he'd take country backwards, she says ."
"(CNN)A French-language global television network regained control of one of its 11 channels Thursday after a cyberattack a day earlier crippled its broadcasts and social media accounts. Television network TV5Monde was gradually regaining control of its channels and social media outlets after suffering what the network's director called an ""extremely powerful cyberattack."" In addition to its 11 channels, TV5Monde lost control of its social media outlets and its websites, director Yves Bigot said in a video message posted later on Facebook. On a mobile site, which was still active, the network said it was ""hacked by an Islamist group."" ISIS logos and markings appeared on  TV5Monde social media accounts. But there was no immediate claim of responsibility by ISIS or any other group. As day broke Thursday in Europe, the network had regained the use of one of its 11 channels and its Facebook page, Paul Germain, the chain's editor in chief, told BFMTV, a CNN affiliate in France. However, by late morning, a number of pages on the network's website had messages saying they were under maintenance. The outage began around 8:45 p.m. Paris time (2:45 p.m. ET) on Wednesday. TV5Monde offers round-the-clock entertainment and news programming that reaches 260 million homes worldwide, according to the Ministry of Culture and Communications. It functions under a partnership among the governments of France, Canada and Switzerland, as well as the Wallonia-Brussels Federation. Other networks that provide content to TV5Monde include CNN affiliates France 2 and France 3, France 24 and Radio France International.","Network regains control of Facebook page and one of its 11 channels .
ISIS logos displayed but no claim of responsibility made by any group .
Network reaches 260 million homes worldwide ."
"Abu Dhabi, United Arab Emirates (CNN)Lost luggage after a long flight is a common, frustrating occurrence of modern air travel. And sometimes, airlines lose things that are irreplaceable. American Jennifer Stewart says she was devastated to learn that Etihad Airways lost her most important baggage following a recent trip from Abu Dhabi to New York City: her 2-year-old pet cat, Felix. Stewart said that she and her husband, Joseph Naaman, booked Felix on their Etihad Airways flight from the United Arab Emirates to New York's John F. Kennedy International Airport on April 1. Shortly after the plane arrived in New York that evening, Felix went missing somewhere on the grounds of Kennedy Airport, according to Etihad Airways. Felix was able to get loose, Stewart said she believes, because the cat's plastic carrier was badly damaged at some point either during the flight or the transfer from the airplane to the pickup area. Stewart said a cargo manager called the couple to an office after they landed at Kennedy last week and notified them that their cat's carrier had been crushed. Photographs taken by Stewart showed a large hole in the top of the cat's carrier. At least one of the corners of the case appeared partially collapsed. Nearly one week later, Felix remains missing. ""For them to take a cat and ship him like he was cargo, not a live animal, makes me sick,"" Stewart said.  ""You trust that people care and are doing the job well, and then this happens."" A representative for Etihad Airways told CNN that that the loss of pets during air travel is ""extremely rare.""  The airline shipped more than 200 pets last year. Etihad Airways is investigating the incident and is working with ground handlers at the New York airport to help locate the missing cat. The Abu Dhabi-based carrier also said it hired ""third-party specialists"" to help in the hunt for Felix. ""We deeply regret this unfortunate incident and are keeping the owner apprised of the progress of the search,"" Etihad Airways told CNN in a statement. ""We will review our pet handling procedures in the wake of this incident, as the safety and care of pets traveling with Etihad Airways is a top priority."" Stewart and her husband booked the cat's flight as part of their job relocation to the United States after living in Abu Dhabi for more than three years. The couple said they spent $1,200 to ship Felix on the 14-hour flight. ""You pay all of this money, but for what? People assume you pay extra to have your pets taken care of, but they're treated no differently than a free piece of checked luggage,"" Stewart said. It isn't the first time a pet has gone missing at New York's busiest airport. In August 2011, a cat escaped from its carrier before an American Airlines flight from New York to San Francisco. That cat was eventually discovered -- alive -- two months later in a customs room at the airport. But the cat later had to be euthanized because of injuries and malnutrition it suffered while lost. This weekend, Stewart enlisted the help of a local nonprofit, which provided a highly trained detection dog, to help track down Felix's scent. A wildlife biologist who works with the airport has also placed traps to facilitate Felix's safe return, according to the Port Authority of New York and New Jersey. Officials at Kennedy have offered to assist Etihad Airways as the airline investigates what happened, the Port Authority said. Stewart said the couple will continue to search the airport until they have answers. ""We just want to find Felix. But I just don't know if we will,"" she said.","Couple spends $1,200 to ship their cat, Felix, on a flight from the United Arab Emirates .
Felix went missing somewhere at John F. Kennedy International Airport, airline says .
Pets are ""treated no differently than a free piece of checked luggage,"" Jennifer Stewart says ."
"(CNN)The nation's top stories will be unfolding Tuesday in courthouses and political arenas across the country. Massachusetts is hosting two of the highest-profile court trials in recent memory -- those of former New England Patriot Aaron Hernandez and Boston bombing suspect Dzhokhar Tsarnaev. Both lengthy trials are coming to a close. In Louisville, Kentucky, Sen. Rand Paul made the not-so-surprising announcement that he will run for president, while in Chicago, voters will head to the polls in a very surprising runoff between Mayor Rahm Emanuel and challenger Jesus ""Chuy"" Garcia. And in Ferguson, Missouri, the shadow of Michael Brown and the protests over his shooting by Officer Darren Wilson will loom large over the city's elections. Here's a breakdown of what to expect today and how we got here: . Tsarnaev, who's accused of detonating a bomb at the 2013 Boston Marathon along with his now-deceased brother, faces the stiffest of penalties -- life in prison or the death penalty -- if he's found guilty on any of 17 capital counts against him, including setting off weapons of mass destruction at a public event as an act of terrorism. The 13th juror: What defense? On Monday, survivors and victims' families wept and Tsarnaev fidgeted at a defense table as jurors heard a prosecutor allege that the 21-year-old ""brought terrorism into the backyards and main streets."" The jury on Tuesday morning began what is expected to be a lengthy deliberation process on 30 total charges, before the so-called penalty phase, should he be found guilty on any counts. It took prosecutors months to present 131 witnesses to support their claim that Hernandez killed semi-pro player Odin Lloyd, yet on Monday, Hernandez's defense team wrapped up its witnesses in less than a day. Closing arguments are scheduled for Tuesday, and the jury will begin deliberations soon thereafter. Jurors in Fall River, Massachusetts, will be asked to decide if Hernandez is culpable in the shooting death of Lloyd, whose body was found in a Massachusetts industrial park in the summer of 2013. Much of the evidence against Hernandez is circumstantial, and among the facts the jury will be asked to take into consideration are New England Patriots owner Robert Kraft's testimony, the testimony of Hernandez's fiancee, some grainy footage from Hernandez's home security system and a footprint left by a Nike Air Jordan shoe. Hernandez known for swagger, even in court . OK, sure, no one was floored when the Kentucky senator announced his bid for the Oval Office, but of course it was news when he made it official Tuesday. Paul is expected to hit the campaign trail visiting the all-important early voters in New Hampshire, South Carolina, Iowa and Nevada. The physician rode a wave of tea party popularity into the Senate in 2010, where he carefully built a brand of mainstream libertarianism, and he is banking on a coalition of younger voters and traditional Republicans to usher him into the White House. Paul and Sen. Ted Cruz are the only declared candidates for the GOP nomination, though the field will certainly grow and could include the likes of Florida's Jeb Bush, New Jersey's Chris Christie, Wisconsin's Scott Walker, South Carolina's Lindsey Graham and Florida's Marco Rubio. Would Rand be here without Ron? It's the Windy City's first runoff for a citywide office, and it's being billed as a battle for the ""future of Chicago."" In one corner, you have Emanuel, President Barack Obama's notoriously hard-charging former chief of staff, and in the other, you have Jesus ""Chuy"" Garcia, a county commissioner who has come to embody populist and liberal Democrats' frustrations with the Chicago incumbent. After Emanuel failed to snare half the vote in February's general election, he will go head-to-head with Garcia. The timing is interesting, too, as Easter, Passover and spring break appear to have spurred more than 142,000 early votes, up from about 90,000 before the first round of voting in February. Following Michael Brown's death, the national spotlight shone on Ferguson, particularly how the city's predominantly black population is woefully underrepresented in its police force and City Council. Yet with all the hubbub about the face of civic leadership, only four in 10 city residents hit the polls in November to cast ballots. Residents speak out ahead of vote . Tuesday's election will bring change, no matter how the ballots are cast: Two black men are running for one of the open seats, and the current lone black council member isn't up for re-election. In another ward, two black women and two white men are vying for an open seat. And a white protester is running for a third post.","The trials of Dzhokhar Tsarnaev and Aaron Hernandez are coming to a close .
Voting has put Rahm Emanuel and Ferguson, Missouri, back in the headlines .
Rand Paul has announced his bid for the presidency ."
"(CNN)A mammoth fire broke out Friday morning in a Kentucky industrial park, sending plumes of thick smoke over the area as authorities worked to contain the damage. The blaze began shortly before 7 a.m. at the General Electric Appliance Park in Louisville, according to Mike Weimer from the city's emergency management agency. He said that there were no reports of anyone injured or trapped. Video showed both smoke and bright orange flames. Firefighters took up positions around the affected buildings, spraying water from the periphery. Weimer told CNN that authorities didn't know what had caused the fire, which had gone to at least four alarms. According to a GE website, its facility in the Louisville Appliance Park is ""revitalizing manufacturing in the United States."" The park is large, such that 34 football fields could fit in one of its warehouses in the facility.","Fire breaks out at the General Electric Appliance Park in Louisville, Kentucky .
City official: No is believed to be injured or trapped ."
"(CNN)One hundred and forty-seven victims. Many more families affected. Even more broken hopes and dreams. As Kenyans mourned those killed last week in one of the deadliest terrorist attacks in the nation, citizens used social media to share the victims' stories, hopes and dreams. Using the hashtag #147notjustanumber -- a reference to the number of people, mostly students, killed at Garissa University College on Thursday -- Kenyans tweeted pictures of the victims in happier times. Kenyan authorities have not released a list of the victims. The posts provided heart-wrenching details on the victims, including one about an elderly man whose dreams died with his son. He had reportedly taken a loan to educate him at the university, where he was killed by Al-Shabaab terrorists. The attack in Kenya killed 142 students, three security officers and two university security personnel, and was the nation's deadliest since the bombing of the U.S. Embassy in 1998. Kenyan churches mourned the dead during Easter services Sunday as armed guards protected the congregations. In emotional services nationwide, churchgoers wept as they paid tribute to the victims of the massacre. The gunmen who attacked the university in the predawn hours separated Muslims from Christians and killed the latter. The extremist group has also killed Muslims in recent attacks. The Interior Ministry has identified one of the attackers killed by security forces as the son of a government official. The father of suspect Abdirahim Abdullahi is a chief in Mandera and had reported his son missing, officials said. The Islamist extremist group is based in Somalia, but it hasn't confined its terrorism to the nation that shares a border with Kenya. In 2013, militants attacked Nairobi's upscale Westgate Mall, killing nearly 70 people.","Kenyans use hashtag #147notjustanumber to honor victims of Kenya university attack .
The attack killed 142 students, three security officers and two university security personnel ."
"(CNN)The California Public Utilities Commission on Thursday said it is ordering Pacific Gas & Electric Co. to pay a record $1.6 billion penalty for unsafe operation of its gas transmission system, including the pipeline rupture that killed eight people in San Bruno in September 2010. Most of the penalty amounts to forced spending on improving pipeline safety. Of the $1.6 billion, $850 million will go to ""gas transmission pipeline safety infrastructure improvements,"" the commission said. Another $50 million will go toward ""other remedies to enhance pipeline safety,"" according to the commission. ""PG&E failed to uphold the public's trust,"" commission President Michael Picker said. ""The CPUC failed to keep vigilant. Lives were lost. Numerous people were injured. Homes were destroyed. We must do everything we can to ensure that nothing like this happens again."" The company's chief executive officer said in a written statement that PG&E is working to become the safest energy company in the United States. ""Since the 2010 explosion of our natural gas transmission pipeline in San Bruno, we have worked hard to do the right thing for the victims, their families and the community of San Bruno,"" Tony Earley said. ""We are deeply sorry for this tragic event, and we have dedicated ourselves to re-earning the trust of our customers and the communities we serve. The lessons of this tragic event will not be forgotten."" On September 9, 2010, a section of PG&E pipeline exploded in San Bruno, killing eight people and injuring more than 50 others. The blast destroyed 37 homes. PG&E said it has paid more than $500 million in claims to the victims and victims' families in San Bruno, which is just south of San Francisco. The company also said it has already replaced more than 800 miles of pipe, installed new gas leak technology and implemented nine of 12 recommendations from the National Transportation Safety Board. According to its website, PG&E has 5.4 million electric customers and 4.3 million natural gas customers. The Los Angeles Times reported the previous record penalty was a $146 million penalty against Southern California Edison Company in 2008 for falsifying customer and worker safety data. CNN's Jason Hanna contributed to this report.","The penalty is more than 10 times the previous record, according to a newspaper report .
Utility commission to force Pacific Gas & Electric Co. to make infrastructure improvements .
Company apologizes for explosion that killed 8, says it is using lessons learned to improve safety ."
"Boston (CNN)Guilty across the board. But will he face death? After deliberating for 11½ hours, jurors found Dzhokhar Tsarnaev guilty on Wednesday of all 30 counts he faced in the Boston Marathon bombing trial. Seventeen of the 30 counts were capital charges, meaning he is eligible for the death penalty. The trial will next move into a penalty phase, where the jury will hear testimony and arguments from both sides and ultimately be tasked with deciding whether Tsarnaev, 21, will be executed. A look at all of the charges . Jurors will be asked to weigh aggravating factors such as the heinousness of his crimes against mitigating factors such as his family and mental health history, as well as his relative youth. Tsarnaev was 19 at the time of the bombing. The start date of the penalty phase has not yet been set. Since testimony began March 4, federal prosecutors have called 92 witnesses, and the defense just four. It seemed a mismatch from the start. ""He was there,"" Tsarnaev's defense attorney Judy Clarke conceded as the trial opened, but many say the defense strategy always had been to focus on persuading the jury to spare Tsarnaev's life. Tsarnaev lawyer keeps hated criminals off death row . Clarke tried to convince jurors that her client's older brother, 26-year-old Tamerlan Tsarnaev, who died in a shootout with police days after the terror attack, was the instigator of the marathon plot. The younger man, Clarke said, was only following his older brother. After the verdict, CNN legal analyst Paul Callan said Clarke now faces an uphill battle. ""Because No. 1, he (Tsarnaev) is almost functioning as an officer of a military organization attacking the United States -- the claim of course that he's an Islamic radical and that this is almost an army-like attack on civilians. ""And the second thing -- it was so well planned and so callously planned so that civilians would die, so that children would be maimed. And all of this, she has to get around and convince the jury he's not worthy of the death penalty. ""Boy, she's climbing the Mount Everest of death penalty cases in this case,"" Callan said about Clarke. Survivors react to the verdict . Ann O'Neill reported from Boston. Dana Ford reported from Atlanta.","Dzhokhar Tsarnaev is found guilty on all 30 charges he faced .
Seventeen counts were capital charges, meaning he is eligible for the death penalty ."
"(CNN)Four workers died in a massive oil rig fire that raged for hours off the coast of Mexico Wednesday. Mexican state oil company Pemex said 45 workers were injured in the blaze, which began early Wednesday morning. Two of them are in serious condition, the company said. Authorities evacuated about 300 people from the Abkatun Permanente platform after the fire started, Pemex said. At least 10 boats worked to battle the blaze for hours. The fire had been extinguished by Wednesday night, Pemex said in a Twitter post. The company denied rumors that the platform had collapsed and said there was no oil spill as a result of the fire. The state oil company hasn't said what caused the fire on the platform, which is located in the Gulf of Mexico's Campeche Sound. The fire began in the platform's dehydration and pumping area, Pemex said. CNN's Mayra Cuevas contributed to this report.","The fire on a platform in the Gulf of Mexico has been extinguished, Pemex says .
45 workers were injured in the blaze, according to the state oil company .
Four workers were killed in the oil rig fire, which started early Wednesday ."
"(CNN)Easter is unique on the Christian calendar, a major point in the cycle of the religious year, and one that has always been able to resist the commercialization and culture warring that surrounds Christmas. That's in part because Easter is genuinely about how religious impulses, and patterns, can operate in ways that affect our lives. Nevertheless, I'm often surprised by how little people, even those supposedly within the Christian tradition, actually know about what is called Holy Week and its culmination on Easter Sunday.   At a time when our culture is roiled by questions of identity and ethics (and tolerance) that have profound religious implications, it's worth pausing to explore this crucial holiday -- and the awareness of the human condition, in all its sadness and glory, that it engenders. After all, Holy Week calls mostly to those who incline their minds and hearts in its direction with seriousness of intent.  Still, the fuss must puzzle those looking on, wondering what it all means.  Why do Christians make so much of this springtime week, and make so much of Easter weekend? There is a phrase that many never come across, even among Christians:  Easter Triduum.  This refers to the three days of Easter that begin with Good Friday, proceed through Holy Saturday, and conclude with Easter Sunday.  It's definitely a progression, although the word itself -- triduum -- can refer to any three days of prayer. Easter Triduum has a kind of major prologue in Maundy Thursday, the day when, by tradition, Jesus celebrated the Last Supper with his disciples in the upper room in Jerusalem on the night before he was crucified.  The idea of Holy Communion begins with this meal, which was a Passover meal. Jesus, of course, was Jewish, as were all his disciples.  He was never trying to erase Judaism and found a new religion.  His work involved modifying and extending Judaism in fresh ways. On Maundy Thursday, Christians sometimes practice the washing of feet, recalling that Jesus washed the very dusty feet of his disciples at the Last Supper as a way of demonstrating profound humility -- showing that he was himself a servant -- and modeling a kind of ideal behavior. Good Friday isn't, in fact, so good.  It's the day of the crucifixion, when Jesus was scourged and beaten, forced to carry his cross to Golgotha, the ""place of the skull,"" and nailed to the cross itself for what must have been an agonizing death.  The actual scene of the Crucifixion varies from gospel to gospel, as do his last words, assembled into the so-called ""seven last words"" of Jesus by adding up fragments from different gospels. Some of these words are quotations, as when Jesus asked God why he has abandoned him:  This is a quote from the 22nd Psalm, which opens:  ""My God, my God, why hast thou forsaken me?""  Good Friday is a day of death, sacrifice, displacement, fear. Holy Saturday is probably the least understood day of the Easter Triduum.  It's a passageway between the darkness of the crucifixion and the bright hope of Easter.  This day occupies an anxious space in human experience, when the certain knowledge of something dreadful isn't quite erased -- can't be erased -- simply by hope.  It's a day of depression, a day of suspension. Then comes Easter, with the aura of the resurrection.  I'm always moved by the deep symbolism of this mythic moment, when the body of Christ becomes what is called a ""glorified body.""  This was not, as I've said elsewhere, the Great Resuscitation, although that's part of it, too.  Resurrection implies a total transformation, something beyond the physical realm. It's very important that almost nobody who encounters Jesus after the resurrection can really recognize him, know him, or understand him as the same person who was with them before he was crucified.  Easter embraces the great mystery of resurrection, with its promise of transformation -- a shift from one form to another, and a change that moves well beyond any literal understanding. The three days of Easter, the Triduum, occur only once a year on the calendar.  But the really interesting thing is that we all experience the pattern of the three days again and again.  We find ourselves emptied out in small ways, nailed to our own trees in life, embarrassed or broken by life. It was the Buddha who famously observed that life is suffering.  Good Friday embodies the Christian version of that truth.  Jesus suffered in the way all of us must suffer.  We must all die, perhaps less ignominiously but just as certainly.  Our friends and families must die.  We all experience illness, loss, sadness, a loss of confidence, darkness.  This is simply part of the human experience. We dive again and again into Holy Saturday, too -- a period of transition, when the bleakness of suffering is perhaps slightly behind us but nothing restorative seems in view.  We know well this in-between time; it's an anxious passage, with only a glimmer on the horizon of potential hope. And we've all been resurrected, again and again, perhaps in tiny ways.  This is the joy of Easter, and it's not something reserved for one day on the calendar.  It's there whenever we experience what T.S. Eliot once called the ""timeless moment,"" which can only occur -- paradoxically -- in time itself.  It's a mystical point where timelessness intersects with time. I suspect we all experience the Triduum frequently, sometimes more than once in a single day.  But the ritual enactment of these three days of the Easter season reminds all of those who practice Christianity -- and perhaps those who don't -- that we should expect to move through darkness into light. It's a pattern that describes a kind of spiritual progression.   It's good cause for celebration, too:  and one that won't easily be co-opted by secular culture.","Jay Parini: When religious identity, ethics, tolerance are roiling the culture, it's worth looking at message of Holy Week and Easter .
He says ritual enactment of these three days is reminder that again and again the human condition moves through darkness into light ."
"(CNN)Police in India are putting aside their batons in favor of an overhead solution to angry and unruly crowds: pepper-spraying drones. Yashasvi Yadav, Senior Superintendent of police in Lucknow, northern India, told CNN the city's force has bought four drones and is in the process of purchasing one more. ""The drones have been tested in controlled conditions,"" he said. ""They have been very successful and will be used by the Lucknow police whenever there are violent protests or mob attacks."" The miniature aircraft will be fitted with a camera and pepper spray; each drone costs between $9,560 and $19,300, Yadav added. Views on the new measure are mixed, with some concerned about the suppression of freedom of speech -- an already contentious issue in India. Last month, the country failed to enforce a law that would allow authorities to arrest people who post offensive material on social media. Others believe the country could learn from events further afield. Some say this method of crowd control needs regulation too. Questions have also been raised as to why the police are resorting to aggression. ""While I think it is bound to fail if not be another scam in the making, it also shows the mindset of the administration to not use dialogue and mediation to solve problems but use authoritarian and forceful methods,"" photojournalist Chirag Wakaskar in Mumbai told CNN. ""What they could do is start by having video surveillance in sensitive areas and have swifter justice."" Protests are a common occurrence in India, a country with a population of 1.2 billion; Lucknow, the capital of the northern state of Uttar Pradesh, also used drone cameras to monitor crowds at a recent religious festival. As well as being used as a security measure in other cities including Delhi and Mumbai, the unmanned, airborne vehicles have been used in tiger hunts, disaster relief and criminal investigations -- and even pizza deliveries. Reports suggest that the drone surveillance will be officially launched by the Chief Minister of Lucknow, Akhilesh Yadav, later this month. Kunal Sehgal contributed to this report.","Police in Lucknow, northern India, have bought four drones to help control crowds .
The unmanned aerial vehicles are being fitted with cameras and pepper spray to subdue angry protesters .
Some Indians have questioned why police are resorting to ""authoritarian and forceful methods"""
"(CNN)Just as the agency begins to recover from a series of high-profile missteps, the Secret Service is facing yet another scandal. A female employee accused Xavier Morales, a supervisor within the agency, of assault after he made sexual advances at  her, according to The Washington Post. ""The woman told police and agency investigators that Morales, her boss, told her during the party at Capitol City Brewing Company that he was in love with her and would like to have sex with her,"" and later tried to kiss her in the office, according to a report from The Washington Post. During the incident, he ""grabbed her arms when she resisted"" and the two tussled until Morales gave up, sources told the paper. The Post reports that the March 31 party was in celebration of Morales' new assignment as head of the Louisville field office. A Secret Service spokesperson confirms that  Morales was placed on administrative leave and his security clearance was suspended. This incident was first reported on April 2, and Secret Service Director Joe Clancy was briefed that afternoon. Clancy called the allegations ""very disturbing."" ""Any threats or violence that endangers our employees in  the workplace is unacceptable and will not be tolerated,"" he said in a statement. This is just the latest chapter for an organization embroiled in scandal over the past several months. Last month, two top-ranking officials were suspended following an incident at a White House command post during an investigation of a possible bomb. Clancy was not made aware of the episode until five days later. The agency has also faced scrutiny for another lapse in late January when a drone crash-landed on the White House lawn. Secret Service Director Julia Pierson resigned in September after a fence-jumper gained access to the East Room of the White House. Earlier in September, an armed security contractor was allowed to get into an elevator with President Barack Obama during a trip to the Centers for Disease Control and Prevention in Atlanta. An independent report released in December found that the Secret Service is stretched ""beyond its limits,"" needing more training, more staff, and a director from outside its ranks. Clancy, who formally assumed the post in February, is a 27-year veteran of the agency. ""It's going to take time to change some of this culture,"" Clancy said at a House Appropriations Committee hearing last month. ""There's no excuse for this information not to come up the chain. That's going to take time because I'm going to have to build trust with our workforce."" The incident will be further investigated by the Office of the Inspector General.","Secret Service says supervisor's security clearance has been suspended .
He is accused of trying to kiss a colleague ."
"Marseille, France (CNN)Investigators have collected all the main evidence from the site where Germanwings Flight 9525 crashed, a French national police official told CNN on Saturday. Investigators are not expected to return to the crash site, said Capt. Yves Naffrechoux of the High Mountain Gendarmerie. The plane crashed March 24 in rugged terrain of the Alps about 6 miles (10 kilometers) from the town of Seyne-les-Alpes. ""All the police investigators have left the (Germanwings) crash site,"" he said. ""There is only a private security company ensuring security around the crash site so that no one can go there."" The security firm will guard the site until the remaining debris is collected and taken to secure locations for further analysis, if necessary, he said. The flight data recorder, or ""black box,"" was found Thursday by a member of the recovery team. The cockpit voice recorder was found days after the crash. In addition, out of more than 2,000 DNA samples collected from the crash site, lab workers have isolated 150 DNA profiles, said Brice Robin, Marseilles prosecutor. The crash killed all 150 people on board. Brice Robin, Marseilles prosecutor, said authorities have found 470 personnel effects at the site. That number includes 40 cell phones, though all those were badly damaged. Robin cast doubt that any useful information could be retrieved from those phones, given their condition. Authorities say the flight's co-pilot, Andreas Lubitz, locked the captain out of the cockpit and engineered the plane's demise. Initial tests on the flight data recorder show that Lubitz purposely used the controls to speed up the plane's descent, according to the French air accident investigation agency, the BEA. It also has emerged that Lubitz had battled depression years before he took the controls of Flight 9525 and that he had concealed from his employer recent medical leave notes saying he was unfit for work. Calls for crash avoidance technology . CNN's Margot Haddad reported from Marseille, and Greg Botelho wrote from Atlanta. CNN's Laura Smith-Spark contributed to this report.","""All the police investigators have left the (Germanwings) crash site,"" a police official says .
Private security company is ensuring no one goes on the site, official says .
Authorities say co-pilot Andreas Lubitz deliberately crashed the plane, killing all 150 on board ."
"(CNN)Pardon us, ""Lost"" fans, but April 8 wasn't only your day. Yes, we know the significance of April 8, 2015, and the alignment of 4:23.42 p.m. on that date to everyone obsessed with the hit ABC show, and we heard about the general geek-outs that were occurring. But don't forget, April 8 was also ""Rex Manning Day."" Twitter didn't, paying homage to the 1995 film ""Empire Records"" and the character of Rex Manning, played by the very dreamy Maxwell Caulfield. The movie -- also starring Liv Tyler, Anthony LaPaglia and Renée Zellweger -- centers on an independent record store in Delaware where, on April 8, former pop idol Manning is scheduled to make an in-store appearance. Fret not if you missed it, as we have some other dates made famous by films that you aren't going to want to let pass you by: . April 14 . Their love affair was doomed like two ships passing in the night, but it was so good while it lasted for Jack and Rose in the 1997 blockbuster movie ""Titanic."" The sketch Jack does of his beloved is dated April 14, 1912. The Titanic sank on April 15, 1912. April 25 . Thanks to the 2000 film ""Miss Congeniality,"" we now know that April 25 is the perfect date. Just don't forget to dress accordingly. October 3 . ""Mean Girls Day"" is officially October 3, given that's when Aaron Samuels (OMG, he is so hot!) asks Cady what day it is. Of course, she replies ""It's October 3."" Honestly, any day is a good day to quote the 2004 film. It's so fetch. October 21, 2015 . Buckle up for this one. In the 1989 film ""Back to the Future Part II,"" Marty McFly and the gang travel to October 21, 2015. We hope to be celebrating that in our flying car that we are STILL waiting on, please and thank you.","April 8 was huge for ""Lost"" and ""Empire Records"" fans .
April 14, April 25, October 21 are other big dates in movies ."
"(The Hollywood Reporter)""Grace of Monaco,"" starring Nicole Kidman as star-turned-princess Grace Kelly, is heading straight to Lifetime. The critically-panned film, which opened last year's Cannes Film Festival, will premiere on Lifetime on Memorial Day, May 25. After the movie performed poorly in its international engagements, The Weinstein Co., which first purchased U.S. distribution rights at the 2013 Berlin Film Festival, decided to sell it directly to Lifetime rather than book it into U.S. theaters, a source confirmed to The Hollywood Reporter. THR: Grace of Monaco' Cannes review . The film, which was directed by Olivier Dahan and focuses on a period in the early '60s when Monaco was involved in a stand-off over taxes with France and Grace was contemplating a return to Hollywood, was originally scheduled for release in late 2013. Given the names involved, some handicappers had put it on their list of potential Oscar contenders. But when TWC pulled it out of awards contention and shifted its release to March 14, 2014, Dahan lashed out at TWC's Harvey Weinstein, over the movie's final cut, which the director was in the process of completing. ""There are two versions of the film for now, mine and his,"" Dahan complained, continuing, ""They want a commercial film smelling of daisies, taking out anything that exceeds that which is too abrupt, anything that makes it cinematic and breathe with life."" That planned March release was then scrubbed, when Cannes expressed interest in debuting the director's version of the movie in May. Even before it screened, though, Grace's children blasted the picture as ""needlessly glamorized and historically inaccurate"" and boycotting the Cannes red carpet. THR: The Weinstein Co. nearing deal to keep 'Grace of Monaco' Weinstein didn't attend the movie's premiere either -- explaining that he had been visiting Syrian refugee camps in Jordan as part of a long-scheduled U.N.-sponsored trip. But TWC did strike a new distribution deal for the film in Cannes, agreeing to show Dahan's cut in the U.S., but acquiring rights for just $3 million upfront, a $2 million discount from its earlier contract. But TWC then did not slot ""Grace of Monaco"" into its fall, 2015 release schedule. Tim Roth costars as Kelly's husband Prince Rainier III, Frank Langella as Kelly's priest and confidante, Parker Posey as Grace's aid, and Paz Vega (""Spanglish,"" ""Sex and Lucia"") as opera singer Maria Callas. See the original story at The Hollywood Reporter. ©2015 The Hollywood Reporter. All rights reserved.","The film will premiere on Memorial Day .
It opened last year's Cannes Film Festival .
A planned March theater release was scrubbed ."
