date,views
2020-12-05,9091
2020-12-06,9278
2020-12-07,12027
2020-12-08,11981
2020-12-09,12235
2020-12-10,13084
2020-12-11,10911
2020-12-12,9378
2020-12-13,8969
2020-12-14,12178
2020-12-15,11763
2020-12-16,11759
2020-12-17,11772
2020-12-18,10922
2020-12-19,8781
2020-12-20,8977
2020-12-21,10814
2020-12-22,10576
2020-12-23,10935
2020-12-24,9087
2020-12-25,7813
2020-12-26,8304
2020-12-27,8976
2020-12-28,10782
2020-12-29,10385
2020-12-30,10059
2020-12-31,8132
2021-01-01,7930
2021-01-02,9416
2021-01-03,9595
2021-01-04,12354
2021-01-05,12594
2021-01-06,12427
2021-01-07,11915
2021-01-08,11910
2021-01-09,10506
2021-01-10,10378
2021-01-11,13725
2021-01-12,13190
2021-01-13,12369
2021-01-14,11913
2021-01-15,8531
2021-01-16,6198
2021-01-17,6446
2021-01-18,9299
2021-01-19,8253
2021-01-20,8017
2021-01-21,8127
2021-01-22,8156
2021-01-23,6799
2021-01-24,7135
2021-01-25,8614
2021-01-26,8239
2021-01-27,8859
2021-01-28,8369
2021-01-29,7727
2021-01-30,7082
2021-01-31,6587
2021-02-01,8634
2021-02-02,9021
2021-02-03,9277
2021-02-04,8986
2021-02-05,9121
2021-02-06,6602
2021-02-07,6889
2021-02-08,8384
2021-02-09,8749
2021-02-10,9151
2021-02-11,8263
2021-02-12,7604
2021-02-13,6779
2021-02-14,6130
2021-02-15,7769
2021-02-16,8495
2021-02-17,8681
2021-02-18,8707
2021-02-19,8334
2021-02-20,6878
2021-02-21,6802
2021-02-22,8999
2021-02-23,9570
2021-02-24,9160
2021-02-25,9325
2021-02-26,8562
2021-02-27,6651
2021-02-28,7100
2021-03-01,8892
2021-03-02,9201
2021-03-03,9005
2021-03-04,8993
2021-03-05,9735
2021-03-06,7674
2021-03-07,6601
2021-03-08,8362
2021-03-09,9180
2021-03-10,8793
2021-03-11,8439
2021-03-12,8164
2021-03-13,6788
2021-03-14,6761
2021-03-15,8946
2021-03-16,8607
2021-03-17,8493
2021-03-18,8013
2021-03-19,8149
2021-03-20,7198
2021-03-21,6364
2021-03-22,8616
2021-03-23,8697
2021-03-24,8502
2021-03-25,8795
2021-03-26,7853
2021-03-27,6377
2021-03-28,6159
2021-03-29,7770
2021-03-30,7701
2021-03-31,7544
2021-04-01,7372
2021-04-02,6565
2021-04-03,5875
2021-04-04,5967
2021-04-05,7336
2021-04-06,8059
2021-04-07,8273
2021-04-08,7999
2021-04-09,7277
2021-04-10,5857
2021-04-11,6292
2021-04-12,7665
2021-04-13,6942
2021-04-14,7151
2021-04-15,6719
2021-04-16,6727
2021-04-17,5535
2021-04-18,5672
2021-04-19,7024
2021-04-20,7132
2021-04-21,7097
2021-04-22,7417
2021-04-23,6694
2021-04-24,5550
2021-04-25,5530
2021-04-26,7432
2021-04-27,6976
2021-04-28,7033
2021-04-29,6730
2021-04-30,6135
2021-05-01,4928
2021-05-02,5035
2021-05-03,6833
2021-05-04,7100
2021-05-05,7547
2021-05-06,7525
2021-05-07,7512
2021-05-08,5504
2021-05-09,5262
2021-05-10,6993
2021-05-11,8293
2021-05-12,7003
2021-05-13,6449
2021-05-14,6483
2021-05-15,5601
2021-05-16,6098
2021-05-17,7576
2021-05-18,7605
2021-05-19,7621
2021-05-20,8035
2021-05-21,7426
2021-05-22,5603
2021-05-23,5803
2021-05-24,7704
2021-05-25,7758
2021-05-26,7849
2021-05-27,7250
2021-05-28,6564
2021-05-29,5480
2021-05-30,5350
2021-05-31,6410
2021-06-01,6999
2021-06-02,7253
2021-06-03,7224
2021-06-04,6783
2021-06-05,5667
2021-06-06,5525
2021-06-07,7055
2021-06-08,7885
2021-06-09,7573
2021-06-10,7022
2021-06-11,6738
2021-06-12,6135
2021-06-13,5787
2021-06-14,7130
2021-06-15,7595
2021-06-16,6977
2021-06-17,7470
2021-06-18,7097
2021-06-19,5536
2021-06-20,5252
2021-06-21,6557
2021-06-22,6641
2021-06-23,6166
2021-06-24,6472
2021-06-25,5791
2021-06-26,4658
2021-06-27,4727
2021-06-28,6547
2021-06-29,6293
2021-06-30,7008
2021-07-01,13192
2021-07-02,10593
2021-07-03,9043
2021-07-04,8366
2021-07-05,10950
2021-07-06,10843
2021-07-07,10614
2021-07-08,10511
2021-07-09,10239
2021-07-10,8508
2021-07-11,8239
2021-07-12,11642
2021-07-13,13432
2021-07-14,13591
2021-07-15,13866
2021-07-16,12781
2021-07-17,10709
2021-07-18,10855
2021-07-19,13786
2021-07-20,12534
2021-07-21,12312
2021-07-22,12543
2021-07-23,12324
2021-07-24,10112
2021-07-25,9474
2021-07-26,12332
2021-07-27,12325
2021-07-28,11282
2021-07-29,11641
2021-07-30,11846
2021-07-31,10688
2021-08-01,9539
2021-08-02,12599
2021-08-03,12201
2021-08-04,12687
2021-08-05,12324
2021-08-06,11479
2021-08-07,10664
2021-08-08,10175
2021-08-09,12400
2021-08-10,12456
2021-08-11,11883
2021-08-12,11472
2021-08-13,9883
2021-08-14,8190
2021-08-15,7774
2021-08-16,10375
2021-08-17,10899
2021-08-18,10818
2021-08-19,10576
2021-08-20,9773
2021-08-21,8402
2021-08-22,7800
2021-08-23,11354
2021-08-24,11290
2021-08-25,11311
2021-08-26,11375
2021-08-27,10593
2021-08-28,8692
2021-08-29,8612
2021-08-30,10697
2021-08-31,11190
2021-09-01,11381
2021-09-02,11057
2021-09-03,10201
2021-09-04,8643
2021-09-05,8298
2021-09-06,10854
2021-09-07,11575
2021-09-08,12017
2021-09-09,11097
2021-09-10,10541
2021-09-11,8455
2021-09-12,8912
2021-09-13,14063
2021-09-14,11885
2021-09-15,12324
2021-09-16,11925
2021-09-17,11891
2021-09-18,9041
2021-09-19,8843
2021-09-20,11693
2021-09-21,11661
2021-09-22,11846
2021-09-23,15606
2021-09-24,19381
2021-09-25,15956
2021-09-26,16030
2021-09-27,19599
2021-09-28,19896
2021-09-29,12759
2021-09-30,13327
2021-10-01,12213
2021-10-02,9596
2021-10-03,9653
2021-10-04,13015
2021-10-05,13361
2021-10-06,12829
2021-10-07,12878
2021-10-08,12019
2021-10-09,9954
2021-10-10,9696
2021-10-11,12553
2021-10-12,14383
2021-10-13,12964
2021-10-14,12330
2021-10-15,11009
2021-10-16,9799
2021-10-17,10356
2021-10-18,16586
2021-10-19,12782
2021-10-20,12890
2021-10-21,13099
2021-10-22,12278
2021-10-23,10977
2021-10-24,10500
2021-10-25,13112
2021-10-26,14006
2021-10-27,13060
2021-10-28,13861
2021-10-29,12419
2021-10-30,9972
2021-10-31,9753
2021-11-01,12831
2021-11-02,12608
2021-11-03,11740
2021-11-04,10635
2021-11-05,10309
2021-11-06,9624
2021-11-07,9820
2021-11-08,12535
2021-11-09,12758
2021-11-10,15337
2021-11-11,12140
2021-11-12,11310
2021-11-13,9641
2021-11-14,9918
2021-11-15,12382
2021-11-16,13576
2021-11-17,12906
2021-11-18,12424
2021-11-19,11841
2021-11-20,10097
2021-11-21,10177
2021-11-22,13124
2021-11-23,13182
2021-11-24,12290
2021-11-25,11399
2021-11-26,10933
2021-11-27,9666
2021-11-28,9816
2021-11-29,12595
2021-11-30,11931
2021-12-01,12275
2021-12-02,12412
2021-12-03,11069
2021-12-04,10153
2021-12-05,10073
2021-12-06,11906
2021-12-07,12319
2021-12-08,12542
2021-12-09,11992
2021-12-10,10980
2021-12-11,9816
2021-12-12,9228
2021-12-13,11648
2021-12-14,12265
2021-12-15,11230
2021-12-16,11683
2021-12-17,10456
2021-12-18,8980
2021-12-19,8969
2021-12-20,10913
2021-12-21,10420
2021-12-22,9994
2021-12-23,9305
2021-12-24,8814
2021-12-25,8106
2021-12-26,8569
2021-12-27,10004
2021-12-28,10272
2021-12-29,10191
2021-12-30,9474
2021-12-31,7754
2022-01-01,7804
2022-01-02,9073
2022-01-03,11325
2022-01-04,12042
2022-01-05,12735
2022-01-06,12822
2022-01-07,12035
2022-01-08,10973
2022-01-09,11035
2022-01-10,13537
2022-01-11,13434
2022-01-12,13210
2022-01-13,12964
2022-01-14,12321
2022-01-15,10707
2022-01-16,10813
2022-01-17,13963
2022-01-18,13977
2022-01-19,14079
2022-01-20,13945
2022-01-21,13156
2022-01-22,12014
2022-01-23,11005
2022-01-24,14430
2022-01-25,13832
2022-01-26,14845
2022-01-27,14072
2022-01-28,13331
2022-01-29,11824
2022-01-30,11284
2022-01-31,13857
2022-02-01,13343
2022-02-02,13560
2022-02-03,13720
2022-02-04,13852
2022-02-05,12513
2022-02-06,11315
2022-02-07,14228
2022-02-08,13927
2022-02-09,14157
2022-02-10,13661
2022-02-11,13810
2022-02-12,11131
2022-02-13,12149
2022-02-14,13951
2022-02-15,15849
2022-02-16,14255
2022-02-17,14105
2022-02-18,13477
2022-02-19,11518
2022-02-20,12216
2022-02-21,14244
2022-02-22,14279
2022-02-23,14150
2022-02-24,12774
2022-02-25,12673
2022-02-26,10779
2022-02-27,10741
2022-02-28,13148
2022-03-01,13267
2022-03-02,13498
2022-03-03,13531
2022-03-04,10282
2022-03-05,7279
2022-03-06,7210
2022-03-07,9304
2022-03-08,10013
2022-03-09,10197
2022-03-10,10184
2022-03-11,10018
2022-03-12,8361
2022-03-13,8737
2022-03-14,10824
2022-03-15,11958
2022-03-16,11357
2022-03-17,10687
2022-03-18,10415
2022-03-19,10386
2022-03-20,10554
2022-03-21,12771
2022-03-22,13166
2022-03-23,13210
2022-03-24,12845
2022-03-25,10273
2022-03-26,7486
2022-03-27,7679
2022-03-28,9777
2022-03-29,9702
2022-03-30,9566
2022-03-31,9332
2022-04-01,8105
2022-04-02,6853
2022-04-03,7277
2022-04-04,9594
2022-04-05,10716
2022-04-06,9510
2022-04-07,9390
2022-04-08,8781
2022-04-09,6927
2022-04-10,6946
2022-04-11,9175
2022-04-12,9056
2022-04-13,10233
2022-04-14,7733
2022-04-15,7145
2022-04-16,6052
2022-04-17,6941
2022-04-18,8668
2022-04-19,9808
2022-04-20,10103
2022-04-21,9529
2022-04-22,8850
2022-04-23,7306
2022-04-24,7563
2022-04-25,9575
2022-04-26,16943
2022-04-27,9482
2022-04-28,9505
2022-04-29,8772
2022-04-30,6791
2022-05-01,7137
2022-05-02,8365
2022-05-03,9670
2022-05-04,10125
2022-05-05,9483
2022-05-06,8656
2022-05-07,7056
2022-05-08,6869
2022-05-09,9335
2022-05-10,9843
2022-05-11,9782
2022-05-12,9662
2022-05-13,8530
2022-05-14,7201
2022-05-15,7203
2022-05-16,9452
2022-05-17,10201
2022-05-18,10227
2022-05-19,10308
2022-05-20,9227
2022-05-21,7381
2022-05-22,9536
2022-05-23,10417
2022-05-24,10855
2022-05-25,10385
2022-05-26,9540
2022-05-27,8513
2022-05-28,7076
2022-05-29,7443
2022-05-30,9387
2022-05-31,10477
2022-06-01,10042
2022-06-02,9796
2022-06-03,9852
2022-06-04,7554
2022-06-05,7182
2022-06-06,9248
2022-06-07,9685
2022-06-08,9752
2022-06-09,9105
2022-06-10,8065
2022-06-11,6833
2022-06-12,7178
2022-06-13,9652
2022-06-14,9976
2022-06-15,9874
2022-06-16,9466
2022-06-17,8345
2022-06-18,7266
2022-06-19,7142
2022-06-20,9883
2022-06-21,10084
2022-06-22,9662
2022-06-23,9495
2022-06-24,7697
2022-06-25,6403
2022-06-26,7173
2022-06-27,9143
2022-06-28,9226
2022-06-29,9118
2022-06-30,8300
2022-07-01,7708
2022-07-02,6362
2022-07-03,6525
2022-07-04,8638
2022-07-05,8987
2022-07-06,9220
2022-07-07,8863
2022-07-08,8296
2022-07-09,6625
2022-07-10,6537
2022-07-11,8852
2022-07-12,9659
2022-07-13,8862
2022-07-14,8574
2022-07-15,22577
2022-07-16,7326
2022-07-17,7039
2022-07-18,9004
2022-07-19,8919
2022-07-20,8472
2022-07-21,10612
2022-07-22,9472
2022-07-23,7431
2022-07-24,7857
2022-07-25,8889
2022-07-26,9278
2022-07-27,9568
2022-07-28,9159
2022-07-29,8528
2022-07-30,6880
2022-07-31,7248
2022-08-01,9117
2022-08-02,9078
2022-08-03,10345
2022-08-04,9012
2022-08-05,9385
2022-08-06,7346
2022-08-07,7622
2022-08-08,9696
2022-08-09,8809
2022-08-10,9467
2022-08-11,8952
2022-08-12,8253
2022-08-13,7231
2022-08-14,6897
2022-08-15,8736
2022-08-16,9902
2022-08-17,9592
2022-08-18,9653
2022-08-19,8675
2022-08-20,7146
2022-08-21,7315
2022-08-22,11011
2022-08-23,9998
2022-08-24,10204
2022-08-25,10047
2022-08-26,8708
2022-08-27,7202
2022-08-28,7734
2022-08-29,9626
2022-08-30,10014
2022-08-31,9261
2022-09-01,9288
2022-09-02,8640
2022-09-03,7325
2022-09-04,8483
2022-09-05,9314
2022-09-06,10950
2022-09-07,10914
2022-09-08,9726
2022-09-09,10249
2022-09-10,7962
2022-09-11,8377
2022-09-12,10713
2022-09-13,11739
2022-09-14,11978
2022-09-15,11539
2022-09-16,10218
2022-09-17,8288
2022-09-18,8427
2022-09-19,11421
2022-09-20,11733
2022-09-21,11813
2022-09-22,11514
2022-09-23,9914
2022-09-24,8766
2022-09-25,8163
2022-09-26,11147
2022-09-27,11223
2022-09-28,10874
2022-09-29,11049
2022-09-30,9549
2022-10-01,7796
2022-10-02,8519
2022-10-03,10128
2022-10-04,10369
2022-10-05,9910
2022-10-06,10313
2022-10-07,9072
2022-10-08,7666
2022-10-09,7629
2022-10-10,10268
2022-10-11,11176
2022-10-12,11003
2022-10-13,10315
2022-10-14,13854
2022-10-15,11738
2022-10-16,9111
2022-10-17,10757
2022-10-18,10350
2022-10-19,10708
2022-10-20,11512
2022-10-21,10435
2022-10-22,7912
2022-10-23,7810
2022-10-24,9670
2022-10-25,11197
2022-10-26,17567
2022-10-27,14830
2022-10-28,16784
2022-10-29,9846
2022-10-30,8685
2022-10-31,11063
2022-11-01,10843
2022-11-02,18319
2022-11-03,11712
2022-11-04,11691
2022-11-05,8395
2022-11-06,8981
2022-11-07,11782
2022-11-08,11509
2022-11-09,10662
2022-11-10,10569
2022-11-11,9376
2022-11-12,8046
2022-11-13,8307
2022-11-14,10919
2022-11-15,11128
2022-11-16,10635
2022-11-17,10943
2022-11-18,9401
2022-11-19,8052
2022-11-20,7941
2022-11-21,10536
2022-11-22,10633
2022-11-23,10740
2022-11-24,9874
2022-11-25,9660
2022-11-26,8884
2022-11-27,9644
2022-11-28,11588
2022-11-29,11866
2022-11-30,11377
2022-12-01,10834
2022-12-02,9266
2022-12-03,7694
2022-12-04,7778
2022-12-05,10094
2022-12-06,10100
2022-12-07,10109
2022-12-08,9868
2022-12-09,8756
2022-12-10,7432
2022-12-11,7459
2022-12-12,9538
2022-12-13,9998
2022-12-14,9806
2022-12-15,9399
2022-12-16,8647
2022-12-17,7135
2022-12-18,6873
2022-12-19,8926
2022-12-20,9023
2022-12-21,8577
2022-12-22,8468
2022-12-23,7820
2022-12-24,6594
2022-12-25,6197
2022-12-26,7775
2022-12-27,8303
2022-12-28,8306
2022-12-29,8417
2022-12-30,7500
2022-12-31,6219
2023-01-01,6793
2023-01-02,9169
2023-01-03,10063
2023-01-04,10094
2023-01-05,9935
2023-01-06,8597
2023-01-07,7190
2023-01-08,7164
2023-01-09,9923
2023-01-10,10394
2023-01-11,11299
2023-01-12,10567
2023-01-13,9316
2023-01-14,9073
2023-01-15,7668
2023-01-16,10096
2023-01-17,10676
2023-01-18,11302
2023-01-19,11772
2023-01-20,10542
2023-01-21,8412
2023-01-22,8428
2023-01-23,10908
2023-01-24,12098
2023-01-25,10674
2023-01-26,10281
2023-01-27,10082
2023-01-28,8564
2023-01-29,15900
2023-01-30,10980
2023-01-31,11194
2023-02-01,10816
2023-02-02,11265
2023-02-03,10198
2023-02-04,8440
2023-02-05,8511
2023-02-06,11088
2023-02-07,11416
2023-02-08,11318
2023-02-09,10861
2023-02-10,10232
2023-02-11,8822
2023-02-12,8362
2023-02-13,10646
2023-02-14,10696
2023-02-15,10210
2023-02-16,10067
2023-02-17,9359
2023-02-18,7603
2023-02-19,7826
2023-02-20,10374
2023-02-21,20885
2023-02-22,10493
2023-02-23,10086
2023-02-24,9206
2023-02-25,7701
2023-02-26,8495
2023-02-27,14352
2023-02-28,13257
2023-03-01,10153
2023-03-02,10452
2023-03-03,9707
2023-03-04,7686
2023-03-05,7591
2023-03-06,10323
2023-03-07,10434
2023-03-08,9716
2023-03-09,10576
2023-03-10,9828
2023-03-11,8149
2023-03-12,8240
2023-03-13,10815
2023-03-14,13320
2023-03-15,22031
2023-03-16,29101
2023-03-17,13707
2023-03-18,35345
2023-03-19,8641
2023-03-20,10899
2023-03-21,10630
2023-03-22,13232
2023-03-23,13019
2023-03-24,9836
2023-03-25,8110
2023-03-26,7761
2023-03-27,10363
2023-03-28,11025
2023-03-29,11486
2023-03-30,11592
2023-03-31,10664
2023-04-01,8640
2023-04-02,7526
2023-04-03,9642
2023-04-04,9899
2023-04-05,8945
2023-04-06,8533
2023-04-07,7965
2023-04-08,7009
2023-04-09,6798
2023-04-10,8412
2023-04-11,8916
2023-04-12,9493
2023-04-13,8668
2023-04-14,7947
2023-04-15,9328
2023-04-16,6662
2023-04-17,9007
2023-04-18,8766
2023-04-19,8579
2023-04-20,8913
2023-04-21,7645
2023-04-22,6115
2023-04-23,6803
2023-04-24,9451
2023-04-25,9363
2023-04-26,9202
2023-04-27,9378
2023-04-28,9766
2023-04-29,7292
2023-04-30,6389
2023-05-01,8650
2023-05-02,9569
2023-05-03,9812
2023-05-04,8939
2023-05-05,7946
2023-05-06,6046
2023-05-07,6416
2023-05-08,7632
2023-05-09,7912
2023-05-10,7795
2023-05-11,10692
2023-05-12,8315
2023-05-13,5581
2023-05-14,5734
2023-05-15,7853
2023-05-16,7906
2023-05-17,7896
2023-05-18,7762
2023-05-19,6822
2023-05-20,5888
2023-05-21,5791
2023-05-22,8417
2023-05-23,8658
2023-05-24,8104
2023-05-25,8132
2023-05-26,8119
2023-05-27,8647
2023-05-28,7278
2023-05-29,7061
2023-05-30,8142
2023-05-31,9058
2023-06-01,7504
2023-06-02,7396
2023-06-03,12464
2023-06-04,7877
2023-06-05,9832
2023-06-06,11247
2023-06-07,10443
2023-06-08,10300
2023-06-09,9071
2023-06-10,8200
2023-06-11,8039
2023-06-12,9089
2023-06-13,9434
2023-06-14,18389
2023-06-15,18113
2023-06-16,16136
2023-06-17,13553
2023-06-18,14602
2023-06-19,13175
2023-06-20,9053
2023-06-21,10418
2023-06-22,9107
2023-06-23,8176
2023-06-24,6496
2023-06-25,6348
2023-06-26,8641
2023-06-27,8447
2023-06-28,7952
2023-06-29,12669
2023-06-30,7098
2023-07-01,6302
2023-07-02,6578
2023-07-03,8097
2023-07-04,8497
2023-07-05,9416
2023-07-06,10353
2023-07-07,10065
2023-07-08,9144
2023-07-09,8920
2023-07-10,10941
2023-07-11,12755
2023-07-12,12111
2023-07-13,12905
2023-07-14,11430
2023-07-15,9567
2023-07-16,9668
2023-07-17,11523
2023-07-18,15438
2023-07-19,19225
2023-07-20,18261
2023-07-21,16747
2023-07-22,14664
2023-07-23,14848
2023-07-24,17729
2023-07-25,13032
2023-07-26,12468
2023-07-27,11608
2023-07-28,10703
2023-07-29,9308
2023-07-30,9477
2023-07-31,11819
2023-08-01,12014
2023-08-02,12026
2023-08-03,11624
2023-08-04,11018
2023-08-05,9589
2023-08-06,9702
2023-08-07,11637
2023-08-08,11779
2023-08-09,11973
2023-08-10,18402
2023-08-11,11387
2023-08-12,11174
2023-08-13,12578
2023-08-14,17678
2023-08-15,18067
2023-08-16,19106
2023-08-17,17763
2023-08-18,14741
2023-08-19,11733
2023-08-20,11035
2023-08-21,14613
2023-08-22,16059
2023-08-23,16072
2023-08-24,14254
2023-08-25,13990
2023-08-26,11607
2023-08-27,11367
2023-08-28,12940
2023-08-29,15828
2023-08-30,12032
2023-08-31,12701
2023-09-01,12979
2023-09-02,12116
2023-09-03,12528
2023-09-04,14387
2023-09-05,14230
2023-09-06,14374
2023-09-07,13917
2023-09-08,14676
2023-09-09,11608
2023-09-10,11614
2023-09-11,14329
2023-09-12,14086
2023-09-13,13373
2023-09-14,13501
2023-09-15,13711
2023-09-16,12095
2023-09-17,11027
2023-09-18,13253
2023-09-19,13580
2023-09-20,14511
2023-09-21,13634
2023-09-22,11877
2023-09-23,11733
2023-09-24,11175
2023-09-25,11718
2023-09-26,11227
2023-09-27,9798
2023-09-28,9675
2023-09-29,8478
2023-09-30,7031
2023-10-01,7439
2023-10-02,8765
2023-10-03,9361
2023-10-04,10160
2023-10-05,9237
2023-10-06,8225
2023-10-07,9171
2023-10-08,6712
2023-10-09,9332
2023-10-10,9117
2023-10-11,9245
2023-10-12,9659
2023-10-13,8481
2023-10-14,7361
2023-10-15,7387
2023-10-16,9147
2023-10-17,9282
2023-10-18,9492
2023-10-19,10017
2023-10-20,8192
2023-10-21,7456
2023-10-22,7260
2023-10-23,8314
2023-10-24,8365
2023-10-25,9127
2023-10-26,11244
2023-10-27,8849
2023-10-28,6852
2023-10-29,6932
2023-10-30,9995
