CustomerID,StockCode,Description,Quantity
13767.0,22729,ALARM CLOCK BAKELIKE ORANGE,8
13767.0,22726,ALARM CLOCK BAKELIKE GREEN,8
13767.0,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8
13767.0,22867,HAND WARMER BIRD DESIGN,48
13767.0,22866,HAND WARMER SCOTTY DOG DESIGN,48
17850.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6
17850.0,71053,WHITE METAL LANTERN,6
17850.0,84406B,CREAM CUPID HEARTS COAT HANGER,8
17850.0,15056BL,EDWARDIAN PARASOL BLACK,6
17850.0,20679,EDWARDIAN PARASOL RED,6
17850.0,21871,SAVE THE PLANET MUG,6
17850.0,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2
17850.0,82486,WOOD S/3 CABINET ANT WHITE FINISH,4
17850.0,82482,WOODEN PICTURE FRAME WHITE FINISH,6
17850.0,82494L,WOODEN FRAME ANTIQUE WHITE ,12
17850.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6
17850.0,84029E,RED WOOLLY HOTTIE WHITE HEART.,6
17850.0,22752,SET 7 BABUSHKA NESTING BOXES,2
13448.0,21980,PACK OF 12 RED RETROSPOT TISSUES ,24
13448.0,22637,PIGGY BANK RETROSPOT ,8
13448.0,22752,SET 7 BABUSHKA NESTING BOXES,6
13448.0,48185,DOORMAT FAIRY CAKE,2
13448.0,22632,HAND WARMER RED RETROSPOT,12
13448.0,22866,HAND WARMER SCOTTY DOG DESIGN,12
13448.0,22865,HAND WARMER OWL DESIGN,12
13448.0,21232,STRAWBERRY CERAMIC TRINKET BOX,12
13448.0,22064,PINK DOUGHNUT TRINKET POT ,12
13448.0,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4
13448.0,22835,HOT WATER BOTTLE I AM SO POORLY,8
13448.0,22112,CHOCOLATE HOT WATER BOTTLE,9
13448.0,21479,WHITE SKULL HOT WATER BOTTLE ,4
13448.0,22111,SCOTTIE DOG HOT WATER BOTTLE,9
17850.0,22632,HAND WARMER RED POLKA DOT,6
17850.0,22633,HAND WARMER UNION JACK,6
13448.0,22969,HOMEMADE JAM SCENTED CANDLES,12
15862.0,22110,BIRD HOUSE HOT WATER BOTTLE,1
15862.0,22766,PHOTO FRAME CORNICE,1
15862.0,22549,PICTURE DOMINOES,1
15862.0,85049E,SCANDINAVIAN REDS RIBBONS,2
15862.0,21328,BALLOONS  WRITING SET ,1
15862.0,22961,JAM MAKING SET PRINTED,4
15862.0,22767,TRIPLE PHOTO FRAME CORNICE ,2
15862.0,22768,FAMILY PHOTO FRAME CORNICE,1
15862.0,85150,LADIES & GENTLEMEN METAL SIGN,1
15862.0,21169,YOU'RE CONFUSING ME METAL SIGN ,2
15862.0,48129,DOORMAT TOPIARY,1
15862.0,82580,BATHROOM METAL SIGN,1
15862.0,82578,KITCHEN METAL SIGN,1
15862.0,82581,TOILET METAL SIGN,2
15862.0,22413,METAL SIGN TAKE IT OR LEAVE IT ,4
15862.0,21907,I'M ON HOLIDAY METAL SIGN,2
15862.0,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1
15862.0,21122,SET/10 PINK POLKADOT PARTY CANDLES,1
15862.0,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,1
15862.0,84991,60 TEATIME FAIRY CAKE CASES,3
15862.0,22809,SET OF 6 T-LIGHTS SANTA,1
15862.0,22435,SET OF 9 HEART SHAPED BALLOONS,2
15862.0,21592,RETROSPOT CIGAR BOX MATCHES ,1
15862.0,20992,JAZZ HEARTS PURSE NOTEBOOK,9
15862.0,22662,LUNCH BAG DOLLY GIRL DESIGN,1
15862.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4
15862.0,22804,CANDLEHOLDER PINK HANGING HEART,3
15862.0,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1
15862.0,20749,ASSORTED COLOUR MINI CASES,1
15862.0,20725,LUNCH BAG RED RETROSPOT,1
15862.0,22382,LUNCH BAG SPACEBOY DESIGN ,2
15862.0,20726,LUNCH BAG WOODLAND,1
15862.0,22384,LUNCH BAG PINK POLKADOT,1
15862.0,22467,GUMBALL COAT RACK,5
15862.0,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9
15862.0,84030E,ENGLISH ROSE HOT WATER BOTTLE,1
15862.0,22502,PICNIC BASKET WICKER SMALL,2
15513.0,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40
15513.0,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40
12791.0,22867,HAND WARMER BIRD DESIGN,96
12791.0,POST,POSTAGE,1
16218.0,22297,HEART IVORY TRELLIS SMALL,24
16218.0,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12
16218.0,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12
16218.0,22469,HEART OF WICKER SMALL,12
16218.0,22197,SMALL POPCORN HOLDER,36
16218.0,85049C,ROMANTIC PINKS RIBBONS ,12
16218.0,85049E,SCANDINAVIAN REDS RIBBONS,12
16218.0,85049G,CHOCOLATE BOX RIBBONS ,12
16218.0,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12
16218.0,84378,SET OF 3 HEART COOKIE CUTTERS,12
16218.0,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,12
16218.0,21213,PACK OF 72 SKULL CAKE CASES,24
16218.0,22417,PACK OF 60 SPACEBOY CAKE CASES,24
16218.0,21212,PACK OF 72 RETROSPOT CAKE CASES,24
16218.0,84992,72 SWEETHEART FAIRY CAKE CASES,24
16218.0,21975,PACK OF 60 DINOSAUR CAKE CASES,24
16218.0,22383,LUNCH BAG SUKI  DESIGN ,10
16218.0,20728,LUNCH BAG CARS BLUE,10
16218.0,20727,LUNCH BAG  BLACK SKULL.,10
16218.0,22296,HEART IVORY TRELLIS LARGE,24
14045.0,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128
17850.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8
17850.0,71053,WHITE METAL LANTERN,8
17850.0,84406B,CREAM CUPID HEARTS COAT HANGER,8
17850.0,20679,EDWARDIAN PARASOL RED,6
17850.0,21871,SAVE THE PLANET MUG,6
17850.0,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4
17850.0,82486,WOOD S/3 CABINET ANT WHITE FINISH,4
17850.0,82482,WOODEN PICTURE FRAME WHITE FINISH,6
17850.0,82494L,WOODEN FRAME ANTIQUE WHITE ,6
17850.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6
17850.0,84029E,RED WOOLLY HOTTIE WHITE HEART.,6
17850.0,22752,SET 7 BABUSHKA NESTING BOXES,2
17850.0,22632,HAND WARMER RED POLKA DOT,6
17850.0,22633,HAND WARMER UNION JACK,6
14307.0,20982,12 PENCILS TALL TUBE SKULLS,12
14307.0,21915,RED  HARMONICA IN BOX ,12
14307.0,21914,BLUE HARMONICA IN BOX ,12
14307.0,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4
14307.0,84029E,RED WOOLLY HOTTIE WHITE HEART.,4
14307.0,21479,WHITE SKULL HOT WATER BOTTLE ,4
14307.0,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6
14307.0,84375,SET OF 20 KIDS COOKIE CUTTERS,12
14307.0,22418,10 COLOUR SPACEBOY PEN,24
14307.0,22178,VICTORIAN GLASS HANGING T-LIGHT,12
14307.0,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12
14307.0,21733,RED HANGING HEART T-LIGHT HOLDER,6
14307.0,22465,HANGING METAL STAR LANTERN,12
14307.0,84949,SILVER HANGING T-LIGHT HOLDER,6
14307.0,20685,DOORMAT RED RETROSPOT,2
14307.0,48194,DOORMAT HEARTS,2
14307.0,22488,NATURAL SLATE RECTANGLE CHALKBOARD,12
14307.0,22219,LOVEBIRD HANGING DECORATION WHITE ,12
14307.0,84879,ASSORTED COLOUR BIRD ORNAMENT,8
14307.0,21754,HOME BUILDING BLOCK WORD,3
14307.0,21755,LOVE BUILDING BLOCK WORD,3
14307.0,22766,PHOTO FRAME CORNICE,8
14307.0,22610,PENS ASSORTED FUNNY FACE,36
14307.0,22716,CARD CIRCUS PARADE,12
14307.0,22371,AIRLINE BAG VINTAGE TOKYO 78,4
14307.0,85014B,RED RETROSPOT UMBRELLA,3
14307.0,85014A,BLACK/BLUE POLKADOT UMBRELLA,3
14307.0,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6
14307.0,21212,PACK OF 72 RETROSPOT CAKE CASES,24
14307.0,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12
14307.0,22553,PLASTERS IN TIN SKULLS,12
14307.0,16237,SLEEPING CAT ERASERS,30
14307.0,22714,CARD BIRTHDAY COWBOY,12
14307.0,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6
14307.0,22736,RIBBON REEL MAKING SNOWMEN ,10
14307.0,22492,MINI PAINT SET VINTAGE ,36
14307.0,22620,4 TRADITIONAL SPINNING TOPS,12
14307.0,22619,SET OF 6 SOLDIER SKITTLES,4
17908.0,21479,WHITE SKULL HOT WATER BOTTLE ,1
17908.0,22111,SCOTTIE DOG HOT WATER BOTTLE,1
17908.0,22972,CHILDREN'S SPACEBOY MUG,1
17908.0,22866,HAND WARMER SCOTTY DOG DESIGN,1
17908.0,22568,FELTCRAFT CUSHION OWL,1
17908.0,21955,DOORMAT UNION JACK GUNS AND ROSES,1
17908.0,22109,FULL ENGLISH BREAKFAST PLATE,1
17908.0,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1
17908.0,21811,CHRISTMAS HANGING HEART WITH BELL,1
17908.0,21931,JUMBO STORAGE BAG SUKI,2
17908.0,20668,DISCO BALL CHRISTMAS DECORATION,24
17908.0,21326,AGED GLASS SILVER T-LIGHT HOLDER,12
17908.0,22900, SET 2 TEA TOWELS I LOVE LONDON ,1
17908.0,20713,JUMBO BAG OWLS,1
17908.0,22633,HAND WARMER UNION JACK,1
17908.0,22866,HAND WARMER SCOTTY DOG DESIGN,1
17908.0,22197,SMALL POPCORN HOLDER,2
17908.0,85099B,JUMBO BAG RED RETROSPOT,2
17908.0,85099F,JUMBO BAG STRAWBERRY,1
17908.0,20717,STRAWBERRY SHOPPER BAG,1
17908.0,20723,STRAWBERRY CHARLOTTE BAG,1
17908.0,22900, SET 2 TEA TOWELS I LOVE LONDON ,1
17908.0,21980,PACK OF 12 RED RETROSPOT TISSUES ,12
17908.0,22111,SCOTTIE DOG HOT WATER BOTTLE,1
17908.0,22112,CHOCOLATE HOT WATER BOTTLE,1
17920.0,20728,LUNCH BAG CARS BLUE,3
17920.0,22382,LUNCH BAG SPACEBOY DESIGN ,3
17920.0,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1
17920.0,22662,LUNCH BAG DOLLY GIRL DESIGN,4
17920.0,22383,LUNCH BAG SUKI  DESIGN ,3
17920.0,20727,LUNCH BAG  BLACK SKULL.,3
17920.0,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1
17920.0,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1
17920.0,22630,DOLLY GIRL LUNCH BOX,1
17920.0,22629,SPACEBOY LUNCH BOX ,1
17920.0,21242,RED RETROSPOT PLATE ,1
17920.0,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1
17920.0,22273,FELTCRAFT DOLL MOLLY,1
17920.0,22940,FELTCRAFT CHRISTMAS FAIRY,3
17920.0,22652,TRAVEL SEWING KIT,5
17920.0,22759,SET OF 3 NOTEBOOKS IN PARCEL,1
17920.0,22077,6 RIBBONS RUSTIC CHARM,1
17920.0,85049E,SCANDINAVIAN REDS RIBBONS,3
17920.0,22961,JAM MAKING SET PRINTED,24
17920.0,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2
17920.0,22940,FELTCRAFT CHRISTMAS FAIRY,1
17920.0,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1
17920.0,22077,6 RIBBONS RUSTIC CHARM,2
17920.0,85049E,SCANDINAVIAN REDS RIBBONS,1
17920.0,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1
17920.0,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2
17920.0,22077,6 RIBBONS RUSTIC CHARM,7
17920.0,22759,SET OF 3 NOTEBOOKS IN PARCEL,5
17920.0,85049E,SCANDINAVIAN REDS RIBBONS,12
17920.0,21731,RED TOADSTOOL LED NIGHT LIGHT,5
17920.0,22271,FELTCRAFT DOLL ROSIE,2
17920.0,22273,FELTCRAFT DOLL MOLLY,1
17920.0,22274,FELTCRAFT DOLL EMILY,2
17920.0,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1
17920.0,22751,FELTCRAFT PRINCESS OLIVIA DOLL,2
17920.0,21034,REX CASH+CARRY JUMBO SHOPPER,1
17920.0,22273,FELTCRAFT DOLL MOLLY,2
17920.0,22568,FELTCRAFT CUSHION OWL,3
17920.0,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1
17920.0,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1
17920.0,22570,FELTCRAFT CUSHION RABBIT,3
17920.0,22569,FELTCRAFT CUSHION BUTTERFLY,2
17920.0,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1
17920.0,22569,FELTCRAFT CUSHION BUTTERFLY,2
17920.0,22179,SET 10 LIGHTS NIGHT OWL,2
17920.0,22197,SMALL POPCORN HOLDER,5
17920.0,22900, SET 2 TEA TOWELS I LOVE LONDON ,2
17920.0,20725,LUNCH BAG RED RETROSPOT,1
17920.0,22900, SET 2 TEA TOWELS I LOVE LONDON ,2
17920.0,22988,SOLDIERS EGG CUP ,6
17920.0,20750,RED RETROSPOT MINI CASES,1
12838.0,22952,60 CAKE CASES VINTAGE CHRISTMAS,10
12838.0,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,5
12838.0,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,3
12838.0,22738,RIBBON REEL SNOWY VILLAGE,3
12838.0,22736,RIBBON REEL MAKING SNOWMEN ,3
12838.0,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,5
12838.0,22470,HEART OF WICKER LARGE,1
12838.0,22580,ADVENT CALENDAR GINGHAM SACK,1
12838.0,22469,HEART OF WICKER SMALL,5
12838.0,22147,FELTCRAFT BUTTERFLY HEARTS,4
12838.0,21791,VINTAGE HEADS AND TAILS CARD GAME ,3
12838.0,22694,WICKER STAR ,5
12838.0,21790,VINTAGE SNAP CARDS,3
12838.0,22149,FELTCRAFT 6 FLOWER FRIENDS,4
12838.0,22900, SET 2 TEA TOWELS I LOVE LONDON ,3
12838.0,22961,JAM MAKING SET PRINTED,3
12838.0,22595,CHRISTMAS GINGHAM HEART,6
12838.0,21986,PACK OF 12 PINK POLKADOT TISSUES,12
12838.0,22750,FELTCRAFT PRINCESS LOLA DOLL,2
12838.0,22616,PACK OF 12 LONDON TISSUES ,12
12838.0,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,1
12838.0,22899,CHILDREN'S APRON DOLLY GIRL ,2
12838.0,22367,CHILDRENS APRON SPACEBOY DESIGN,3
12838.0,22941,CHRISTMAS LIGHTS 10 REINDEER,3
12838.0,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6
12838.0,22940,FELTCRAFT CHRISTMAS FAIRY,2
12838.0,21212,PACK OF 72 RETROSPOT CAKE CASES,2
12838.0,21976,PACK OF 60 MUSHROOM CAKE CASES,2
12838.0,22951,60 CAKE CASES DOLLY GIRL DESIGN,2
12838.0,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3
12838.0,22834,HAND WARMER BABUSHKA DESIGN,3
12838.0,22867,HAND WARMER BIRD DESIGN,3
12838.0,22865,HAND WARMER OWL DESIGN,3
12838.0,22632,HAND WARMER RED RETROSPOT,3
12838.0,21916,SET 12 RETRO WHITE CHALK STICKS,2
12838.0,22557,PLASTERS IN TIN VINTAGE PAISLEY ,3
12838.0,22551,PLASTERS IN TIN SPACEBOY,3
12838.0,22554,PLASTERS IN TIN WOODLAND ANIMALS,3
12838.0,22534,MAGIC DRAWING SLATE SPACEBOY ,3
12838.0,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,3
12838.0,22530,MAGIC DRAWING SLATE DOLLY GIRL ,3
