collision_index,date,day_of_week,time,collision_severity,number_of_vehicles,number_of_casualties,speed_limit,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,road_type,longitude,latitude
2021201028167,01/02/2021,2,17:00,3,2,1,30,1,1,1,1,1,-2.072832,52.513829
2021201107704,18/07/2021,1,13:45,3,2,1,30,1,1,1,1,3,-2.044698,52.452396
2021201099044,19/08/2021,5,21:29,3,1,1,40,4,2,2,1,3,-2.08041,52.507639
2021201145731,10/11/2021,4,08:30,3,2,1,30,1,1,1,1,1,-2.092881,52.517941
2021201075311,20/07/2021,3,04:39,2,2,2,40,1,1,1,1,3,-2.015957,52.483788
2021201117026,08/08/2021,1,21:03,3,2,1,30,4,1,1,1,6,-2.070731,52.527
2021201125191,11/11/2021,5,18:10,2,2,1,30,4,1,1,1,6,-2.015697,52.537404
2021201063849,16/05/2021,1,15:04,3,1,1,30,1,1,1,1,6,-1.73138,52.472858
2021201092818,05/08/2021,5,07:48,3,2,1,30,1,1,1,1,6,-1.758418,52.422797
2021201109905,02/09/2021,5,20:09,3,2,2,30,4,1,1,1,6,-1.752099,52.469298
2021201112510,11/10/2021,2,22:00,2,1,1,30,1,1,1,1,6,-1.964885,52.563776
2021201120983,16/10/2021,7,04:15,3,1,1,30,4,1,1,1,6,-1.978358,52.584825
2021201020155,22/01/2021,6,19:40,2,2,1,40,4,2,2,1,1,-2.129143,52.596685
2021201059186,14/02/2021,1,18:05,3,2,1,30,4,5,2,1,1,-2.114776,52.612585
2021201045878,06/05/2021,5,20:47,2,1,1,30,1,1,1,1,6,-2.141238,52.624882
2021138141599,04/01/2021,2,00:00,3,1,1,30,4,1,2,1,6,-1.788458,53.836193
2021131036266,16/04/2021,6,13:10,2,2,1,30,1,1,1,1,7,-1.725819,53.773852
2021131046268,17/05/2021,2,15:17,3,2,1,30,1,1,2,1,6,-1.82416,53.827154
2021131071824,30/07/2021,6,07:40,3,3,1,30,1,2,2,1,3,-1.755671,53.770069
2021131074480,06/08/2021,6,17:11,3,2,1,30,1,2,2,1,6,-1.721384,53.781472
2021131114788,26/11/2021,6,21:15,3,1,1,30,4,5,2,1,2,-1.757126,53.79398
2021131036313,16/04/2021,6,17:57,3,3,1,70,1,1,1,2,3,-2.001473,53.632557
2021131063942,06/07/2021,3,07:20,3,2,1,30,1,1,1,1,6,-2.10868,53.72149
2021131039744,25/04/2021,1,18:30,2,2,1,30,1,1,1,1,6,-1.37795,53.749733
2021131056687,17/06/2021,5,07:33,3,1,1,30,1,1,1,1,2,-1.385457,53.92849
2021131065807,13/07/2021,3,11:31,3,2,1,30,1,1,1,1,6,-1.592602,53.848937
2021131069335,23/07/2021,6,08:38,3,2,1,50,1,1,1,1,6,-1.651566,53.747684
2021131094173,01/10/2021,6,20:00,2,2,1,30,4,1,2,1,6,-1.563673,53.81256
2021131120294,12/12/2021,1,21:10,3,2,1,30,4,1,2,1,6,-1.539804,53.803771
20211382F0825,15/02/2021,2,15:30,2,2,4,30,1,1,1,2,6,-1.367829,53.707697
2021131064773,10/07/2021,7,06:16,3,1,1,40,1,1,2,2,6,-1.456156,53.666046
2021131076421,12/08/2021,5,17:45,3,1,1,30,1,1,1,1,6,-1.579913,53.673482
2021101022961,21/02/2021,1,18:30,3,2,2,30,4,1,1,1,6,-1.579046,54.933334
2021101024812,26/02/2021,6,16:15,3,2,1,30,1,1,1,2,1,-1.685115,54.962266
2021101027516,09/03/2021,3,08:45,3,2,1,60,1,1,1,2,1,-1.558609,54.906905
2021481054853,22/05/2021,7,14:15,3,2,1,20,1,1,1,1,6,-0.089494,51.51333
2021010323796,10/08/2021,3,20:50,3,2,1,30,4,1,1,2,6,0.136448,51.523127
2021010299027,26/03/2021,6,20:30,3,2,1,30,7,1,1,1,3,-0.239426,51.593947
2021010317013,02/07/2021,6,15:16,3,1,1,30,1,1,1,1,6,-0.198122,51.596809
2021010333008,21/09/2021,3,17:00,3,2,1,30,1,9,9,1,9,-0.149998,51.616725
2021010334611,30/09/2021,5,18:15,3,2,1,30,4,2,2,1,6,-0.266239,51.599579
2021010287857,07/01/2021,5,14:58,3,2,1,50,1,1,1,1,3,0.112793,51.450884
2021010314161,17/06/2021,5,08:30,2,2,1,30,1,2,2,1,6,0.125739,51.450713
2021010312430,09/06/2021,4,13:10,2,2,1,30,1,1,1,1,1,-0.265493,51.56573
2021010348183,04/12/2021,7,20:29,3,2,3,20,4,2,2,1,6,-0.275365,51.558412
2021010325635,21/08/2021,7,13:05,3,2,1,30,1,8,2,1,6,-0.061447,51.419928
2021010329883,26/08/2021,5,09:30,3,2,1,20,4,1,1,1,9,0.018471,51.419758
2021010293953,23/02/2021,3,15:50,3,2,1,20,1,1,1,1,1,-0.096869,51.370815
2021010301317,06/04/2021,3,10:10,3,2,1,20,1,1,1,1,6,-0.08714,51.397069
2021010317883,01/07/2021,5,08:00,2,1,1,20,1,9,1,1,6,-0.262416,51.506415
2021010330274,10/09/2021,6,08:42,3,2,2,20,1,1,1,1,6,-0.347222,51.534941
2021010352968,23/12/2021,5,19:30,3,2,1,20,4,2,2,1,9,-0.328407,51.50972
2021010290265,15/01/2021,6,07:59,3,2,1,70,1,1,1,1,3,-0.039672,51.682629
2021010289444,20/01/2021,4,18:09,3,1,1,30,4,1,2,1,1,-0.127485,51.632347
2021010294564,27/02/2021,7,15:20,3,1,1,20,1,1,1,1,6,-0.053883,51.659548
2021010296330,12/03/2021,6,09:45,2,2,1,30,1,9,1,1,6,-0.064641,51.662244
2021010319741,18/07/2021,1,18:20,3,1,2,20,1,1,1,1,9,-0.14944,51.65068
2021010344366,24/09/2021,6,06:00,3,2,1,20,7,9,9,1,9,-0.057969,51.660021
2021010336422,08/10/2021,6,01:24,3,1,1,20,4,1,1,1,2,-0.050462,51.636848
2021010343064,10/11/2021,4,14:55,2,1,1,30,1,8,2,1,6,-0.126957,51.632878
2021010343686,12/11/2021,6,20:20,3,2,1,40,4,2,2,1,3,-0.067613,51.636242
2021010303906,26/04/2021,2,16:30,2,2,1,30,1,1,1,1,6,0.072016,51.490245
2021010308454,20/05/2021,5,16:14,3,2,1,30,1,5,2,1,6,0.111691,51.482487
2021010293912,22/02/2021,2,16:26,3,2,1,20,1,1,2,1,9,-0.081364,51.525005
2021010329208,04/09/2021,7,18:40,3,2,1,20,1,1,1,1,6,-0.076898,51.536226
2021010336928,11/10/2021,2,20:50,3,2,1,20,4,1,1,1,3,-0.074527,51.555863
2021010328463,31/08/2021,3,16:30,3,2,1,30,1,1,1,1,1,-0.243446,51.498713
2021010293686,21/02/2021,1,15:30,3,1,1,20,1,1,1,1,6,-0.146578,51.594657
2021010306678,20/04/2021,3,22:00,3,2,1,30,7,1,1,1,6,-0.102038,51.566231
2021010319842,19/07/2021,2,14:58,3,1,1,20,1,1,1,1,6,-0.079037,51.5892
2021010320490,23/07/2021,6,06:30,3,2,1,20,1,1,1,1,6,-0.10488,51.601986
2021010328059,27/08/2021,6,11:20,3,2,1,20,1,1,1,1,9,-0.09898,51.577961
2021010310765,01/06/2021,3,11:18,3,2,1,30,1,1,1,1,6,-0.370678,51.570159
2021010336146,08/10/2021,6,06:25,3,2,1,30,4,8,2,1,3,-0.344705,51.589993
2021010307932,18/05/2021,3,08:10,3,2,1,30,1,1,1,1,1,0.181183,51.571145
2021010308151,19/05/2021,4,06:30,3,2,1,30,1,2,1,1,6,0.194593,51.573026
2021010335928,06/10/2021,4,18:00,3,2,1,30,1,1,1,1,9,0.213033,51.521797
2021010288175,09/01/2021,7,19:30,3,2,1,30,4,7,9,1,6,-0.435978,51.522912
2021010323638,09/08/2021,2,19:20,2,2,3,40,1,1,2,1,3,-0.422586,51.493301
2021010329004,02/09/2021,5,09:47,3,2,1,30,1,1,1,1,1,-0.405116,51.58681
2021010343706,13/11/2021,7,15:20,3,2,1,30,1,1,1,1,6,-0.399634,51.445681
2021010296176,11/03/2021,5,08:10,3,2,1,20,1,4,1,1,6,-0.10939,51.540649
2021010315784,25/06/2021,6,22:27,2,2,1,30,4,1,1,1,6,-0.130618,51.564199
2021010298877,28/03/2021,1,21:16,2,2,1,30,4,1,1,1,6,-0.185418,51.483334
2021010310121,28/05/2021,6,11:01,3,2,1,20,1,1,1,1,6,-0.199638,51.508076
2021010336937,11/10/2021,2,21:05,3,2,1,20,4,1,1,1,3,-0.284185,51.382107
2021010345890,24/11/2021,4,20:05,3,2,1,20,7,1,1,1,6,-0.302631,51.399372
2021010346290,26/11/2021,6,19:05,3,3,1,50,4,2,2,1,3,-0.276981,51.382612
2021010323645,10/08/2021,3,06:22,3,1,1,20,1,1,1,1,3,-0.101811,51.477397
2021010330429,10/09/2021,6,18:50,2,2,1,30,1,2,2,1,6,-0.039297,51.468652
2021010288384,11/01/2021,2,07:45,3,1,1,50,1,1,2,1,3,0.026126,51.517306
2021010289701,22/01/2021,6,14:01,2,2,1,30,1,1,1,1,6,0.043755,51.538583
2021010313241,12/06/2021,7,14:27,2,2,1,30,1,8,1,1,6,0.032188,51.517165
2021010330854,13/09/2021,2,07:03,3,3,5,30,1,1,1,1,3,0.006165,51.515042
2021010331445,15/09/2021,4,22:09,3,1,1,30,4,1,1,1,3,0.04754,51.55063
2021010290093,25/01/2021,2,12:00,3,2,2,50,1,1,2,2,3,0.117404,51.582456
2021010319353,16/07/2021,6,13:46,3,1,1,30,1,1,1,1,6,0.083272,51.591727
2021010346146,26/11/2021,6,06:50,3,1,1,30,1,2,2,1,6,0.065868,51.564832
2021010317022,02/07/2021,6,18:50,2,1,1,30,1,8,1,1,6,-0.266907,51.46587
2021010347773,03/12/2021,6,14:04,3,2,1,20,1,1,1,1,6,-0.375101,51.435038
2021010291448,04/02/2021,5,11:05,3,1,1,20,1,1,1,1,6,-0.07115,51.473344
2021010319643,15/07/2021,5,18:00,3,2,1,20,1,1,1,1,9,-0.092176,51.50466
2021010322540,03/08/2021,3,19:30,3,1,1,20,1,1,1,1,6,-0.095313,51.48749
2021010333388,24/09/2021,6,22:05,3,2,1,20,4,1,1,1,6,-0.052864,51.490884
2021010351866,24/12/2021,6,23:00,3,2,1,20,4,2,2,1,9,-0.054725,51.463406
2021010287259,02/01/2021,7,13:18,3,2,1,30,1,1,1,1,6,-0.193945,51.387702
2021010295344,04/03/2021,5,14:36,3,2,1,20,1,1,1,1,6,-0.062451,51.514802
2021010323244,16/07/2021,6,06:00,3,2,1,30,1,8,1,1,6,-0.035878,51.587721
2021010310538,30/05/2021,1,20:22,3,2,1,20,1,1,9,1,9,-0.147786,51.450894
2021010341018,14/10/2021,5,08:35,3,2,1,30,1,1,1,1,9,-0.169505,51.440803
2021010340320,28/10/2021,5,08:00,3,1,1,30,1,1,1,1,6,-0.13925,51.420821
2021010292264,10/02/2021,4,14:25,2,2,1,30,1,1,1,1,3,-0.172904,51.520001
2021010303875,26/04/2021,2,16:37,3,1,1,30,1,1,1,1,3,-0.144003,51.487416
2021010315645,24/06/2021,5,12:51,3,2,1,20,1,1,1,1,2,-0.139452,51.508243
2021010336212,14/09/2021,3,13:20,2,2,1,30,1,2,2,1,2,-0.136855,51.508328
2021010341274,01/11/2021,2,15:50,3,2,1,20,1,1,1,1,6,-0.168128,51.501815
2021010352302,26/12/2021,1,23:15,3,2,1,20,4,1,2,1,3,-0.164146,51.515916
2021351017089,24/01/2021,1,10:29,3,1,1,60,1,1,4,2,6,0.258236,52.217862
2021351086326,07/05/2021,6,13:15,2,1,1,30,1,1,1,1,6,0.151691,52.180728
2021351118564,03/10/2021,1,12:33,3,2,2,30,1,1,1,1,6,0.173281,52.666259
2021351148800,23/10/2021,7,01:20,2,2,1,30,4,1,1,2,6,0.15761,52.167302
2021351120957,05/12/2021,1,18:30,3,2,2,60,6,1,2,1,6,0.154682,52.664584
2021031037307,02/04/2021,6,15:23,3,1,1,40,1,1,1,2,1,-3.567813,54.575388
2021031070241,24/06/2021,5,18:27,3,2,1,60,1,1,1,2,6,-2.939894,54.321515
2021031085401,07/09/2021,3,18:16,3,1,1,40,1,1,1,2,6,-2.780804,54.72635
2021302100286,21/02/2021,1,01:07,3,2,1,30,4,9,1,2,6,-1.983911,53.322824
2021302100563,26/04/2021,2,08:30,3,3,1,30,1,1,1,2,6,-1.641116,53.175411
2021302100842,24/06/2021,5,20:00,2,1,1,50,1,2,2,2,6,-1.7339,53.345442
