No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,Datetime,dayofweek,quarter,dayofyear,is_weekend,lag_1,lag_24,roll_24,roll_168,wind_NW,wind_SE,wind_cv
215,2010,1,9,22,47.0,-15,-8.0,1033.0,0.45,0,0,2010-01-09 22:00:00,5,1,9,1,50.0,168.0,97.83333333333333,78.54166666666667,0,0,1
216,2010,1,9,23,66.0,-15,-8.0,1033.0,0.9,0,0,2010-01-09 23:00:00,5,1,9,1,47.0,169.0,92.79166666666667,77.89285714285714,0,0,1
217,2010,1,10,0,75.0,-15,-11.0,1033.0,0.89,0,0,2010-01-10 00:00:00,6,1,10,1,66.0,165.0,88.5,77.53571428571429,1,0,0
218,2010,1,10,1,82.0,-17,-13.0,1033.0,1.78,0,0,2010-01-10 01:00:00,6,1,10,1,75.0,159.0,84.75,77.44642857142857,1,0,0
219,2010,1,10,2,66.0,-17,-12.0,1033.0,4.91,0,0,2010-01-10 02:00:00,6,1,10,1,82.0,167.0,81.54166666666667,77.55952380952381,1,0,0
220,2010,1,10,3,83.0,-17,-13.0,1033.0,8.04,0,0,2010-01-10 03:00:00,6,1,10,1,66.0,196.0,77.33333333333333,77.56547619047619,1,0,0
221,2010,1,10,4,62.0,-19,-14.0,1032.0,9.83,0,0,2010-01-10 04:00:00,6,1,10,1,83.0,169.0,72.625,77.73214285714286,1,0,0
222,2010,1,10,5,40.0,-18,-13.0,1032.0,12.96,0,0,2010-01-10 05:00:00,6,1,10,1,62.0,155.0,68.16666666666667,77.71428571428571,1,0,0
223,2010,1,10,6,23.0,-19,-13.0,1032.0,16.09,0,0,2010-01-10 06:00:00,6,1,10,1,40.0,119.0,63.375,77.45833333333333,1,0,0
224,2010,1,10,7,25.0,-19,-14.0,1033.0,19.22,0,0,2010-01-10 07:00:00,6,1,10,1,23.0,106.0,59.375,77.05357142857143,1,0,0
225,2010,1,10,8,27.0,-19,-14.0,1034.0,22.35,0,0,2010-01-10 08:00:00,6,1,10,1,25.0,93.0,56.0,76.69047619047619,1,0,0
226,2010,1,10,9,35.0,-17,-12.0,1033.0,24.14,0,0,2010-01-10 09:00:00,6,1,10,1,27.0,84.0,53.25,76.36309523809524,1,0,0
227,2010,1,10,10,50.0,-16,-7.0,1033.0,4.02,0,0,2010-01-10 10:00:00,6,1,10,1,35.0,73.0,51.208333333333336,76.05952380952381,0,0,0
228,2010,1,10,11,70.0,-15,-7.0,1033.0,3.13,0,0,2010-01-10 11:00:00,6,1,10,1,50.0,66.0,50.25,75.89285714285714,1,0,0
229,2010,1,10,12,75.0,-15,-7.0,1032.0,6.26,0,0,2010-01-10 12:00:00,6,1,10,1,70.0,40.0,50.416666666666664,75.72619047619048,1,0,0
230,2010,1,10,13,58.0,-14,-6.0,1031.0,9.39,0,0,2010-01-10 13:00:00,6,1,10,1,75.0,49.0,51.875,75.53571428571429,1,0,0
231,2010,1,10,14,70.0,-14,-6.0,1031.0,12.52,0,0,2010-01-10 14:00:00,6,1,10,1,58.0,50.0,52.25,75.3452380952381,1,0,0
232,2010,1,10,15,68.0,-13,-5.0,1030.0,14.31,0,0,2010-01-10 15:00:00,6,1,10,1,70.0,49.0,53.083333333333336,75.19047619047619,1,0,0
233,2010,1,10,16,71.0,-14,-5.0,1031.0,16.1,0,0,2010-01-10 16:00:00,6,1,10,1,68.0,41.0,53.875,75.0297619047619,1,0,0
234,2010,1,10,17,88.0,-14,-6.0,1031.0,19.23,0,0,2010-01-10 17:00:00,6,1,10,1,71.0,37.0,55.125,74.94047619047619,1,0,0
235,2010,1,10,18,84.0,-13,-7.0,1032.0,23.25,0,0,2010-01-10 18:00:00,6,1,10,1,88.0,45.0,57.25,75.04761904761905,1,0,0
236,2010,1,10,19,83.0,-15,-6.0,1032.0,27.27,0,0,2010-01-10 19:00:00,6,1,10,1,84.0,44.0,58.875,75.18452380952381,1,0,0
237,2010,1,10,20,66.0,-15,-6.0,1033.0,30.4,0,0,2010-01-10 20:00:00,6,1,10,1,83.0,54.0,60.5,75.36309523809524,1,0,0
238,2010,1,10,21,27.0,-15,-4.0,1034.0,35.32,0,0,2010-01-10 21:00:00,6,1,10,1,66.0,50.0,61.0,75.33333333333333,1,0,0
239,2010,1,10,22,24.0,-16,-4.0,1034.0,44.26,0,0,2010-01-10 22:00:00,6,1,10,1,27.0,47.0,60.041666666666664,75.06547619047619,1,0,0
240,2010,1,10,23,22.0,-17,-5.0,1035.0,52.31,0,0,2010-01-10 23:00:00,6,1,10,1,24.0,66.0,59.083333333333336,74.75595238095238,1,0,0
241,2010,1,11,0,23.0,-17,-6.0,1035.0,60.36,0,0,2010-01-11 00:00:00,0,1,11,0,22.0,75.0,57.25,74.45238095238095,1,0,0
242,2010,1,11,1,27.0,-17,-8.0,1035.0,0.89,0,0,2010-01-11 01:00:00,0,1,11,0,23.0,82.0,55.083333333333336,74.11904761904762,0,0,1
243,2010,1,11,2,23.0,-19,-11.0,1036.0,4.02,0,0,2010-01-11 02:00:00,0,1,11,0,27.0,66.0,52.791666666666664,73.93452380952381,1,0,0
244,2010,1,11,3,17.0,-20,-11.0,1036.0,8.94,0,0,2010-01-11 03:00:00,0,1,11,0,23.0,83.0,51.0,73.92261904761905,1,0,0
245,2010,1,11,4,17.0,-21,-11.0,1035.0,4.02,0,0,2010-01-11 04:00:00,0,1,11,0,17.0,62.0,48.25,73.86904761904762,0,0,0
246,2010,1,11,5,16.0,-22,-12.0,1035.0,3.13,0,0,2010-01-11 05:00:00,0,1,11,0,17.0,40.0,46.375,73.80357142857143,1,0,0
247,2010,1,11,6,16.0,-22,-12.0,1035.0,4.92,0,0,2010-01-11 06:00:00,0,1,11,0,16.0,23.0,45.375,73.74404761904762,0,0,0
248,2010,1,11,7,20.0,-22,-13.0,1036.0,5.81,0,0,2010-01-11 07:00:00,0,1,11,0,16.0,25.0,45.083333333333336,73.7202380952381,1,0,0
249,2010,1,11,8,20.0,-22,-9.0,1036.0,13.86,0,0,2010-01-11 08:00:00,0,1,11,0,20.0,27.0,44.875,73.66666666666667,1,0,0
250,2010,1,11,9,18.0,-22,-10.0,1036.0,21.91,0,0,2010-01-11 09:00:00,0,1,11,0,20.0,35.0,44.583333333333336,73.63095238095238,1,0,0
251,2010,1,11,10,25.0,-22,-9.0,1036.0,29.06,0,0,2010-01-11 10:00:00,0,1,11,0,18.0,50.0,43.875,73.57738095238095,1,0,0
252,2010,1,11,11,26.0,-21,-9.0,1036.0,33.08,0,0,2010-01-11 11:00:00,0,1,11,0,25.0,70.0,42.833333333333336,73.56547619047619,1,0,0
253,2010,1,11,12,27.0,-20,-6.0,1035.0,42.02,0,0,2010-01-11 12:00:00,0,1,11,0,26.0,75.0,41.0,73.57142857142857,1,0,0
254,2010,1,11,13,28.0,-19,-5.0,1034.0,50.96,0,0,2010-01-11 13:00:00,0,1,11,0,27.0,58.0,39.0,73.55952380952381,1,0,0
255,2010,1,11,14,15.0,-19,-5.0,1033.0,59.01,0,0,2010-01-11 14:00:00,0,1,11,0,28.0,70.0,37.75,73.53571428571429,1,0,0
256,2010,1,11,15,24.0,-20,-5.0,1033.0,66.16,0,0,2010-01-11 15:00:00,0,1,11,0,15.0,68.0,35.458333333333336,73.45833333333333,1,0,0
257,2010,1,11,16,13.0,-20,-5.0,1032.0,71.97,0,0,2010-01-11 16:00:00,0,1,11,0,24.0,71.0,33.625,73.42857142857143,1,0,0
258,2010,1,11,17,13.0,-20,-5.0,1033.0,76.89,0,0,2010-01-11 17:00:00,0,1,11,0,13.0,88.0,31.208333333333332,73.32738095238095,1,0,0
259,2010,1,11,18,13.0,-20,-7.0,1033.0,81.81,0,0,2010-01-11 18:00:00,0,1,11,0,13.0,84.0,28.083333333333332,73.22619047619048,1,0,0
260,2010,1,11,19,17.0,-22,-7.0,1033.0,85.83,0,0,2010-01-11 19:00:00,0,1,11,0,13.0,83.0,25.125,73.13690476190476,1,0,0
261,2010,1,11,20,20.0,-22,-8.0,1033.0,89.85,0,0,2010-01-11 20:00:00,0,1,11,0,17.0,66.0,22.375,73.08333333333333,1,0,0
262,2010,1,11,21,27.0,-23,-10.0,1033.0,91.64,0,0,2010-01-11 21:00:00,0,1,11,0,20.0,27.0,20.458333333333332,73.01785714285714,1,0,0
263,2010,1,11,22,20.0,-23,-13.0,1033.0,93.43,0,0,2010-01-11 22:00:00,0,1,11,0,27.0,24.0,20.458333333333332,72.98214285714286,1,0,0
264,2010,1,11,23,15.0,-22,-12.0,1032.0,0.89,0,0,2010-01-11 23:00:00,0,1,11,0,20.0,22.0,20.291666666666668,72.92857142857143,0,0,1
265,2010,1,12,0,21.0,-22,-15.0,1031.0,1.78,0,0,2010-01-12 00:00:00,1,1,12,0,15.0,23.0,20.0,72.83333333333333,0,0,1
266,2010,1,12,1,21.0,-22,-14.0,1031.0,1.79,0,0,2010-01-12 01:00:00,1,1,12,0,21.0,27.0,19.916666666666668,72.7797619047619,0,0,0
267,2010,1,12,2,37.0,-22,-14.0,1031.0,0.89,0,0,2010-01-12 02:00:00,1,1,12,0,21.0,23.0,19.666666666666668,72.70238095238095,1,0,0
268,2010,1,12,3,26.0,-24,-18.0,1030.0,1.79,0,0,2010-01-12 03:00:00,1,1,12,0,37.0,17.0,20.25,72.76190476190476,0,0,0
269,2010,1,12,4,15.0,-24,-13.0,1030.0,3.58,0,0,2010-01-12 04:00:00,1,1,12,0,26.0,17.0,20.625,72.76785714285714,0,0,0
270,2010,1,12,5,9.0,-25,-14.0,1030.0,3.13,0,0,2010-01-12 05:00:00,1,1,12,0,15.0,16.0,20.541666666666668,72.69047619047619,1,0,0
271,2010,1,12,6,11.0,-24,-14.0,1030.0,7.15,0,0,2010-01-12 06:00:00,1,1,12,0,9.0,16.0,20.25,72.57738095238095,1,0,0
272,2010,1,12,7,11.0,-25,-12.0,1030.0,12.96,0,0,2010-01-12 07:00:00,1,1,12,0,11.0,20.0,20.041666666666668,72.48214285714286,1,0,0
273,2010,1,12,8,16.0,-26,-14.0,1030.0,16.98,0,0,2010-01-12 08:00:00,1,1,12,0,11.0,20.0,19.666666666666668,72.38690476190476,1,0,0
274,2010,1,12,9,13.0,-25,-12.0,1031.0,21.0,0,0,2010-01-12 09:00:00,1,1,12,0,16.0,18.0,19.5,72.32142857142857,1,0,0
275,2010,1,12,10,15.0,-25,-11.0,1031.0,26.81,0,0,2010-01-12 10:00:00,1,1,12,0,13.0,25.0,19.291666666666668,72.22619047619048,1,0,0
276,2010,1,12,11,21.0,-24,-11.0,1030.0,35.75,0,0,2010-01-12 11:00:00,1,1,12,0,15.0,26.0,18.875,72.10119047619048,1,0,0
277,2010,1,12,12,24.0,-23,-11.0,1029.0,47.82,0,0,2010-01-12 12:00:00,1,1,12,0,21.0,27.0,18.666666666666668,72.04761904761905,1,0,0
278,2010,1,12,13,22.0,-22,-11.0,1029.0,63.02,0,0,2010-01-12 13:00:00,1,1,12,0,24.0,28.0,18.541666666666668,72.0297619047619,1,0,0
279,2010,1,12,14,22.0,-23,-11.0,1029.0,75.98,0,0,2010-01-12 14:00:00,1,1,12,0,22.0,15.0,18.291666666666668,71.92857142857143,1,0,0
280,2010,1,12,15,22.0,-22,-11.0,1029.0,88.05,0,0,2010-01-12 15:00:00,1,1,12,0,22.0,24.0,18.583333333333332,71.81547619047619,1,0,0
281,2010,1,12,16,19.0,-23,-11.0,1030.0,101.01,0,0,2010-01-12 16:00:00,1,1,12,0,22.0,13.0,18.5,71.75,1,0,0
282,2010,1,12,17,23.0,-24,-11.0,1030.0,109.06,0,0,2010-01-12 17:00:00,1,1,12,0,19.0,13.0,18.75,71.56547619047619,1,0,0
283,2010,1,12,18,25.0,-24,-11.0,1032.0,118.0,0,0,2010-01-12 18:00:00,1,1,12,0,23.0,13.0,19.166666666666668,71.36904761904762,1,0,0
284,2010,1,12,19,25.0,-23,-11.0,1032.0,126.05,0,0,2010-01-12 19:00:00,1,1,12,0,25.0,17.0,19.666666666666668,71.16666666666667,1,0,0
285,2010,1,12,20,31.0,-23,-12.0,1032.0,134.1,0,0,2010-01-12 20:00:00,1,1,12,0,25.0,20.0,20.0,70.95833333333333,1,0,0
286,2010,1,12,21,25.0,-24,-12.0,1033.0,142.15,0,0,2010-01-12 21:00:00,1,1,12,0,31.0,27.0,20.458333333333332,70.64285714285714,1,0,0
287,2010,1,12,22,22.0,-23,-12.0,1033.0,150.2,0,0,2010-01-12 22:00:00,1,1,12,0,25.0,20.0,20.375,70.16071428571429,1,0,0
288,2010,1,12,23,22.0,-23,-12.0,1034.0,160.03,0,0,2010-01-12 23:00:00,1,1,12,0,22.0,15.0,20.458333333333332,69.89880952380952,1,0,0
289,2010,1,13,0,15.0,-24,-12.0,1034.0,169.86,0,0,2010-01-13 00:00:00,2,1,13,0,22.0,21.0,20.75,69.73214285714286,1,0,0
290,2010,1,13,1,16.0,-24,-12.0,1033.0,178.8,0,0,2010-01-13 01:00:00,2,1,13,0,15.0,21.0,20.5,69.48809523809524,1,0,0
291,2010,1,13,2,11.0,-25,-12.0,1033.0,189.98,0,0,2010-01-13 02:00:00,2,1,13,0,16.0,37.0,20.291666666666668,69.125,1,0,0
292,2010,1,13,3,11.0,-24,-13.0,1033.0,198.03,0,0,2010-01-13 03:00:00,2,1,13,0,11.0,26.0,19.208333333333332,68.89285714285714,1,0,0
293,2010,1,13,4,12.0,-25,-12.0,1032.0,205.18,0,0,2010-01-13 04:00:00,2,1,13,0,11.0,15.0,18.583333333333332,68.69642857142857,1,0,0
294,2010,1,13,5,11.0,-25,-12.0,1033.0,215.01,0,0,2010-01-13 05:00:00,2,1,13,0,12.0,9.0,18.458333333333332,68.60714285714286,1,0,0
295,2010,1,13,6,12.0,-25,-12.0,1032.0,226.19,0,0,2010-01-13 06:00:00,2,1,13,0,11.0,11.0,18.541666666666668,68.50595238095238,1,0,0
296,2010,1,13,7,27.0,-25,-12.0,1032.0,235.13,0,0,2010-01-13 07:00:00,2,1,13,0,12.0,11.0,18.583333333333332,68.45238095238095,1,0,0
297,2010,1,13,8,28.0,-25,-12.0,1032.0,243.18,0,0,2010-01-13 08:00:00,2,1,13,0,27.0,16.0,19.25,68.46428571428571,1,0,0
298,2010,1,13,9,34.0,-23,-11.0,1033.0,252.12,0,0,2010-01-13 09:00:00,2,1,13,0,28.0,13.0,19.75,68.51190476190476,1,0,0
299,2010,1,13,10,33.0,-23,-10.0,1033.0,257.93,0,0,2010-01-13 10:00:00,2,1,13,0,34.0,15.0,20.625,68.54166666666667,1,0,0
300,2010,1,13,11,36.0,-22,-9.0,1033.0,263.74,0,0,2010-01-13 11:00:00,2,1,13,0,33.0,21.0,21.375,68.53571428571429,1,0,0
301,2010,1,13,12,26.0,-21,-8.0,1031.0,270.89,0,0,2010-01-13 12:00:00,2,1,13,0,36.0,24.0,22.0,68.5,1,0,0
302,2010,1,13,13,49.0,-21,-6.0,1030.0,278.94,0,0,2010-01-13 13:00:00,2,1,13,0,26.0,22.0,22.083333333333332,68.48809523809524,1,0,0
303,2010,1,13,14,52.0,-20,-5.0,1029.0,286.99,0,0,2010-01-13 14:00:00,2,1,13,0,49.0,22.0,23.208333333333332,68.56547619047619,1,0,0
304,2010,1,13,15,47.0,-22,-5.0,1028.0,294.14,0,0,2010-01-13 15:00:00,2,1,13,0,52.0,22.0,24.458333333333332,68.58928571428571,1,0,0
305,2010,1,13,16,47.0,-21,-5.0,1028.0,299.06,0,0,2010-01-13 16:00:00,2,1,13,0,47.0,19.0,25.5,68.57738095238095,1,0,0
306,2010,1,13,17,39.0,-19,-7.0,1028.0,1.79,0,0,2010-01-13 17:00:00,2,1,13,0,47.0,23.0,26.666666666666668,68.54761904761905,0,1,0
307,2010,1,13,18,59.0,-19,-8.0,1028.0,0.45,0,0,2010-01-13 18:00:00,2,1,13,0,39.0,25.0,27.333333333333332,68.44642857142857,0,0,1
308,2010,1,13,19,76.0,-20,-9.0,1028.0,1.34,0,0,2010-01-13 19:00:00,2,1,13,0,59.0,25.0,28.75,68.22619047619048,0,0,1
309,2010,1,13,20,96.0,-19,-10.0,1027.0,1.79,0,0,2010-01-13 20:00:00,2,1,13,0,76.0,31.0,30.875,68.23214285714286,0,1,0
310,2010,1,13,21,95.0,-19,-13.0,1027.0,0.89,0,0,2010-01-13 21:00:00,2,1,13,0,96.0,25.0,33.583333333333336,68.17857142857143,0,0,1
311,2010,1,13,22,68.0,-18,-12.0,1027.0,1.78,0,0,2010-01-13 22:00:00,2,1,13,0,95.0,22.0,36.5,67.95833333333333,0,0,1
312,2010,1,13,23,65.0,-18,-13.0,1027.0,0.89,0,0,2010-01-13 23:00:00,2,1,13,0,68.0,22.0,38.416666666666664,67.80952380952381,0,0,0
313,2010,1,14,0,75.0,-18,-14.0,1026.0,1.78,0,0,2010-01-14 00:00:00,3,1,14,0,65.0,15.0,40.208333333333336,67.41666666666667,0,0,0
314,2010,1,14,1,257.0,-20,-15.0,1025.0,2.67,0,0,2010-01-14 01:00:00,3,1,14,0,75.0,16.0,42.708333333333336,67.10714285714286,0,0,0
315,2010,1,14,2,174.0,-20,-15.0,1025.0,0.89,0,0,2010-01-14 02:00:00,3,1,14,0,257.0,11.0,52.75,67.86309523809524,1,0,0
316,2010,1,14,3,164.0,-20,-16.0,1025.0,1.78,0,0,2010-01-14 03:00:00,3,1,14,0,174.0,11.0,59.541666666666664,68.64285714285714,1,0,0
317,2010,1,14,4,161.0,-20,-16.0,1024.0,3.57,0,0,2010-01-14 04:00:00,3,1,14,0,164.0,12.0,65.91666666666667,69.39880952380952,1,0,0
318,2010,1,14,5,137.0,-21,-17.0,1024.0,6.7,0,0,2010-01-14 05:00:00,3,1,14,0,161.0,11.0,72.125,70.17857142857143,1,0,0
319,2010,1,14,6,92.0,-19,-14.0,1023.0,10.72,0,0,2010-01-14 06:00:00,3,1,14,0,137.0,12.0,77.375,70.82738095238095,1,0,0
320,2010,1,14,7,64.0,-21,-17.0,1023.0,13.85,0,0,2010-01-14 07:00:00,3,1,14,0,92.0,27.0,80.70833333333333,71.23214285714286,1,0,0
321,2010,1,14,8,87.0,-19,-15.0,1024.0,15.64,0,0,2010-01-14 08:00:00,3,1,14,0,64.0,28.0,82.25,71.47619047619048,1,0,0
322,2010,1,14,9,87.0,-19,-14.0,1024.0,18.77,0,0,2010-01-14 09:00:00,3,1,14,0,87.0,34.0,84.70833333333333,71.85119047619048,1,0,0
323,2010,1,14,10,84.0,-18,-10.0,1024.0,22.79,0,0,2010-01-14 10:00:00,3,1,14,0,87.0,33.0,86.91666666666667,72.20833333333333,1,0,0
324,2010,1,14,11,95.0,-17,-9.0,1023.0,24.58,0,0,2010-01-14 11:00:00,3,1,14,0,84.0,36.0,89.04166666666667,72.4702380952381,1,0,0
325,2010,1,14,12,79.0,-16,-6.0,1023.0,26.37,0,0,2010-01-14 12:00:00,3,1,14,0,95.0,26.0,91.5,72.78571428571429,1,0,0
326,2010,1,14,13,75.0,-17,-5.0,1022.0,28.16,0,0,2010-01-14 13:00:00,3,1,14,0,79.0,49.0,93.70833333333333,73.00595238095238,1,0,0
327,2010,1,14,14,79.0,-16,-5.0,1022.0,29.95,0,0,2010-01-14 14:00:00,3,1,14,0,75.0,52.0,94.79166666666667,73.125,1,0,0
328,2010,1,14,15,86.0,-15,-4.0,1022.0,33.08,0,0,2010-01-14 15:00:00,3,1,14,0,79.0,47.0,95.91666666666667,73.28571428571429,1,0,0
329,2010,1,14,16,72.0,-16,-4.0,1023.0,0.89,0,0,2010-01-14 16:00:00,3,1,14,0,86.0,47.0,97.54166666666667,73.49404761904762,0,0,1
330,2010,1,14,17,89.0,-15,-5.0,1025.0,1.79,0,0,2010-01-14 17:00:00,3,1,14,0,72.0,39.0,98.58333333333333,73.58333333333333,0,1,0
331,2010,1,14,18,94.0,-14,-3.0,1026.0,5.81,0,0,2010-01-14 18:00:00,3,1,14,0,89.0,59.0,100.66666666666667,73.81547619047619,1,0,0
332,2010,1,14,19,69.0,-16,-3.0,1027.0,11.62,0,0,2010-01-14 19:00:00,3,1,14,0,94.0,76.0,102.125,74.05357142857143,1,0,0
333,2010,1,14,20,49.0,-15,-4.0,1029.0,20.56,0,0,2010-01-14 20:00:00,3,1,14,0,69.0,96.0,101.83333333333333,74.06547619047619,1,0,0
334,2010,1,14,21,33.0,-16,-5.0,1031.0,24.58,0,0,2010-01-14 21:00:00,3,1,14,0,49.0,95.0,99.875,73.72619047619048,1,0,0
335,2010,1,14,22,27.0,-17,-6.0,1032.0,3.13,0,0,2010-01-14 22:00:00,3,1,14,0,33.0,68.0,97.29166666666667,72.97619047619048,0,0,0
336,2010,1,14,23,20.0,-18,-6.0,1033.0,8.05,0,0,2010-01-14 23:00:00,3,1,14,0,27.0,65.0,95.58333333333333,71.95833333333333,0,0,0
337,2010,1,15,0,36.0,-19,-7.0,1034.0,13.86,0,0,2010-01-15 00:00:00,4,1,15,0,20.0,75.0,93.70833333333333,70.94642857142857,0,0,0
338,2010,1,15,1,37.0,-17,-8.0,1035.0,5.81,0,0,2010-01-15 01:00:00,4,1,15,0,36.0,257.0,92.08333333333333,69.91071428571429,1,0,0
339,2010,1,15,2,30.0,-18,-10.0,1035.0,11.62,0,0,2010-01-15 02:00:00,4,1,15,0,37.0,174.0,82.91666666666667,68.9702380952381,1,0,0
340,2010,1,15,3,18.0,-19,-10.0,1036.0,14.75,0,0,2010-01-15 03:00:00,4,1,15,0,30.0,164.0,76.91666666666667,67.51190476190476,1,0,0
341,2010,1,15,4,21.0,-19,-9.0,1036.0,19.67,0,0,2010-01-15 04:00:00,4,1,15,0,18.0,161.0,70.83333333333333,66.64285714285714,1,0,0
342,2010,1,15,5,13.0,-19,-9.0,1036.0,7.15,0,0,2010-01-15 05:00:00,4,1,15,0,21.0,137.0,65.0,66.11309523809524,0,0,0
343,2010,1,15,6,23.0,-20,-9.0,1037.0,12.96,0,0,2010-01-15 06:00:00,4,1,15,0,13.0,92.0,59.833333333333336,65.5952380952381,0,0,0
344,2010,1,15,7,26.0,-19,-9.0,1037.0,18.77,0,0,2010-01-15 07:00:00,4,1,15,0,23.0,64.0,56.958333333333336,65.25,0,0,0
345,2010,1,15,8,27.0,-19,-8.0,1038.0,22.79,0,0,2010-01-15 08:00:00,4,1,15,0,26.0,87.0,55.375,64.98214285714286,0,0,0
346,2010,1,15,9,30.0,-19,-8.0,1039.0,28.6,0,0,2010-01-15 09:00:00,4,1,15,0,27.0,87.0,52.875,64.75,0,0,0
347,2010,1,15,10,28.0,-19,-7.0,1039.0,35.75,0,0,2010-01-15 10:00:00,4,1,15,0,30.0,84.0,50.5,64.38095238095238,0,0,0
348,2010,1,15,11,26.0,-18,-6.0,1039.0,41.56,0,0,2010-01-15 11:00:00,4,1,15,0,28.0,95.0,48.166666666666664,63.74404761904762,0,0,0
349,2010,1,15,12,26.0,-18,-5.0,1039.0,45.58,0,0,2010-01-15 12:00:00,4,1,15,0,26.0,79.0,45.291666666666664,62.976190476190474,0,0,0
350,2010,1,15,13,31.0,-17,-4.0,1038.0,1.79,0,0,2010-01-15 13:00:00,4,1,15,0,26.0,75.0,43.083333333333336,61.95238095238095,1,0,0
351,2010,1,15,14,35.0,-16,-3.0,1037.0,0.89,0,0,2010-01-15 14:00:00,4,1,15,0,31.0,79.0,41.25,60.648809523809526,0,0,1
352,2010,1,15,15,36.0,-17,-3.0,1037.0,1.78,0,0,2010-01-15 15:00:00,4,1,15,0,35.0,86.0,39.416666666666664,59.666666666666664,0,0,1
353,2010,1,15,16,37.0,-17,-2.0,1037.0,2.23,0,0,2010-01-15 16:00:00,4,1,15,0,36.0,72.0,37.333333333333336,58.50595238095238,0,0,1
354,2010,1,15,17,64.0,-15,-5.0,1036.0,0.89,0,0,2010-01-15 17:00:00,4,1,15,0,37.0,89.0,35.875,57.23809523809524,0,1,0
