"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
11,"NEW SUNNY PEACEFUL ROOM in Prime Williamsburg",8119817,"Mila","Brooklyn","Williamsburg",40.71821,-73.94116,"Private room",115,2,0,NA,NA,2,121
12,"Nice clean large Bedroom in Astoria",6194487,"Rocio & James","Queens","Astoria",40.76425,-73.90489,"Private room",79,1,108,"5/30/2019",2.68,3,313
13,"Artist Loft Bushwick",65800377,"Benny","Brooklyn","Bushwick",40.70087,-73.92351,"Private room",70,2,90,"6/23/2019",2.57,3,33
14,"Nouveau Bohemian in East Village",35672187,"Sharda","Manhattan","East Village",40.72196,-73.98345,"Private room",108,2,36,"6/21/2019",1.18,1,51
15,"Charming spacious garden level apt",1409262,"Sarah","Brooklyn","Flatbush",40.64245,-73.95216,"Entire home/apt",75,2,42,"7/5/2019",3.73,6,87
16,"Room for rent in the heart of Manhattan",686385,"Ava","Manhattan","Upper East Side",40.77509,-73.95554,"Private room",80,1,58,"6/23/2019",3.64,1,45
17,"SWEET PLACE IN BUSHWICK  3 BLOCKS FROM METRO STAT",236659049,"Yesenia","Brooklyn","Bushwick",40.69157,-73.90435,"Entire home/apt",140,2,12,"6/23/2019",2.07,4,48
18,"*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #2",205031545,"Red Awning","Manhattan","Midtown",40.75403,-73.96714,"Entire home/apt",714,28,0,NA,NA,49,250
19,"Perfect cozy PRIVATE room!!",8998805,"Koji & H","Manhattan","Chelsea",40.75224,-73.99487,"Private room",76,3,164,"6/24/2019",2.34,1,27
20,"Huge Designer Room | Lower East Side /East Village",10994839,"Michael","Manhattan","Lower East Side",40.71994,-73.98184,"Private room",150,2,32,"5/26/2019",1.58,1,76
21,"1 bedroom/1 Bath/Balcony/Wash-Dryer",42320409,"Timothy","Brooklyn","Williamsburg",40.7076,-73.94072,"Entire home/apt",87,1,3,"10/24/2015",0.07,1,0
22,"Elegance on West Side",48889862,"Miki","Manhattan","Harlem",40.79891,-73.9528,"Entire home/apt",105,2,42,"7/1/2019",3.04,1,115
23,"Charming room Chinatown Manhattan",45951143,"Alexandra","Manhattan","Chinatown",40.71319,-73.99265,"Private room",100,1,1,"10/13/2015",0.02,1,0
24,"East 55th Street, Luxury 1bd Serviced Apt",22541573,"Ken","Manhattan","Midtown",40.7588,-73.96611,"Entire home/apt",260,30,1,"5/25/2018",0.07,87,341
25,"Studio on East Williamsburg",17524733,"David","Brooklyn","Bushwick",40.68383,-73.90857,"Entire home/apt",65,6,2,"5/16/2019",0.8,1,19
26,"Two Bedroom on the Upper East Side",80593607,"Theodore","Manhattan","Upper East Side",40.77788,-73.95615,"Entire home/apt",105,1,3,"8/23/2016",0.08,1,0
27,"BK Rest - Williamsburg, Brooklyn",4532557,"Joshua","Brooklyn","Williamsburg",40.70653,-73.9462,"Entire home/apt",84,45,45,"6/4/2019",0.61,1,244
28,"SOUTH SLOPE Brooklyn - Bright and Spacious Bedroom",7007654,"Dhwani","Brooklyn","Sunset Park",40.65976,-73.99191,"Private room",35,2,0,NA,NA,1,0
29,"room in a two bedroom apt, whole apartment",13496782,"Nicole","Brooklyn","Williamsburg",40.70719,-73.96407,"Entire home/apt",200,1,2,"12/12/2016",0.06,1,0
30,"Room in house with WiFi and Netflix",119848398,"Devi","Bronx","Parkchester",40.83067,-73.88024,"Private room",35,1,14,"7/2/2019",0.7,2,1
31,"NYC - CLINTON HILL - FURNISHED ROOM",7130382,"Walter","Brooklyn","Clinton Hill",40.68371,-73.96461,"Private room",55,1,3,"12/20/2015",0.06,2,343
32,"Spacious Home Away from Home",43099837,"Crystal","Staten Island","Grymes Hill",40.61569,-74.08957,"Entire home/apt",125,2,1,"6/28/2019",1,1,44
33,"Small Comfy space",104028121,"Diana","Manhattan","Washington Heights",40.85044,-73.93042,"Private room",41,1,0,NA,NA,1,38
34,"Elegant room in Harlem",63417081,"Devon","Manhattan","Harlem",40.82381,-73.94582,"Private room",45,30,1,"8/31/2018",0.1,8,318
35,"4 person private room in Spanish Harlem",24260658,"Kristy","Manhattan","East Harlem",40.79443,-73.93501,"Private room",130,2,49,"6/19/2019",1.52,5,76
36,"Triple Mint Townhouse in the heart of West Village",5719667,"Alexander","Manhattan","West Village",40.73722,-74.00263,"Entire home/apt",1500,3,15,"6/24/2019",1.21,1,54
37,"Quiet apartment in Chelsea",2640056,"Yuval","Manhattan","Chelsea",40.74148,-74.00048,"Entire home/apt",225,4,2,"10/13/2016",0.04,1,0
38,"Cool Brooklyn, Close to Manhattan",64930464,"Maya","Brooklyn","Bedford-Stuyvesant",40.68823,-73.93367,"Entire home/apt",126,2,181,"6/23/2019",4.73,1,182
39,"*Fresh Budget Room",226339724,"David And Annette","Brooklyn","Bedford-Stuyvesant",40.68176,-73.91435,"Private room",40,2,6,"5/10/2019",1.67,10,363
40,"East Village apt w/ ESB views",32277262,"Mickey","Manhattan","East Village",40.72305,-73.98834,"Private room",150,2,10,"8/27/2017",0.31,1,0
41,"1.5 bedroom in Williamsburg",11573901,"Christine","Brooklyn","Williamsburg",40.711,-73.95827,"Entire home/apt",185,2,1,"9/8/2017",0.04,1,0
42,"Spacious Sunny Balcony Room in Williamsburg",57973441,"Mark","Brooklyn","Williamsburg",40.70932,-73.94792,"Private room",90,1,1,"11/19/2018",0.13,1,32
43,"~Flatiron 2 Bedroom~Amazing Location~Sleeps 6~",209556739,"Ryan","Manhattan","Midtown",40.74478,-73.98442,"Entire home/apt",349,4,32,"6/21/2019",3.04,1,255
44,"Chelsea gem in the middle of Manhattan.",241322481,"Robert","Manhattan","Chelsea",40.74566,-73.99579,"Entire home/apt",300,3,6,"6/29/2019",3.4,1,180
45,"Comfy Queen bedroom near East Village LES",4685913,"Paul","Manhattan","East Village",40.72156,-73.97902,"Private room",90,1,3,"9/1/2016",0.08,2,0
46,"Minimalistic 1 BR in little Italy/ China town",10146370,"Sara","Manhattan","Chinatown",40.7152,-73.99947,"Entire home/apt",159,6,39,"5/25/2019",1.31,1,351
47,"Wonderful 3 people room  near M,J, L,G trains",248161322,"Sergii","Brooklyn","Bushwick",40.70028,-73.93952,"Shared room",35,30,0,NA,NA,14,333
48,"Crown Heights Duplex Apt.",4401973,"Juan Felipe","Brooklyn","Prospect-Lefferts Gardens",40.6602,-73.95043,"Private room",95,1,1,"6/30/2015",0.02,1,0
49,"Oasis: Cozy Comfy",156066689,"Sharon","Bronx","Concourse",40.82276,-73.92682,"Entire home/apt",114,2,79,"7/1/2019",3.88,1,283
50,"Large 1 bdrm near L in Williamsburg",23573737,"Michelle","Brooklyn","Williamsburg",40.71171,-73.94575,"Entire home/apt",120,5,1,"12/31/2014",0.02,1,0
51,"Private Room in Brand New Greenpoint Apartment",108457539,"Fola","Brooklyn","Greenpoint",40.72268,-73.94349,"Private room",55,1,2,"12/10/2018",0.27,1,0
52,"Sunny Suite in Historic Brooklyn",103640,"Samantha And Scott","Brooklyn","Flatbush",40.63649,-73.96508,"Entire home/apt",165,2,172,"7/6/2019",3.1,1,264
53,"Gut renovated one bedroom in Brooklyn!",51596064,"Toma","Brooklyn","East Flatbush",40.64487,-73.94711,"Entire home/apt",70,1,23,"1/28/2019",3.27,1,0
54,"Vanilla Tea - Cozy Studio Hideaway in Bed Stuy #5",57186170,"Deirdre","Brooklyn","Bedford-Stuyvesant",40.68374,-73.9447,"Private room",68,2,134,"6/20/2019",3.8,3,245
55,"Cozy room in Bushwick!",30541205,"Mya","Brooklyn","Bushwick",40.69994,-73.92176,"Private room",50,3,0,NA,NA,1,0
56,"$30 per night private room Bushwick",3508047,"Brian","Brooklyn","Bushwick",40.69845,-73.93495,"Private room",30,1,3,"9/14/2016",0.07,3,0
57,"Nice 3Beds/2bedroom Apartment, 5min TIME SQUARE.",41124793,"Gary","Manhattan","Hell's Kitchen",40.76515,-73.98586,"Entire home/apt",389,1,1,"6/19/2019",1,1,0
58,"Furnished one bedroom in midtown Manhattan",120762452,"Stanley","Manhattan","Murray Hill",40.7496,-73.97609,"Entire home/apt",175,30,5,"12/3/2018",0.21,50,147
59,"2 Rooms in Cottage NYC",1454655,"Ronaldo","Queens","Long Island City",40.75295,-73.93228,"Private room",65,2,5,"9/9/2014",0.06,1,362
60,"Artist Ft Greene Brownstone Garden View",36894011,"Miriam","Brooklyn","Fort Greene",40.68835,-73.9736,"Private room",120,2,77,"6/26/2019",1.68,2,0
61,"Amazing location! Cozy apartment!",633339,"Sara","Manhattan","East Harlem",40.80651,-73.93776,"Shared room",60,1,4,"8/31/2015",0.08,1,0
62,"Large room in fantastic Williamsburg location!",26552242,"Bríet","Brooklyn","Williamsburg",40.71054,-73.95908,"Private room",85,2,2,"6/3/2019",1.25,1,19
63,"Cozy bedroom in a spacious apartment.",111451636,"Caleb","Manhattan","Washington Heights",40.84545,-73.94172,"Private room",50,2,1,"9/11/2017",0.05,1,0
64,"Artfully Decorated 2 Bedroom Apt",1812871,"Karen","Bronx","Longwood",40.81611,-73.89909,"Entire home/apt",100,5,82,"12/15/2018",0.96,1,63
65,"2部屋でのｼｪｱ ﾌﾞﾙｯｸﾘﾝの大人気ｴﾘｱのｳｨﾘｱﾑｽﾞﾊﾞｰｸﾞから3駅 駅から徒歩3分の好立地",19303369,"Hiroki","Brooklyn","Bedford-Stuyvesant",40.68787,-73.94973,"Private room",33,29,0,NA,NA,37,0
66,"90 Washington St Luxury apartment",53179388,"Raymond","Manhattan","Financial District",40.70742,-74.01544,"Entire home/apt",200,30,1,"2/4/2017",0.03,10,342
67,"Cozy & quiet 2 bedroom apt in a great location!",9973967,"Gahee","Manhattan","East Village",40.72626,-73.98784,"Entire home/apt",310,2,78,"6/23/2019",5.49,1,169
68,"West Inn 2 - East Village",72062,"Bruce","Manhattan","East Village",40.72518,-73.98034,"Private room",125,1,84,"6/23/2019",0.78,4,310
69,"Quaint room in East Village walk-up",65415391,"Katherine","Manhattan","East Village",40.73185,-73.98431,"Private room",100,1,0,NA,NA,1,0
70,"Manhattan West - Cozy Single Room",252604696,"Erin","Manhattan","Chelsea",40.74975,-73.9961,"Private room",129,1,0,NA,NA,20,359
71,"Artists + Travelers Private Room in Brooklyn",164178160,"Karlie","Brooklyn","Bedford-Stuyvesant",40.69031,-73.95855,"Private room",59,3,2,"11/17/2018",0.24,1,0
72,"True Brooklyn Loft",10786794,"Fig","Brooklyn","Williamsburg",40.70492,-73.93832,"Private room",70,3,1,"8/23/2015",0.02,1,0
73,"Cozy Apartment in BKLYN near Prospect Park!",15311573,"Alicia And Zach","Brooklyn","Prospect-Lefferts Gardens",40.65798,-73.95985,"Private room",83,3,14,"1/2/2017",0.31,1,0
74,"Minimalist Modern West Village Studio",190841783,"Cara","Manhattan","Chelsea",40.74098,-73.99744,"Entire home/apt",140,29,2,"7/22/2018",0.15,1,334
75,"Columbus Circle Spacious Studio near everything",16025677,"Meng-Mei","Manhattan","Hell's Kitchen",40.76978,-73.98936,"Entire home/apt",115,5,0,NA,NA,2,0
76,"Chelsea Studio for Super Bowl!",11440643,"Ari","Manhattan","Chelsea",40.75,-73.99637,"Entire home/apt",395,3,0,NA,NA,1,0
77,"Luxury Modern Studio in The Bronx",9605945,"Chondra","Bronx","Throgs Neck",40.81587,-73.81532,"Entire home/apt",175,2,28,"5/28/2019",0.92,1,36
78,"Pleasant Residence",183548336,"Aureo","Manhattan","East Harlem",40.7977,-73.93493,"Entire home/apt",250,3,13,"6/3/2019",0.94,1,74
79,"Sunny and Spacious Room in Central Harlem",6669178,"Jay","Manhattan","Harlem",40.81696,-73.94164,"Private room",80,3,69,"5/25/2019",1.7,1,3
80,"Wyndham Midtown 45 (1 Bedroom Presidential) 3A",100238132,"Michael","Manhattan","Midtown",40.75307,-73.97162,"Entire home/apt",269,3,5,"1/2/2019",0.35,12,0
81,"Cute cozy home in south slope!!",208938947,"Radha","Brooklyn","Sunset Park",40.66388,-73.99475,"Private room",50,31,0,NA,NA,1,0
82,"5 minutes from JFK,one single cozy bedroom for one",119592255,"Kevin","Queens","Jamaica",40.68073,-73.78354,"Private room",45,1,336,"7/5/2019",11.91,2,345
83,"Private House in Brooklyn",14671652,"Marlon","Brooklyn","Bedford-Stuyvesant",40.69126,-73.95285,"Entire home/apt",250,14,0,NA,NA,1,364
84,"Bright & Spacious GP/N Williamsburg",3800548,"Phoebe","Brooklyn","Greenpoint",40.73176,-73.95371,"Private room",70,4,6,"1/1/2017",0.11,1,0
85,"J- HOTEL STYLE SHARE ROOM FOR 2PPL FREE CABLE WIFI",8814258,"Nikole","Queens","South Ozone Park",40.67324,-73.7957,"Shared room",34,5,2,"2/23/2019",0.23,7,365
86,"Bright Room In 2 Bedroom Flat With Outdoor Patio",13898361,"Charles","Brooklyn","Williamsburg",40.71173,-73.96164,"Private room",55,1,1,"12/30/2017",0.05,1,0
87,"Beautiful, modern SoHo/TriBeCa apt",3704762,"Akash","Manhattan","Civic Center",40.71649,-74.00267,"Entire home/apt",169,4,8,"5/15/2016",0.17,1,0
88,"Duplex in Williamsburg with Terrace, 4 Bed 2 Bath",162432541,"Emily & Joseph","Brooklyn","Williamsburg",40.71053,-73.96261,"Entire home/apt",300,2,14,"6/16/2019",2.27,2,279
89,"New aparment  biutiful area",104311294,"Edwin","Queens","Corona",40.73933,-73.84851,"Entire home/apt",100,2,2,"8/21/2018",0.18,1,0
90,"Spacious Family Apartment near Prospect Park",2436599,"Rachel","Brooklyn","Flatbush",40.65132,-73.95691,"Entire home/apt",128,3,2,"4/30/2017",0.07,1,0
91,"Sunny, Central, Quiet, UWS, 72&Bway",1529179,"Gs","Manhattan","Upper West Side",40.77885,-73.98178,"Entire home/apt",169,7,0,NA,NA,1,0
92,"Studio With Old-World Character",3262771,"Christina","Brooklyn","Crown Heights",40.67189,-73.93499,"Entire home/apt",90,7,2,"8/25/2015",0.03,1,0
93,"Massive Brooklyn Brick 2 Floor Oasis",5568352,"Austin","Brooklyn","Fort Greene",40.68718,-73.97289,"Entire home/apt",200,2,2,"7/3/2019",2,1,15
94,"Get cozy on a historic Brooklyn St",27371503,"Erin","Brooklyn","Bedford-Stuyvesant",40.68389,-73.92659,"Private room",40,1,0,NA,NA,1,0
95,"A Bedroom in a Kosher Appartment",24259346,"Johnathan Boev","Queens","Rego Park",40.72644,-73.85477,"Private room",39,1,2,"9/7/2015",0.04,1,0
96,"Spacious & Cozy 1BR Apartment in Brownstone Bldg",20283471,"Ramy","Brooklyn","Bedford-Stuyvesant",40.6802,-73.93315,"Entire home/apt",130,1,3,"6/26/2017",0.12,1,0
97,"Sweet comfortable home",224696045,"Fozia","Brooklyn","Sheepshead Bay",40.59362,-73.95659,"Entire home/apt",110,2,16,"6/23/2019",2.45,1,276
98,"Large luxury apartment in Tribeca",107955341,"Michelle","Manhattan","Tribeca",40.71503,-74.00702,"Entire home/apt",400,2,5,"5/6/2019",0.39,1,0
99,"✰ Manhattan Bridge ✰ STUDIO / w. Private Backyard",272118165,"Feliks","Manhattan","Chinatown",40.71387,-73.99427,"Entire home/apt",155,5,0,NA,NA,1,165
100,"A Private Room in a Unique Apartment in Bushwick!",133138724,"Stephanie","Brooklyn","Bushwick",40.68726,-73.91421,"Private room",60,1,0,NA,NA,1,179
101,"Spacious appartment on Upper West Side",17322363,"Luis","Manhattan","Morningside Heights",40.80608,-73.96397,"Entire home/apt",189,10,2,"12/30/2017",0.1,1,0
102,"Cosy space,  30 min to Manhattan 15 Barclay Center",94214493,"Dadrine","Brooklyn","East Flatbush",40.65532,-73.91793,"Private room",80,7,1,"4/18/2019",0.36,9,364
103,"Modern stylized room in appartment Harlem 141st",566838,"Max","Manhattan","Harlem",40.81944,-73.93974,"Private room",70,1,23,"6/27/2019",6.05,2,97
104,"Cozy Bedroom in Brooklyn, NY",78441349,"Melissa","Brooklyn","East Flatbush",40.64863,-73.94948,"Private room",80,1,27,"4/13/2019",1.09,3,342
105,"Private room, Queens NY with free street parking",6879271,"Béla","Queens","Glendale",40.70267,-73.88663,"Private room",83,2,4,"4/9/2019",0.32,1,364
106,"Amazing apartment Times Square",265068881,"Omer","Manhattan","Hell's Kitchen",40.7635,-73.9878,"Entire home/apt",145,4,2,"6/26/2019",2,1,92
107,"Charming Loft in the East Village",2423042,"Nitin","Manhattan","East Village",40.72304,-73.97923,"Entire home/apt",120,60,5,"6/20/2013",0.06,1,0
108,"Beautiful Bedroom in Washington Heights",38592785,"Caitlyn","Manhattan","Washington Heights",40.84218,-73.93676,"Private room",55,2,15,"7/6/2019",0.76,1,0
109,"Stay in the coolest neighborhood",3100823,"Kyle","Brooklyn","Bushwick",40.70383,-73.92853,"Private room",40,1,0,NA,NA,1,0
110,"Prime Williamsburg Duplex Loft Off Lorimer L",4318363,"D","Brooklyn","Williamsburg",40.71315,-73.95411,"Private room",65,2,17,"7/7/2019",3.11,2,26
111,"Cute, comfortable room in Gramercy",672510,"Jernee","Manhattan","Gramercy",40.737,-73.98199,"Private room",65,4,161,"7/1/2019",1.92,1,182
112,"A Beautiful Williamsburg Apartment Available Today",252575404,"Yeshe","Brooklyn","Williamsburg",40.71009,-73.95842,"Private room",90,3,4,"7/2/2019",3.53,1,63
113,"Private Bushwick Room in Great Location!",26804769,"Andrea","Brooklyn","Bushwick",40.69881,-73.91278,"Private room",32,1,3,"11/20/2017",0.15,1,0
114,"Private Room in Central Manhattan",64156488,"Abbi","Manhattan","Flatiron District",40.74147,-73.98577,"Private room",90,2,3,"2/8/2017",0.1,1,0
115,"B crownheights queen size bed$100",83147028,"Shirley","Brooklyn","Crown Heights",40.67011,-73.92544,"Private room",100,1,27,"10/30/2018",0.75,2,365
116,"Cozy Vintage Artist Flat(Williamsburg/Bushwick)",2702080,"Drew & Kristen","Brooklyn","Bedford-Stuyvesant",40.6916,-73.94714,"Private room",77,2,145,"6/2/2019",2.42,1,365
117,"Elevator 1 BR - Midtown West",61391963,"Corporate Housing","Manhattan","Hell's Kitchen",40.75892,-73.98949,"Entire home/apt",133,30,7,"6/22/2019",0.21,91,281
118,"Cute and spacious room in prime Astoria!!",233423542,"Asheera","Queens","Astoria",40.76622,-73.92897,"Private room",60,4,0,NA,NA,2,0
119,"Prospect Park Apt With Terrace",809716,"Adero","Brooklyn","Prospect-Lefferts Gardens",40.65994,-73.95892,"Entire home/apt",350,5,0,NA,NA,1,365
120,"Cozy Upper East Side Apartment",13487080,"Mary","Manhattan","Upper East Side",40.77065,-73.95205,"Private room",150,1,1,"10/11/2015",0.02,1,0
121,"A cozy apartment",11457662,"Indie","Brooklyn","Bensonhurst",40.60931,-73.99847,"Entire home/apt",45,2,28,"1/2/2018",0.43,2,0
122,"Harlem Hideaway",157845873,"Rainier","Manhattan","Harlem",40.81798,-73.93956,"Private room",115,1,53,"4/25/2019",3.33,1,0
123,"Trendy, Chill & Comfy in Manhattan NYC",153025974,"Kelsy","Manhattan","Washington Heights",40.84182,-73.93898,"Entire home/apt",130,3,25,"6/22/2019",1.36,1,155
124,"Comfortable Place in Brooklyn",18565670,"Maia","Brooklyn","Midwood",40.62401,-73.95775,"Private room",49,2,26,"4/15/2019",0.54,1,362
125,"2BR-E 60TH RESIDENCIES WITH DOORMAN",2856748,"Ruchi","Manhattan","Upper East Side",40.76161,-73.96252,"Entire home/apt",200,30,0,NA,NA,49,324
126,"Cozy home in the heart of Astoria",35914251,"Loren","Queens","Astoria",40.76371,-73.92049,"Entire home/apt",100,4,2,"12/31/2015",0.04,1,0
127,"2 Mins Walking Distance to Empire State Building!",260193759,"Nyma","Manhattan","Midtown",40.74829,-73.98715,"Private room",100,1,12,"6/16/2019",7.66,5,287
128,"1 Bedroom Apartment on the Upper West Side",50386076,"Charlie","Manhattan","Upper West Side",40.80006,-73.9648,"Entire home/apt",105,1,24,"1/7/2018",0.97,1,0
129,"Steps from Central Park",7273689,"Olya","Manhattan","Upper East Side",40.77207,-73.95923,"Entire home/apt",169,7,11,"1/5/2019",0.2,1,24
130,"Luxury Flat with Outdoor and Study Room",21110000,"Shahram","Brooklyn","DUMBO",40.70452,-73.98583,"Entire home/apt",250,2,150,"7/5/2019",2.57,1,309
131,"Sunny private room in renovated apartment (BR 1)",206359223,"Abraham","Brooklyn","Bedford-Stuyvesant",40.68033,-73.91023,"Private room",31,30,1,"9/11/2018",0.1,1,62
132,"Speakeasy Inn Bushwick One",24020292,"Cristiano","Brooklyn","Bushwick",40.70121,-73.91986,"Private room",85,1,89,"7/5/2019",4.35,4,58
133,"Cozy 1 Bedroom Apartment near Yankee Stadium",18506733,"Michelle","Bronx","Melrose",40.82374,-73.91555,"Entire home/apt",59,2,2,"6/17/2019",2,1,0
134,"Sunny Spacious Studio, Subway Right Downstairs!",13758411,"Shell","Manhattan","Upper East Side",40.77807,-73.95003,"Entire home/apt",160,1,1,"12/18/2018",0.15,1,71
135,"Spectacular 2 bed 2 bath with W/D in the APT #6116",35098529,"David","Manhattan","Murray Hill",40.74577,-73.97587,"Entire home/apt",310,30,0,NA,NA,5,311
136,"NEW YORK CITY Manhattan Penthouse Central Park",8849869,"Tatiana & Tyson","Manhattan","Upper West Side",40.79118,-73.97091,"Entire home/apt",110,30,1,"5/19/2019",0.59,1,3
137,"Small Sunny 1BR Apt Bradhurst Park",9754272,"Tim","Manhattan","Harlem",40.82616,-73.94023,"Entire home/apt",130,2,5,"10/30/2016",0.13,1,0
138,"apartment next to Central park",119900,"Sylvie","Manhattan","Upper West Side",40.77842,-73.97556,"Entire home/apt",170,7,13,"6/26/2019",0.12,1,224
139,"NYC Private Apt by Subway and Yankee Stadium",29510402,"Douglas","Bronx","Longwood",40.82345,-73.9033,"Entire home/apt",89,1,185,"7/7/2019",4.52,3,104
140,"Sun Drenched Artist Loft in Williamsburg!",67191518,"Reisha","Brooklyn","Williamsburg",40.71777,-73.96173,"Entire home/apt",250,4,8,"7/1/2019",0.7,1,156
141,"Zenful and artistic apartment home",227385012,"Stephanie","Brooklyn","Bedford-Stuyvesant",40.68824,-73.95047,"Private room",34,1,3,"1/1/2019",0.43,1,0
142,"Charming Brooklyn Abode",3905456,"Amber","Brooklyn","Flatbush",40.64294,-73.96016,"Entire home/apt",110,1,3,"8/21/2016",0.05,1,0
143,"AWESOME MODERN ROOM IN CHARMING AREA+ SWEET ROOF C",29650513,"Katie Graham","Brooklyn","Clinton Hill",40.69473,-73.96165,"Private room",90,30,1,"3/1/2019",0.23,6,281
144,"sweet room to relax",236659049,"Yesenia","Brooklyn","Bushwick",40.69169,-73.90429,"Private room",40,1,3,"4/20/2019",0.69,4,0
145,"Brand New 3-Bed Apt in the Best Location of FiDi",29741813,"Yue","Manhattan","Financial District",40.70605,-74.01042,"Entire home/apt",475,2,0,NA,NA,1,64
146,"Spacious Junior 1BR Apt in USQ/Flatiron",15153596,"Allie","Manhattan","Chelsea",40.73726,-73.99399,"Private room",235,1,34,"7/1/2019",0.68,1,135
147,"Quiet Ground Floor Bedroom in Midtown West",154965091,"Joe","Manhattan","Hell's Kitchen",40.76956,-73.98804,"Private room",125,2,29,"6/22/2019",2.03,4,43
148,"Bright and airy close transport, left side",230108889,"Malca","Queens","Kew Gardens Hills",40.71843,-73.81266,"Private room",49,4,6,"7/6/2019",0.95,2,111
149,"LES Light Filled Large Bedroom",86274028,"Francesca","Manhattan","East Village",40.72803,-73.97961,"Private room",100,1,1,"9/18/2018",0.1,1,0
150,"Bright room in a newly renovated Apt in Brooklyn",82683774,"Ruben And Will","Brooklyn","Crown Heights",40.6761,-73.93502,"Private room",45,2,17,"5/5/2019",2.52,1,14
151,"12 Min to Manhattan! Spacious APT in Brooklyn",126897352,"Jason & Mary","Brooklyn","Bushwick",40.70286,-73.91884,"Entire home/apt",180,29,31,"1/3/2019",1.19,2,147
152,"Times Square 1BR w/ Great views + Indoor pool by Blueground",107434423,"Blueground","Manhattan","Theater District",40.76159,-73.98544,"Entire home/apt",297,30,0,NA,NA,232,68
153,"Prime Central Park West Pied à Terre",44596503,"Josh & Jessica","Manhattan","Upper West Side",40.78466,-73.97276,"Entire home/apt",200,2,128,"6/17/2019",3.31,1,231
154,"Colorful and central Gramercy apartment",120378725,"Olena","Manhattan","Kips Bay",40.73826,-73.98028,"Entire home/apt",250,2,2,"9/27/2018",0.21,1,0
155,"The Blair House Rental",33535733,"Andrew","Manhattan","Midtown",40.76096,-73.9672,"Private room",120,5,0,NA,NA,1,0
156,"Beautiful Park Slope 2 bedroom",2847655,"Gideon","Brooklyn","Park Slope",40.66732,-73.98233,"Entire home/apt",159,2,4,"9/21/2015",0.08,1,0
157,"February room available in cozy Park Slope Apt.",140338526,"Kenneth","Brooklyn","Park Slope",40.67042,-73.98508,"Private room",50,5,0,NA,NA,1,0
158,"Easy commute apartment next to subway",201015598,"Anchor","Brooklyn","Bedford-Stuyvesant",40.67877,-73.91227,"Shared room",35,1,9,"6/9/2019",1.97,17,88
159,"Duplex w Rooftop Patio",167818456,"Anna","Brooklyn","Williamsburg",40.71297,-73.95657,"Entire home/apt",345,2,47,"6/29/2019",3.24,2,146
160,"Cozy, Private Guest Suite Near JFK, LGA & NYC",138235784,"Kay","Queens","Forest Hills",40.7081,-73.85206,"Entire home/apt",70,1,29,"6/3/2019",1.47,2,225
161,"Super Cute Upper West Side Apt!!",3966721,"Shaina","Manhattan","Upper West Side",40.80193,-73.96703,"Private room",80,4,75,"7/1/2019",0.93,1,15
162,"Beautiful Apt on the UpperWest",20739852,"Jenn","Manhattan","Upper West Side",40.79494,-73.97221,"Entire home/apt",168,1,2,"1/6/2016",0.04,1,0
163,"Beautiful One Bedroom Apartment Near Central Park",3191545,"Kyle","Manhattan","Theater District",40.761,-73.98522,"Entire home/apt",169,30,5,"6/25/2017",0.15,23,365
