book_id,authors,title
377,Neil Gaiman,Stardust
378,Jhumpa Lahiri,The Namesake
379,Deborah Harkness,"A Discovery of Witches (All Souls Trilogy, #1)"
380,"Haruki Murakami, Jay Rubin",Norwegian Wood
381,Billie Letts,Where the Heart Is
382,"John Green, David Levithan","Will Grayson, Will Grayson"
383,James Frey,A Million Little Pieces
384,Richelle Mead,"Frostbite (Vampire Academy, #2)"
385,Susan Cain,Quiet: The Power of Introverts in a World That Can't Stop Talking
386,Scott O'Dell,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)"
387,"Arthur Miller, Christopher Bigsby",The Crucible
388,Gary Paulsen,"Hatchet (Brian's Saga, #1)"
389,Brandon Sanderson,"The Final Empire (Mistborn, #1)"
390,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr. Jekyll and Mr. Hyde
391,Dr. Seuss,The Lorax
392,Jeff Kinney,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)"
393,Sarah J. Maas,"Throne of Glass (Throne of Glass, #1)"
394,Richelle Mead,"Shadow Kiss (Vampire Academy, #3)"
395,Ernest Hemingway,For Whom the Bell Tolls
396,Jamie Ford,Hotel on the Corner of Bitter and Sweet
397,"Patrick Süskind, John E. Woods",Perfume: The Story of a Murderer
398,Eric Schlosser,Fast Food Nation: The Dark Side of the All-American Meal
399,J.K. Rowling,The Tales of Beedle the Bard
400,William Gibson,Neuromancer
401,Ernest Hemingway,A Farewell to Arms
402,Edgar Allan Poe,The Tell-Tale Heart and Other Writings
403,"Sun Tzu, Thomas Cleary",The Art of War
404,William Landay,Defending Jacob
405,Kurt Vonnegut Jr.,Breakfast of Champions
406,Betty Edwards,The New Drawing on the Right Side of the Brain
407,Ann Patchett,Bel Canto
408,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies"
409,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe
410,Chinua Achebe,"Things Fall Apart (The African Trilogy, #1)"
411,Sophie Kinsella,The Undomestic Goddess
412,Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
413,Alexandre Dumas,The Three Musketeers
414,Chris Cleave,Little Bee
415,Alyson Noel,"Evermore (The Immortals, #1)"
416,"Roald Dahl, Quentin Blake",The Witches
417,Diane Setterfield,The Thirteenth Tale
418,Richelle Mead,"Spirit Bound (Vampire Academy, #5)"
419,Richelle Mead,"Blood Promise (Vampire Academy, #4)"
420,Nicholas Sparks,Message in a Bottle
421,Paula McLain,The Paris Wife
422,J.K. Rowling,"Harry Potter Boxset (Harry Potter, #1-7)"
423,Kiera Cass,"The Elite (The Selection, #2)"
424,"Umberto Eco, William Weaver, Seán Barrett",The Name of the Rose
425,"Beatrice Sparks, Anonymous",Go Ask Alice
426,"John Kennedy Toole, Walker Percy",A Confederacy of Dunces
427,Oscar Wilde,The Importance of Being Earnest
428,Rick Riordan,"The Mark of Athena (The Heroes of Olympus, #3)"
429,Terry Pratchett,"The Color of Magic (Discworld, #1; Rincewind #1)"
430,"Haruki Murakami, Philip Gabriel",Kafka on the Shore
431,Thomas Harris,"Red Dragon (Hannibal Lecter, #1)"
432,Isaac Asimov,"I, Robot (Robot #0.1)"
433,J.R. Ward,"Dark Lover (Black Dagger Brotherhood, #1)"
434,Becca Fitzpatrick,"Crescendo (Hush, Hush, #2)"
435,Lauren Oliver,Before I Fall
436,Arundhati Roy,The God of Small Things
437,Sue Monk Kidd,The Invention of Wings
438,Liane Moriarty,What Alice Forgot
439,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time
440,Ken Follett,"Fall of Giants (The Century Trilogy, #1)"
441,Stephen King,Under the Dome
442,Neal Stephenson,Snow Crash
443,Sarah Dessen,Just Listen
444,"A.A. Milne, Ernest H. Shepard","Winnie-the-Pooh (Winnie-the-Pooh, #1)"
445,S.J. Watson,Before I Go to Sleep
446,Arthur Conan Doyle,A Study in Scarlet
447,Christopher Paolini,"Brisingr (The Inheritance Cycle, #3)"
448,Rick Warren,The Purpose Driven Life: What on Earth Am I Here for?
449,"P.C. Cast, Kristin Cast","Betrayed (House of Night, #2)"
450,Jim Butcher,"Storm Front (The Dresden Files, #1)"
451,"Jane Austen, Alfred MacAdam",Northanger Abbey
452,Rick Yancey,"The 5th Wave (The 5th Wave, #1)"
453,Charles Frazier,Cold Mountain
454,"Laura Joffe Numeroff, Felicia Bond",If You Give a Mouse a Cookie
455,Emily Giffin,"Something Blue (Darcy & Rachel, #2)"
456,Tennessee Williams,A Streetcar Named Desire
457,Elizabeth Kostova,The Historian
458,Emily St. John Mandel,Station Eleven
459,"Fredrik Backman, Henning Koch",A Man Called Ove
460,Cassandra Clare,"Clockwork Princess (The Infernal Devices, #3)"
461,Pearl S. Buck,"The Good Earth (House of Earth, #1)"
462,John Berger,Ways of Seeing
463,Diana Gabaldon,"Dragonfly in Amber (Outlander, #2)"
464,Anonymous,Holy Bible: King James Version
465,Jennifer Weiner,In Her Shoes
466,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit: Graphic Novel
467,Junot Díaz,The Brief Wondrous Life of Oscar Wao
468,Zora Neale Hurston,Their Eyes Were Watching God
469,"Newt Scamander, J.K. Rowling, Albus Dumbledore",Fantastic Beasts and Where to Find Them
470,"Malala Yousafzai, Christina Lamb",I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban
471,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",Mansfield Park
472,Viktor E. Frankl,Man's Search for Meaning
473,Tana French,"In the Woods (Dublin Murder Squad, #1)"
474,Richard Dawkins,The God Delusion
475,Gayle Forman,"Where She Went (If I Stay, #2)"
476,John Irving,The World According to Garp
477,Lee Child,"Killing Floor (Jack Reacher, #1)"
478,"Daniel Defoe, Gerald McCann, Virginia Woolf",Robinson Crusoe
479,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",The Prince
